Name,Tooltip,Menu level1,Menu level 2,Indicator url,Download,ddf_id,Scale
"Natural gas proved reserves, total",Proven reserves of natural gas (tonnes oil equivalent),Energy,Natural gas,http://spreadsheets.google.com/pub?key=pyj6tScZqmEc5qiv87tr3NA,Download indicator to excel,natural_gas_proved_reserves_total,lin
"Oil production, per person",Crude oil production per person (tonnes oil equivalent),Energy,Oil,http://spreadsheets.google.com/pub?key=pyj6tScZqmEeUgUuvuJTONQ,Download indicator to excel,oil_production_per_person,lin
"Oil production, total",Total amount of crude oil production (tonnes oil equivalent),Energy,Oil,http://spreadsheets.google.com/pub?key=pyj6tScZqmEdNIa3ckVXaCQ,Download indicator to excel,oil_production_total,lin
"Oil proven reserves, per person",Oil proven reserves per person (tonnes oil equivalent),Energy,Oil,http://spreadsheets.google.com/pub?key=pyj6tScZqmEfrI4YlDJDUag,Download indicator to excel,oil_proven_reserves_per_person,log
"Oil proved reserves, total",Proven reserves of oil (tonnes oil equivalent),Energy,Oil,http://spreadsheets.google.com/pub?key=pyj6tScZqmEfJfS1WYrLeBA,Download indicator to excel,oil_proved_reserves_total,lin
"Oil consumption, total",Total amount of crude oil consumption (tonnes oil equivalent),Energy,Oil,http://spreadsheets.google.com/pub?key=pyj6tScZqmEcm0fIa0IVtKw,Download indicator to excel,oil_consumption_total,lin
"Oil consumption, per person",Oil Consumption per capita (tonnes per year per person),Energy,Oil,http://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdERNZmlfUGM5YVE3bmEwODdlRDFqSkE,Download indicator to excel,oil_consumption_per_cap,lin
Drought - deaths annual number,Number of people killed in drought during the given year.,Environment,Disasters,http://spreadsheets.google.com/pub?key=rvRwTPi0n_94EScVA3YjLeg,Download indicator to excel,drought___deaths_annual_number,lin
Earthquake - deaths annual number,Number of people killed in earthquake during the given year.,Environment,Disasters,http://spreadsheets.google.com/pub?key=rvbbs7uxQc7swJ4RR2BcQfA,Download indicator to excel,earthquake___deaths_annual_number,lin
Epidemic - deaths annual number,Number of people killed in epidemic during the given year.,Environment,Disasters,http://spreadsheets.google.com/pub?key=rvtZF_JC0OI27tL66o6hiMQ,Download indicator to excel,epidemic___deaths_annual_number,lin
Extreme temperature - deaths annual number,Number of people killed in extreme temperature during the given year.,Environment,Disasters,http://spreadsheets.google.com/pub?key=r4WUTsck3NfccM6UsKlGF7g,Download indicator to excel,extreme_temperature___deaths_annual_number,lin
Flood - deaths annual number,Number of people killed in flood during the given year.,Environment,Disasters,http://spreadsheets.google.com/pub?key=rtESPUlrTyLEoHpURqE8RAg,Download indicator to excel,flood___deaths_annual_number,lin
Storm - deaths annual number,Number of people killed in storm during the given year.,Environment,Disasters,http://spreadsheets.google.com/pub?key=r0JePjBgBQqtuh5wh1Wz9CA,Download indicator to excel,storm___deaths_annual_number,lin
Tsunami - deaths annual number,Number of people killed in tsunami during the given year.,Environment,Disasters,http://spreadsheets.google.com/pub?key=rdBew79hTeXcIXhB1VCTPfg,Download indicator to excel,tsunami___deaths_annual_number,lin
Plane crash - deaths annual number,Number of people killed in air accidents during the given year.,Environment,Disasters,http://spreadsheets.google.com/pub?key=rSv5aMDwESiKg-yA__-tRFg,Download indicator to excel,plane_crash___deaths_annual_number,lin
———————————————————————,Placeholder,Environment,Disasters,http://spreadsheets.google.com/pub?key=tdKPTXS1U5Jn3qAQICk4-Vw,Download indicator to excel,———————————————————————,lin
Drought - affected annual number,"Total number of people getting affected, injured or killed in drought during the given year.",Environment,Disasters,http://spreadsheets.google.com/pub?key=rAYA0bjnfYwzXnir0cigijQ,Download indicator to excel,drought___affected_annual_number,lin
Earthquake - affected annual number,"Total number of people getting affected, injured or killed in earthquake during the given year.",Environment,Disasters,http://spreadsheets.google.com/pub?key=rG_BjsDwyS2n7DANNH3i5vQ,Download indicator to excel,earthquake___affected_annual_number,lin
Epidemic - affected annual number,"Total number of people getting affected, injured or killed in epidemic during the given year.",Environment,Disasters,http://spreadsheets.google.com/pub?key=r6H8dfVPu2CJ2nzI8X0jurw,Download indicator to excel,epidemic___affected_annual_number,lin
Extreme temperature - affected annual number,"Total number of people getting affected, injured or killed in extreme temperature during the given year.",Environment,Disasters,http://spreadsheets.google.com/pub?key=ryPd-H6Kn3wcHC50zyImqUg,Download indicator to excel,extreme_temperature___affected_annual_number,lin
Flood - affected annual number,"Total number of people getting affected, injured or killed in flood during the given year.",Environment,Disasters,http://spreadsheets.google.com/pub?key=rsCDusOObseaoBUdarzw7Kw,Download indicator to excel,flood___affected_annual_number,lin
Storm - affected annual number,"Total number of people getting affected, injured or killed in storm during the given year.",Environment,Disasters,http://spreadsheets.google.com/pub?key=rAxnmm4ZL2HrYjIqJX0Ch-w,Download indicator to excel,storm___affected_annual_number,lin
Tsunami - affected annual number,"Total number of people getting affected, injured or killed in tsunami during the given year.",Environment,Disasters,http://spreadsheets.google.com/pub?key=rskN46tpbe6Iy3K_ULk1_cQ,Download indicator to excel,tsunami___affected_annual_number,lin
Plane crash - affected annual number,"Total number of people getting affected, injured or killed in air accidents during the given year.",Environment,Disasters,http://spreadsheets.google.com/pub?key=rhbS3kWOfMzvY4ofUFoeFJg,Download indicator to excel,plane_crash___affected_annual_number,log
CO2 intensity of economic output (kg CO2 per 2005 PPP $ of GDP),Measures the amount of CO2 (kg) emitted for every dollar of GDP (constant purchasing power parity-adjusted) produced.,Environment,Emissions,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdEVUcEJVRzlFWWRRcjhveGlrQzdwdUE,Download indicator to excel,co2_intensity_of_economic_output_kg_co2_per_2005_ppp__of_gdp,lin
Cumulative CO2 emissions (tonnes),Total CO2 emissions from fossil fuel for the period between 1751 and the relevant year in metric tonnes. ,Environment,Emissions,http://spreadsheets.google.com/pub?key=pyj6tScZqmEed4UamoiNCFA,Download indicator to excel,cumulative_co2_emissions_tonnes,log
Sulfur emissions per person (kg),Sulfur emissions per person. Associated with acid rain. (Kilograms of sulfur per person and year). ,Environment,Emissions,http://spreadsheets.google.com/pub?key=phAwcNAVuyj0uBndTxZAXNQ,Download indicator to excel,sulfur_emissions_per_person_kg,log
Yearly CO2 emissions (2012 version),Total carbon dioxide emissions from the burning of fossil fuels during the given year (1000 metric tonnes of CO2).,For advanced users,Alternative other data,http://spreadsheets.google.com/pub?key=phAwcNAVuyj1NHPC9MyZ9SQ,Download indicator to excel,yearly_co2_emissions_tonnes,log
Total sulfur emission (kilotonnes),Total sulfur emissions per year. Associated with acid rain. 1000 tonnes of sulfur per year. ,Environment,Emissions,http://spreadsheets.google.com/pub?key=t9SYWh7siLJDzyZYN1R4HfQ,Download indicator to excel,total_sulfur_emission_kilotonnes,log
"Forest land, total area (ha)","Total area of land (hectares) which is spanning more than 0.5 hectares with trees higher than 5 meters and a canopy cover of more than 10%, or trees able to reach these thresholds in situ. It does not include land that is predominantly under agricultural or urban land use.",Environment,Forestry,http://spreadsheets.google.com/pub?key=pp59adS3CHWeB1N1HlpFQVQ,Download indicator to excel,forest_land_total_area_ha,log
Primary forest area (ha),"Total area of forest land (hectares) with native species, where there are no clearly visible indications of human activities and the ecological processes are not significantly disturbed.",Environment,Forestry,http://spreadsheets.google.com/pub?key=pp59adS3CHWeECA6Gf__BNQ,Download indicator to excel,primary_forest_area_ha,log
Planted forest area (ha),"Total area of forest land (hectares) established through planting or seeding, basically of introduced species and in some cases native species.",Environment,Forestry,http://spreadsheets.google.com/pub?key=pp59adS3CHWc4aJd9fV8zZg,Download indicator to excel,planted_forest_area_ha,log
Wood removal (cubic meters),"The wood removed (volume of round wood over bark) for production of goods and services other than energy production (wood fuel), excluding felled trees left in the forest. ",Environment,Forestry,http://spreadsheets.google.com/pub?key=pp59adS3CHWe8O-N9RgxzDw,Download indicator to excel,wood_removal_cubic_meters,log
Forest coverage (%),"Percentage of total land area that has been covered with forest during the given year; excluding other wooded land, which is spanning more than 0.5 hectares, with trees higher than 5 meters and a canopy cover of 5-10 percent, or trees able to reach these thresholds in situ, or with a combined cover of shrubs, bushes and trees above 10 percent.",Environment,Forestry,http://spreadsheets.google.com/pub?key=pp59adS3CHWfRGgfhjf8FBQ,Download indicator to excel,forest_coverage_percent,lin
Biomass stock in forest (tons),"Biomass stock refers to organic material both above-ground and below-ground, and both living and dead, e.g., trees, crops, grasses, tree litter, roots etc.; including the pool definition for above- and below-ground biomass in forest; other wooded land not included. ",Environment,Forestry,http://spreadsheets.google.com/pub?key=pp59adS3CHWcsSl830EklJA,Download indicator to excel,biomass_stock_in_forest_tons,log
Privately owned forest land (%),"Percentage of forest land that is owned by individuals, families, private co-operatives, corporations, industries, private religious and educational institutions, pension or investment funds, and other private institutions.",Environment,Forestry,http://spreadsheets.google.com/pub?key=pp59adS3CHWdFemmS_iN5fw,Download indicator to excel,privately_owned_forest_land_percent,lin
Privately owned other wooded land (%),"Percentage of other wooded land that is owned by individuals, families, private co-operatives, corporations, industries, private religious and educational institutions, pension or investment funds, and other private institutions.",Environment,Forestry,http://spreadsheets.google.com/pub?key=pp59adS3CHWdtCylhQOQiXw,Download indicator to excel,privately_owned_other_wooded_land_percent,lin
"Forest products removal, total ($)","Total annual value of forest products in current USD, including both wood and non-wood removal during that year.",Environment,Forestry,http://spreadsheets.google.com/pub?key=pp59adS3CHWf66stZ2oNUAA,Download indicator to excel,forest_products_removal_total_,log
"Forest products removal, per ha ($)","Total annual value of forest products in current USD per hectares, including both wood and non-wood removal during that year.",Environment,Forestry,http://spreadsheets.google.com/pub?key=pp59adS3CHWd9CVdfFx1dEw,Download indicator to excel,forest_products_removal_per_ha_,lin
Agricultural land (% of land area),"Agricultural land refers to the share of land area that is arable, under permanent crops, and under permanent pastures. Includes land under temporary crops, temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. It excludes land under trees grown for wood or timber.",Environment,Geography,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdEF3alRGS0JQZVgwSW1FWUxUQmZoWXc,Download indicator to excel,agricultural_land_percent_of_land_area,lin
Forest area (sq. km),"Forest area is land under natural or planted stands of trees, whether productive or not.",Environment,Geography,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdFRuaV91Mm9JeUhwR1hHRXJhV3ZBQkE,Download indicator to excel,forest_area_sq_km,lin
Surface area (sq. km),"A country's total area, including areas under inland bodies of water and some coastal waterways.",Environment,Geography,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdFFWcWdEM0RXT1lRZ0wwRVNsakZCaWc,Download indicator to excel,surface_area_sq_km,lin
Renewable water (cu meters per person),"Actual quantity of renewable water resources per person per year in cubic meters. Renewable water resources refer to the average annual flow of rivers and recharge of groundwater generated from perecipitation, which corresponds to the maximum theoretical yearly amount of water actually available for a country at a given moment. and the resources shared with neighboring countries (geopolitical constraints) have been taken into account. ",Environment,Water,http://spreadsheets.google.com/pub?key=rPN9VekxwpUzwowMaxg9Ybw,Download indicator to excel,renewable_water_cu_meters_per_person,lin
Internal renewable water (cu meters per person),Quantity of internal renewable water resources per person per year in cubic meters. Internal Renewable Water Resources (IRWR): Long-term average annual flow of rivers and recharge of aquifers generated from endogenous precipitation. Double counting of surface water and groundwater resources is avoided by deducting the overlap from the sum of the surface water and groundwater resources. ,Environment,Water,http://spreadsheets.google.com/pub?key=riLRFECHMsTq7OTa2KYZCWA,Download indicator to excel,internal_renewable_water_cu_meters_per_person,lin
Water withdrawal (cu meters per person),"Total annual quantity of freshwater withdrawn per person per year, counted in cubic meters. It includes renewable freshwater resources as well as potential over-abstraction of renewable groundwater or withdrawal of fossil groundwater and eventual use of desalinated water or treated wastewater. It does not include other categories of water use, such as for cooling of power plants, mining, recreation, navigation, fisheries, etc., which are sectors that are characterized by a very low net consumption rate.",Environment,Water,http://spreadsheets.google.com/pub?key=rezAT4nYhKc2Loe6CxWSPWw,Download indicator to excel,water_withdrawal_cu_meters_per_person,lin
Municipal water withdrawal (cu meters per person),"Volume of water withdrawal per person per year directly used by the population, counted in cubic meters. It includes renewable freshwater resources as well as potential over-abstraction of renewable groundwater or withdrawal of fossil groundwater and the potential use of desalinated water or treated wastewater. It is usually computed as the total water withdrawn by the public distribution network. It can include that part of the industries, which is connected to the municipal network. The ratio between the net consumption and the water withdrawn can vary from 5 to 15% in urban areas and from 10 to 50% in rural areas.",Environment,Water,http://spreadsheets.google.com/pub?key=ruUmTRBZ5xYjpOAhOT9VQbw,Download indicator to excel,municipal_water_withdrawal_cu_meters_per_person,lin
Agricultural water withdrawal (% of total),"Percentage of the total water withdrawal used in agriculture, including renewable freshwater resources as well as potential over-abstraction of renewable groundwater or withdrawal of fossil groundwater, use of agricultural drainage water, desalinated water and treated wastewater. It also includes water withdrawn for irrigation purposes and for livestock watering, although depending on the country this last category sometimes is included in municipal water withdrawal. As far as the water withdrawn for irrigation is concerned, the value far exceeds the consumptive use of irrigation because of water lost in its distribution from its source to the crops. ",Environment,Water,http://spreadsheets.google.com/pub?key=rab3jHe_JZrU1pqlX0xnQEw,Download indicator to excel,agricultural_water_withdrawal_percent_of_total,lin
Industrial water withdrawal (% of total),"Percentage of the total water withdrawal used in industry, including renewable water resources as well as potential over-abstraction of renewable groundwater or withdrawal of fossil groundwater and potential use of desalinated water or treated wastewater. Usually, this sector refers to self-supplied industries not connected to any distribution network. The ratio between net consumption and withdrawal is estimated at less than 5%.",Environment,Water,http://spreadsheets.google.com/pub?key=rGKP-BBylLOM11iGahW1lxA,Download indicator to excel,industrial_water_withdrawal_percent_of_total,lin
Municipal water withdrawal (% of total),"Percentage of the total water withdrawal directly used by the population, including renewable freshwater resources as well as potential over-abstraction of renewable groundwater or withdrawal of fossil groundwater and the potential use of desalinated water or treated wastewater. It is usually computed as the total water withdrawn by the public distribution network. It can include that part of the industries, which is connected to the municipal network. The ratio between the net consumption and the water withdrawn can vary from 5 to 15% in urban areas and from 10 to 50% in rural areas.",Environment,Water,http://spreadsheets.google.com/pub?key=r58mA3XNUvBov6M_1T_FiUg,Download indicator to excel,municipal_water_withdrawal_percent_of_total,lin
Desalinated water produced (billion cu meters),"Total quantity of the production of freshwater by desalination of brackish or saltwater (mostly for domestic purposes) during the given year, counted in billion cubic meters.",Environment,Water,http://spreadsheets.google.com/pub?key=rt3BaikcRwJBNC0CvQsjDCA,Download indicator to excel,desalinated_water_produced_billion_cu_meters,lin
Total water withdrawal (billion cu meters),"Annual quantity of freshwater withdrawn for agricultural, industrial and municipal purposes, counted in billion cubic meters. It includes renewable freshwater resources as well as potential over-abstraction of renewable groundwater or withdrawal of fossil groundwater and eventual use of desalinated water or treated wastewater. It does not include other categories of water use, such as for cooling of power plants, mining, recreation, navigation, fisheries, etc., which are sectors that are characterized by a very low net consumption rate.",Environment,Water,http://spreadsheets.google.com/pub?key=rIG3ZWxv381t2bIL2BNaIVw,Download indicator to excel,total_water_withdrawal_billion_cu_meters,lin
"Infant mortality (rate per 1,000 births)",Deaths of children during first year of life (per 1000 live births). ,Health,Newborn & Infants,http://spreadsheets.google.com/pub?key=phAwcNAVuyj0NpF2PTov2Cw,Download indicator to excel,infant_mortality_rate_per_1000_births,log
Underweight children,Percent of children under five who are more than two standard deviations below average weight for age. ,Health,,http://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdDdTQUtvNEJhb0RjRjU0WUtET1R0Vnc,Download indicator to excel,underweight_children,lin
"All causes deaths in newborn (per 1,000 births)","All causes deaths in newborn (per 1,000 births)",Health,Causes of newborn deaths,http://spreadsheets.google.com/pub?key=tbpc_fYEqPzaE7pDWBG84Rw,Download indicator to excel,all_causes_deaths_in_newborn_per_1000_births,log
"Birth asphyxia deaths in newborn (per 1,000 births)","Birth asphyxia deaths in newborn (per 1,000 births)",Health,Causes of newborn deaths,http://spreadsheets.google.com/pub?key=t_0WcTuc94YT9cJVvy1tmUg,Download indicator to excel,birth_asphyxia_deaths_in_newborn_per_1000_births,log
"Congenital deaths in newborn (per 1,000 births)","Congenital deaths in newborn (per 1,000 births)",Health,Causes of newborn deaths,http://spreadsheets.google.com/pub?key=tneegXfZGHA0-nLG25ypnyg,Download indicator to excel,congenital_deaths_in_newborn_per_1000_births,log
"Diarrhoeal deaths in newborn (per 1,000 births)","Diarrhoeal deaths in newborn (per 1,000 births)",Health,Causes of newborn deaths,http://spreadsheets.google.com/pub?key=tX7NQAP_5H4TOS1OEnxdxYw,Download indicator to excel,diarrhoeal_deaths_in_newborn_per_1000_births,log
"Pneumonia deaths in newborn (per 1,000 births)","Pneumonia deaths in newborn (per 1,000 births)",Health,Causes of newborn deaths,http://spreadsheets.google.com/pub?key=tOXHWd6PcUGK3Dg-k2N8Clw,Download indicator to excel,pneumonia_deaths_in_newborn_per_1000_births,log
"Prematurity deaths in newborn (per 1,000 births)","Prematurity deaths in newborn (per 1,000 births)",Health,Causes of newborn deaths,http://spreadsheets.google.com/pub?key=tVMPnbOfGdvTRrtbuIbRw5w,Download indicator to excel,prematurity_deaths_in_newborn_per_1000_births,log
"Sepsis deaths in newborn (per 1,000 births)","Sepsis deaths in newborn (per 1,000 births)",Health,Causes of newborn deaths,http://spreadsheets.google.com/pub?key=tGVRSoAJtdwQ30CqCSexKJA,Download indicator to excel,sepsis_deaths_in_newborn_per_1000_births,log
"Tetanus deaths in newborn (per 1,000 births)","Tetanus deaths in newborn (per 1,000 births)",Health,Causes of newborn deaths,http://spreadsheets.google.com/pub?key=t1E7e32tlIxtJU9UhnR9nJg,Download indicator to excel,tetanus_deaths_in_newborn_per_1000_births,log
"Other deaths in newborn (per 1,000 births)","Other deaths in newborn (per 1,000 births)",Health,Causes of newborn deaths,http://spreadsheets.google.com/pub?key=tiYIen5OQP0fKiQbg6g8VyA,Download indicator to excel,other_deaths_in_newborn_per_1000_births,log
———————————————————————,Placeholder,Health,Causes of newborn deaths,http://spreadsheets.google.com/pub?key=tLiJLI_rimqrdQRWdamPPRQ,Download indicator to excel,———————————————————————,lin
All causes deaths in newborn (total deaths),All causes deaths in newborn (total deaths),Health,Causes of newborn deaths,http://spreadsheets.google.com/pub?key=tBVcAKWEbc2s687q6D9yuYg,Download indicator to excel,all_causes_deaths_in_newborn_total_deaths,log
Birth asphyxia deaths in newborn (total deaths),Birth asphyxia deaths in newborn (total deaths),Health,Causes of newborn deaths,http://spreadsheets.google.com/pub?key=twrll6eL8GeIU4P71aTakmg,Download indicator to excel,birth_asphyxia_deaths_in_newborn_total_deaths,log
Congenital deaths in newborn (total deaths),Congenital deaths in newborn (total deaths),Health,Causes of newborn deaths,http://spreadsheets.google.com/pub?key=tUvFsKz2lGL-GtPmw47VLdg,Download indicator to excel,congenital_deaths_in_newborn_total_deaths,log
Diarrhoeal deaths in newborn (total deaths),Diarrhoeal deaths in newborn (total deaths),Health,Causes of newborn deaths,http://spreadsheets.google.com/pub?key=tKZcnGP_XImMXRZ4tZqtjMg,Download indicator to excel,diarrhoeal_deaths_in_newborn_total_deaths,log
Pneumonia deaths in newborn (total deaths),Pneumonia deaths in newborn (total deaths),Health,Causes of newborn deaths,http://spreadsheets.google.com/pub?key=tjvbVGhVx7YCk1uguLrkaag,Download indicator to excel,pneumonia_deaths_in_newborn_total_deaths,log
Prematurity deaths in newborn (total deaths),Prematurity deaths in newborn (total deaths),Health,Causes of newborn deaths,http://spreadsheets.google.com/pub?key=tVyFL3CyRTuGEnRQErDeSLQ,Download indicator to excel,prematurity_deaths_in_newborn_total_deaths,log
Sepsis deaths in newborn (total deaths),Sepsis deaths in newborn (total deaths),Health,Causes of newborn deaths,http://spreadsheets.google.com/pub?key=tRA1VmW2ZQ7sCsoD7AHIilg,Download indicator to excel,sepsis_deaths_in_newborn_total_deaths,log
Tetanus deaths in newborn (total deaths),Tetanus deaths in newborn (total deaths),Health,Causes of newborn deaths,http://spreadsheets.google.com/pub?key=tB6Gkh4rLC9yB2TXfHSApIA,Download indicator to excel,tetanus_deaths_in_newborn_total_deaths,log
Other deaths in newborn (total deaths),Other deaths in newborn (total deaths),Health,Causes of newborn deaths,http://spreadsheets.google.com/pub?key=tyPO4OLCIZtK5zcdkafcHMA,Download indicator to excel,other_deaths_in_newborn_total_deaths,log
"All causes deaths in children 1-59 months (per 1,000 births)","All causes deaths in children 1-59 months (per 1,000 births)",Health,Causes of child deaths,http://spreadsheets.google.com/pub?key=t9FP3_OPrE2ug_I_iNsbePg,Download indicator to excel,all_causes_deaths_in_children_1_59_months_per_1000_births,log
"Diarrhoeal deaths in children 1-59 months (per 1,000 births)","Diarrhoeal deaths in children 1-59 months (per 1,000 births)",Health,Causes of child deaths,http://spreadsheets.google.com/pub?key=tADSStUzP0ADEPYqsIfVHMQ,Download indicator to excel,diarrhoeal_deaths_in_children_1_59_months_per_1000_births,log
"HIV deaths in children 1-59 months (per 1,000 births)","HIV deaths in children 1-59 months (per 1,000 births)",Health,Causes of child deaths,http://spreadsheets.google.com/pub?key=t4C4M_ynK9Ho8tGRj6a5U5w,Download indicator to excel,hiv_deaths_in_children_1_59_months_per_1000_births,log
"Injury deaths in children 1-59 months (per 1,000 births)","Injury deaths in children 1-59 months (per 1,000 births)",Health,Causes of child deaths,http://spreadsheets.google.com/pub?key=tfOi0Ji7pJDJbxJVqwJXj9g,Download indicator to excel,injury_deaths_in_children_1_59_months_per_1000_births,log
"Malaria deaths in children 1-59 months (per 1,000 births)","Malaria deaths in children 1-59 months (per 1,000 births)",Health,Causes of child deaths,http://spreadsheets.google.com/pub?key=tunqKEwokfnJMDA1g7W8KwA,Download indicator to excel,malaria_deaths_in_children_1_59_months_per_1000_births,log
"Measles deaths in children 1-59 months (per 1,000 births)","Measles deaths in children 1-59 months (per 1,000 births)",Health,Causes of child deaths,http://spreadsheets.google.com/pub?key=tfyKUbGu10P_WOgHSOHhCJg,Download indicator to excel,measles_deaths_in_children_1_59_months_per_1000_births,log
"Meningitis deaths in children 1-59 months (per 1,000 births)","Meningitis deaths in children 1-59 months (per 1,000 births)",Health,Causes of child deaths,http://spreadsheets.google.com/pub?key=tZhYsw0sliDInwowT0iWTLQ,Download indicator to excel,meningitis_deaths_in_children_1_59_months_per_1000_births,log
"NCD deaths in children 1-59 months (per 1,000 births)","NCD deaths in children 1-59 months (per 1,000 births)",Health,Causes of child deaths,http://spreadsheets.google.com/pub?key=tqAEpy6pMtN7ULlF6uIzEog,Download indicator to excel,ncd_deaths_in_children_1_59_months_per_1000_births,log
"Pertussis deaths in children 1-59 months (per 1,000 births)","Pertussis deaths in children 1-59 months (per 1,000 births)",Health,Causes of child deaths,http://spreadsheets.google.com/pub?key=t4RbfeK6Dtt2srxw4REoXxQ,Download indicator to excel,pertussis_deaths_in_children_1_59_months_per_1000_births,log
"Pneumonia deaths in children 1-59 months (per 1,000 births)","Pneumonia deaths in children 1-59 months (per 1,000 births)",Health,Causes of child deaths,http://spreadsheets.google.com/pub?key=tCe8N5KXAYCJteQokAqVM_A,Download indicator to excel,pneumonia_deaths_in_children_1_59_months_per_1000_births,log
"Other infections deaths in children 1-59 months (per 1,000 births)","Other infections deaths in children 1-59 months (per 1,000 births)",Health,Causes of child deaths,http://spreadsheets.google.com/pub?key=tVAqgYwCDZfcq9jSCI87SAw,Download indicator to excel,other_infections_deaths_in_children_1_59_months_per_1000_birt,log
———————————————————————,Placeholder,Health,Causes of child deaths,http://spreadsheets.google.com/pub?key=tFrUv6vnhhO4Jr1czdG_p0Q,Download indicator to excel,———————————————————————,lin
All causes deaths in children 1-59 months (total deaths),All causes deaths in children 1-59 months (total deaths),Health,Causes of child deaths,http://spreadsheets.google.com/pub?key=taYeez4Mkk8OvdH-q4QAxxQ,Download indicator to excel,all_causes_deaths_in_children_1_59_months_total_deaths,log
Diarrhoeal deaths in children 1-59 months (total deaths),Diarrhoeal deaths in children 1-59 months (total deaths),Health,Causes of child deaths,http://spreadsheets.google.com/pub?key=tDzIq4iIDwNtYthN_QYZwZg,Download indicator to excel,diarrhoeal_deaths_in_children_1_59_months_total_deaths,log
HIV deaths in children 1-59 months (total deaths),HIV deaths in children 1-59 months (total deaths),Health,Causes of child deaths,http://spreadsheets.google.com/pub?key=tQe6yinBBauXLvBFroZEL3Q,Download indicator to excel,hiv_deaths_in_children_1_59_months_total_deaths,log
Injury deaths in children 1-59 months (total deaths),Injury deaths in children 1-59 months (total deaths),Health,Causes of child deaths,http://spreadsheets.google.com/pub?key=tnRIpcH0InZUFz7f2ziXKog,Download indicator to excel,injury_deaths_in_children_1_59_months_total_deaths,log
Malaria deaths in children 1-59 months (total deaths),Malaria deaths in children 1-59 months (total deaths),Health,Causes of child deaths,http://spreadsheets.google.com/pub?key=t1Vf-4rkGlG20pYzuGib3hw,Download indicator to excel,malaria_deaths_in_children_1_59_months_total_deaths,log
Measles deaths in children 1-59 months (total deaths),Measles deaths in children 1-59 months (total deaths),Health,Causes of child deaths,http://spreadsheets.google.com/pub?key=tYZAce4wGXEp5Jve3AI7yWQ,Download indicator to excel,measles_deaths_in_children_1_59_months_total_deaths,log
Meningitis deaths in children 1-59 months (total deaths),Meningitis deaths in children 1-59 months (total deaths),Health,Causes of child deaths,http://spreadsheets.google.com/pub?key=tX-vHLzEZ7mqfk1vf6SbUXA,Download indicator to excel,meningitis_deaths_in_children_1_59_months_total_deaths,log
NCD deaths in children 1-59 months (total deaths),NCD deaths in children 1-59 months (total deaths),Health,Causes of child deaths,http://spreadsheets.google.com/pub?key=tfmFGk3PIvTgimegQiHOtSQ,Download indicator to excel,ncd_deaths_in_children_1_59_months_total_deaths,log
Pertussis deaths in children 1-59 months (total deaths),Pertussis deaths in children 1-59 months (total deaths),Health,Causes of child deaths,http://spreadsheets.google.com/pub?key=tdOlzqGxVdDnnCpfWyyGX1A,Download indicator to excel,pertussis_deaths_in_children_1_59_months_total_deaths,log
Pneumonia deaths in children 1-59 months (total deaths),Pneumonia deaths in children 1-59 months (total deaths),Health,Causes of child deaths,http://spreadsheets.google.com/pub?key=tcYkTk6KMHsrXzcM9WyUxbw,Download indicator to excel,pneumonia_deaths_in_children_1_59_months_total_deaths,log
Other infections deaths in children 1-59 months (total deaths),Other infections deaths in children 1-59 months (total deaths),Health,Causes of child deaths,http://spreadsheets.google.com/pub?key=tiehFos6jB-lekEAH028deA,Download indicator to excel,other_infections_deaths_in_children_1_59_months_total_deaths,log
"Breast cancer, new cases per 100,000 women","Number of new cases of breast cancer in 100,000 female residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",Health,"Cancer, female",http://spreadsheets.google.com/pub?key=phAwcNAVuyj0Zbn8wVYsEHQ,Download indicator to excel,breast_cancer_new_cases_per_100000_women,lin
"Cervical cancer, new cases per 100,000 women","Number of new cases of cervical cancer in 100,000 female residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",Health,"Cancer, female",http://spreadsheets.google.com/pub?key=phAwcNAVuyj3XpKHFksEPcA,Download indicator to excel,cervical_cancer_new_cases_per_100000_women,lin
"Colon&Rectum cancer, new cases per 100,000 women","Number of new cases of colon&rectum cancer in 100,000 female residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",Health,"Cancer, female",http://spreadsheets.google.com/pub?key=phAwcNAVuyj2P7lqZXLeZAw,Download indicator to excel,colonandrectum_cancer_new_cases_per_100000_women,lin
"Liver cancer, new cases per 100,000 women","Number of new cases of liver cancer in 100,000 female residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",Health,"Cancer, female",http://spreadsheets.google.com/pub?key=phAwcNAVuyj2xhaKENmyRKw,Download indicator to excel,liver_cancer_new_cases_per_100000_women,lin
"Lung cancer, new cases per 100,000 women","Number of new cases of lung cancer in 100,000 female residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",Health,"Cancer, female",http://spreadsheets.google.com/pub?key=phAwcNAVuyj0UaQ2DNjK9Lg,Download indicator to excel,lung_cancer_new_cases_per_100000_women,lin
