geo,maternal_deaths_total_number,time
sle,4256,1995
sle,4125,2000
sle,3415,2005
sle,2714,2010
sle,2400,2013
sgp,7,1980
sgp,4,1990
sgp,4,1995
sgp,9,2000
sgp,5,2005
sgp,2,2010
sgp,3,2013
svk,18,1980
svk,12,1990
svk,7,1995
svk,6,2000
svk,3,2005
svk,4,2010
svk,4,2013
svn,9,1980
svn,2,1990
svn,2,1995
svn,2,2000
svn,3,2005
svn,2,2010
svn,1,2013
slb,73,1980
slb,40,1990
slb,34,1995
slb,31,2000
slb,28,2005
slb,24,2010
slb,23,2013
som,2727,1980
som,3926,1990
som,4226,1995
som,4289,2000
som,4359,2005
som,4010,2010
som,3900,2013
zaf,2119,1980
zaf,1623,1990
zaf,1500,1995
zaf,1645,2000
zaf,1781,2005
zaf,1556,2010
zaf,1500,2013
esp,107,1980
esp,28,1990
esp,15,1995
esp,20,2000
esp,28,2005
esp,28,2010
esp,21,2013
lka,2961,1900
lka,2554,1901
lka,2757,1902
lka,2546,1903
lka,2331,1904
lka,1852,1905
lka,2720,1906
lka,2267,1907
lka,2872,1908
lka,2391,1909
lka,1654,1910
lka,4205,1911
lka,3727,1912
lka,3783,1913
lka,4616,1914
lka,4292,1915
lka,4591,1916
lka,4297,1917
lka,4613,1918
lka,4251,1919
lka,3406,1920
lka,4556,1921
lka,4288,1922
lka,4550,1923
lka,3940,1924
lka,4090,1925
lka,4480,1926
lka,4062,1927
lka,4583,1928
lka,4477,1929
lka,4767,1930
lka,4708,1931
lka,4400,1932
lka,4324,1933
lka,4749,1934
lka,6412,1935
lka,5250,1936
lka,4895,1937
lka,5012,1938
lka,4600,1939
lka,4105,1940
lka,3962,1941
lka,3783,1942
lka,3538,1943
lka,3664,1944
lka,4600,1945
lka,4265,1946
lka,2935,1947
lka,2323,1948
lka,1862,1949
lka,1598,1950
lka,1704,1951
lka,1796,1952
lka,1563,1953
lka,1522,1954
lka,1387,1955
lka,1317,1956
lka,1319,1957
lka,1389,1958
lka,1232,1959
lka,1108,1960
lka,961,1961
lka,1096,1962
lka,914,1963
lka,1046,1964
lka,905,1965
lka,844,1966
lka,651,1967
lka,685,1968
lka,585,1969
lka,552,1970
lka,526,1971
lka,495,1972
lka,455,1973
lka,418,1974
lka,386,1975
lka,385,1976
lka,365,1977
lka,345,1978
lka,348,1979
lka,373,1980
lka,175,1990
lka,245,1995
lka,191,2000
lka,149,2005
lka,113,2010
lka,110,2013
sdn,4176,1980
sdn,6126,1990
sdn,6400,1995
sdn,6063,2000
sdn,5533,2005
sdn,4904,2010
sdn,4600,2013
sur,19,1980
sur,9,1990
sur,4,1995
sur,13,2000
sur,11,2005
sur,15,2010
sur,12,2013
swz,163,1980
swz,202,1990
swz,171,1995
swz,178,2000
swz,169,2005
swz,129,2010
swz,120,2013
swe,606,1800
swe,594,1801
swe,630,1802
swe,610,1803
swe,576,1804
swe,511,1805
swe,646,1806
swe,656,1807
swe,643,1808
swe,649,1809
swe,710,1810
swe,772,1811
swe,682,1812
swe,542,1813
swe,592,1814
swe,648,1815
swe,614,1816
swe,635,1817
swe,653,1818
swe,628,1819
swe,648,1820
swe,700,1821
swe,739,1822
swe,693,1823
swe,531,1824
swe,561,1825
swe,592,1826
swe,561,1827
swe,665,1828
swe,711,1829
swe,619,1830
swe,552,1831
swe,512,1832
swe,595,1833
swe,575,1834
swe,504,1835
swe,523,1836
swe,515,1837
swe,422,1838
swe,465,1839
swe,601,1840
swe,597,1841
swe,676,1842
swe,456,1843
swe,446,1844
swe,444,1845
swe,491,1846
swe,437,1847
swe,425,1848
swe,528,1849
swe,513,1850
swe,522,1851
swe,489,1852
swe,470,1853
swe,535,1854
swe,508,1855
swe,406,1856
swe,444,1857
swe,662,1858
swe,697,1859
swe,648,1860
swe,644,1861
swe,725,1862
swe,745,1863
swe,793,1864
swe,780,1865
swe,682,1866
swe,621,1867
swe,561,1868
swe,691,1869
swe,779,1870
swe,729,1871
swe,598,1872
swe,733,1873
swe,1207,1874
swe,912,1875
swe,834,1876
swe,676,1877
swe,568,1878
swe,605,1879
swe,630,1880
swe,645,1881
swe,499,1882
swe,549,1883
swe,494,1884
swe,598,1885
swe,519,1886
swe,619,1887
swe,468,1888
swe,415,1889
swe,406,1890
swe,457,1891
swe,479,1892
swe,492,1893
swe,397,1894
swe,376,1895
swe,333,1896
swe,342,1897
swe,282,1898
swe,333,1899
swe,260,1900
swe,315,1901
swe,306,1902
swe,306,1903
swe,289,1904
swe,334,1905
swe,326,1906
swe,409,1907
swe,295,1908
swe,349,1909
swe,345,1910
swe,354,1911
swe,309,1912
swe,296,1913
swe,338,1914
swe,358,1915
swe,325,1916
swe,298,1917
swe,305,1918
swe,370,1919
swe,555,1920
swe,343,1921
swe,293,1922
swe,263,1923
swe,260,1924
swe,280,1925
swe,301,1926
swe,273,1927
swe,324,1928
swe,353,1929
swe,327,1930
swe,350,1931
swe,331,1932
swe,298,1933
swe,326,1934
swe,253,1935
swe,315,1936
swe,313,1937
swe,244,1938
swe,233,1939
swe,224,1940
swe,215,1941
swe,165,1942
swe,165,1943
swe,170,1944
swe,145,1945
swe,105,1946
swe,96,1947
swe,84,1948
swe,75,1949
swe,70,1950
swe,97,1951
swe,65,1952
swe,67,1953
swe,58,1954
swe,53,1955
swe,37,1956
swe,39,1957
swe,32,1958
swe,26,1959
swe,42,1960
swe,23,1961
swe,15,1962
swe,30,1963
swe,23,1964
swe,16,1965
swe,12,1966
swe,16,1967
swe,10,1968
swe,12,1969
swe,11,1970
swe,9,1971
swe,7,1972
swe,6,1973
swe,4,1974
swe,5,1975
swe,6,1976
swe,7,1977
swe,6,1978
swe,6,1979
swe,5,1980
swe,7,1990
swe,5,1995
swe,5,2000
swe,4,2005
swe,6,2010
swe,5,2013
che,6,1980
che,6,1990
che,7,1995
che,5,2000
che,6,2005
che,6,2010
che,5,2013
syr,1005,1980
syr,579,1990
syr,442,1995
syr,372,2000
syr,294,2005
syr,249,2010
syr,260,2013
tjk,197,1980
tjk,144,1990
tjk,244,1995
tjk,169,2000
tjk,117,2005
tjk,111,2010
tjk,120,2013
tza,5277,1980
tza,10260,1990
tza,11250,1995
tza,11020,2000
tza,10120,2005
tza,8633,2010
tza,7900,2013
tha,1447,1980
tha,454,1990
tha,371,1995
tha,362,2000
tha,284,2005
tha,220,2010
tha,180,2013
tls,338,1980
tls,391,1990
tls,382,1995
tls,255,2000
tls,191,2005
tls,141,2010
tls,110,2013
tgo,779,1980
tgo,1061,1990
tgo,1144,1995
tgo,1127,2000
tgo,1122,2005
tgo,1155,2010
tgo,1100,2013
ton,11,1980
ton,2,1990
ton,3,1995
ton,3,2000
ton,3,2005
ton,3,2010
ton,3,2013
tto,21,1980
tto,23,1990
tto,18,1995
tto,11,2000
tto,11,2005
tto,17,2010
tto,16,2013
tun,659,1980
tun,195,1990
tun,151,1995
tun,109,2000
tun,92,2005
tun,91,2010
tun,86,2013
tur,3894,1980
tur,675,1990
tur,539,1995
tur,452,2000
tur,357,2005
tur,287,2010
tur,260,2013
tkm,76,1980
tkm,86,1990
tkm,94,1995
tkm,86,2000
tkm,82,2005
tkm,72,2010
tkm,68,2013
uga,2684,1980
uga,6757,1990
uga,7457,1995
uga,7508,2000
uga,6755,2005
uga,6121,2010
uga,5900,2013
ukr,330,1980
ukr,311,1990
ukr,224,1995
ukr,141,2000
ukr,109,2005
ukr,142,2010
ukr,110,2013
are,12,1980
are,7,1990
are,6,1995
are,6,2000
are,5,2005
are,7,2010
are,10,2013
gbr,4436,1847
gbr,4719,1848
gbr,4559,1849
gbr,4426,1850
gbr,4438,1851
gbr,4361,1852
gbr,4086,1853
gbr,4002,1854
gbr,3453,1855
gbr,3868,1856
gbr,3668,1857
gbr,4048,1858
gbr,4527,1859
gbr,4198,1860
gbr,3923,1861
gbr,3927,1862
gbr,4631,1863
gbr,5146,1864
gbr,4930,1865
gbr,4546,1866
gbr,4298,1867
gbr,4385,1868
gbr,4211,1869
gbr,4872,1870
gbr,5004,1871
gbr,4696,1872
gbr,4997,1873
gbr,7060,1874
gbr,6091,1875
gbr,4909,1876
gbr,4184,1877
gbr,4055,1878
gbr,4184,1879
gbr,4382,1880
gbr,5242,1881
gbr,5479,1882
gbr,5572,1883
gbr,5192,1884
gbr,5433,1885
gbr,4557,1886
gbr,4962,1887
gbr,5026,1888
gbr,4393,1889
gbr,5286,1890
gbr,5654,1891
gbr,6185,1892
gbr,6800,1893
gbr,5777,1894
gbr,5001,1895
gbr,5352,1896
gbr,5005,1897
gbr,4769,1898
gbr,4620,1899
gbr,4708,1900
gbr,4693,1901
gbr,4513,1902
gbr,4180,1903
gbr,3923,1904
gbr,4291,1905
gbr,4104,1906
gbr,3916,1907
gbr,3658,1908
gbr,3761,1909
gbr,3624,1910
gbr,3843,1911
gbr,3910,1912
gbr,3992,1913
gbr,4162,1914
gbr,3857,1915
gbr,3796,1916
gbr,3080,1917
gbr,3042,1918
gbr,3702,1919
gbr,4646,1920
gbr,3875,1921
gbr,3546,1922
gbr,3489,1923
gbr,3388,1924
gbr,3470,1925
gbr,3472,1926
gbr,3304,1927
gbr,3569,1928
gbr,3427,1929
gbr,3486,1930
gbr,3103,1931
gbr,3208,1932
gbr,3354,1933
gbr,3443,1934
gbr,3400,1935
gbr,3133,1936
gbr,2736,1937
gbr,2655,1938
gbr,2541,1939
gbr,2232,1940
gbr,2366,1941
gbr,2070,1942
gbr,1903,1943
gbr,1572,1944
gbr,1474,1945
gbr,1171,1946
gbr,976,1947
gbr,838,1948
gbr,779,1949
gbr,692,1950
gbr,576,1951
gbr,511,1952
gbr,548,1953
gbr,510,1954
gbr,485,1955
gbr,438,1956
gbr,388,1957
gbr,385,1958
gbr,347,1959
gbr,364,1960
gbr,320,1961
gbr,343,1962
gbr,278,1963
gbr,254,1964
gbr,262,1965
gbr,251,1966
gbr,196,1967
gbr,213,1968
gbr,166,1969
gbr,152,1970
gbr,136,1971
gbr,120,1972
gbr,107,1973
gbr,96,1974
gbr,92,1975
gbr,89,1976
gbr,85,1977
gbr,79,1978
gbr,79,1979
gbr,71,1980
gbr,78,1990
gbr,82,1995
gbr,77,2000
gbr,87,2005
gbr,87,2010
gbr,60,2013
usa,21250,1900
usa,20220,1901
usa,18900,1902
usa,18070,1903
usa,20620,1904
usa,21120,1905
usa,18950,1906
usa,19410,1907
usa,18270,1908
usa,19290,1909
usa,19430,1910
usa,19950,1911
usa,18780,1912
usa,19810,1913
usa,21340,1914
usa,18320,1915
usa,18760,1916
usa,19810,1917
usa,27400,1918
usa,20600,1919
usa,24000,1920
usa,21110,1921
usa,19480,1922
usa,19690,1923
usa,19830,1924
usa,19110,1925
usa,18950,1926
usa,18390,1927
usa,18810,1928
usa,18240,1929
usa,18020,1930
usa,18060,1931
usa,17630,1932
usa,17570,1933
usa,17150,1934
usa,17140,1935
usa,17030,1936
usa,14920,1937
usa,13510,1938
usa,12760,1939
usa,12080,1940
usa,10350,1941
usa,8596,1942
usa,8262,1943
usa,7810,1944
usa,7201,1945
usa,5546,1946
usa,4841,1947
usa,4258,1948
usa,3323,1949
usa,3109,1950
usa,2865,1951
usa,2692,1952
usa,2489,1953
usa,2192,1954
usa,2007,1955
usa,1774,1956
usa,1798,1957
usa,1660,1958
usa,1654,1959
usa,1635,1960
usa,1612,1961
usa,1514,1962
usa,1509,1963
usa,1368,1964
usa,1262,1965
usa,1126,1966
usa,1050,1967
usa,892,1968
usa,787,1969
usa,720,1970
usa,670,1971
usa,590,1972
usa,537,1973
usa,468,1974
usa,433,1975
usa,408,1976
usa,377,1977
usa,351,1978
usa,356,1979
usa,421,1980
usa,478,1990
usa,439,1995
usa,521,2000
usa,710,2005
usa,1105,2010
usa,1200,2013
ury,31,1980
ury,24,1990
ury,19,1995
ury,19,2000
ury,17,2005
ury,11,2010
ury,7,2013
uzb,402,1980
uzb,460,1990
uzb,341,1995
uzb,264,2000
uzb,249,2005
uzb,259,2010
uzb,220,2013
vut,23,1980
vut,9,1990
vut,8,1995
vut,7,2000
vut,6,2005
vut,6,2010
vut,6,2013
ven,370,1980
ven,536,1990
ven,564,1995
ven,529,2000
ven,557,2005
ven,660,2010
ven,650,2013
pse,126,1980
pse,94,1990
pse,82,1995
pse,71,2000
pse,74,2005
pse,73,2010
pse,63,2013
vnm,5882,1980
vnm,2745,1990
vnm,1886,1995
vnm,1154,2000
vnm,856,2005
vnm,789,2010
vnm,690,2013
yem,3605,1980
yem,2923,1990
yem,2886,1995
yem,2602,2000
yem,2501,2005
yem,2366,2010
yem,2100,2013
zmb,1708,1980
zmb,2186,1990
zmb,2625,1995
zmb,2852,2000
zmb,2273,2005
zmb,1871,2010
zmb,1800,2013
zwe,752,1980
zwe,2020,1990
zwe,2175,1995
zwe,2787,2000
zwe,3336,2005
zwe,3113,2010
zwe,2100,2013
ssd,4794,1990
ssd,3944,1995
ssd,3430,2000
ssd,3307,2005
ssd,3217,2010
ssd,3000,2013
