geo,maternal_mortality_ratio_per_100000_live_births,time
irl,496.0,1907
irl,520.0,1908
irl,546.0,1909
irl,531.0,1910
irl,505.0,1911
irl,543.0,1912
irl,536.0,1913
irl,521.0,1914
irl,530.0,1915
irl,574.0,1916
irl,485.0,1917
irl,483.0,1918
irl,471.0,1919
irl,487.0,1920
irl,495.0,1921
irl,566.0,1922
irl,482.0,1923
irl,478.0,1924
irl,469.0,1925
irl,489.0,1926
irl,451.0,1927
irl,493.0,1928
irl,410.0,1929
irl,477.0,1930
irl,431.0,1931
irl,455.0,1932
irl,444.0,1933
irl,468.0,1934
irl,467.0,1935
irl,470.0,1936
irl,361.0,1937
irl,411.0,1938
irl,339.0,1939
irl,367.0,1940
irl,321.0,1941
irl,247.0,1942
irl,225.0,1943
irl,238.0,1944
irl,237.0,1945
irl,201.0,1946
irl,188.0,1947
irl,158.0,1948
irl,181.0,1949
irl,156.0,1950
irl,163.8,1951
irl,142.3,1952
irl,132.7,1953
irl,110.3,1954
irl,113.6,1955
irl,85.6,1956
irl,132.3,1957
irl,102.5,1958
irl,64.8,1959
irl,57.6,1960
irl,45.1,1961
irl,43.7,1962
irl,34.8,1963
irl,46.8,1964
irl,28.3,1965
irl,28.9,1966
irl,22.8,1967
irl,36.1,1968
irl,31.8,1969
irl,29.3,1970
irl,32.5,1971
irl,26.1,1972
irl,24.9,1973
irl,13.6,1974
irl,15.2,1975
irl,11.8,1976
irl,15.0,1977
irl,12.8,1978
irl,12.8,1979
irl,10.6,1980
irl,6.0,1990
irl,4.0,1995
irl,6.0,2000
irl,2.0,2005
irl,10.0,2010
irl,9.0,2013
isr,8.6,1980
isr,12.0,1990
isr,10.0,1995
isr,9.0,2000
isr,7.0,2005
isr,5.0,2010
isr,2.0,2013
ita,13.8,1980
ita,10.0,1990
ita,6.0,1995
ita,4.0,2000
ita,5.0,2005
ita,4.0,2010
ita,4.0,2013
jam,82.3,1980
jam,98.0,1990
jam,89.0,1995
jam,88.0,2000
jam,85.0,2005
jam,82.0,2010
jam,80.0,2013
jpn,260.0,1935
jpn,240.0,1940
jpn,168.0,1947
jpn,176.0,1950
jpn,173.0,1951
jpn,170.0,1952
jpn,181.0,1953
jpn,184.0,1954
jpn,179.0,1955
jpn,170.0,1956
jpn,171.0,1957
jpn,155.0,1958
jpn,146.0,1959
jpn,131.0,1960
jpn,120.0,1961
jpn,112.0,1962
jpn,103.0,1963
jpn,99.0,1964
jpn,88.0,1965
jpn,93.0,1966
jpn,71.0,1967
jpn,68.0,1968
jpn,58.0,1969
jpn,51.7,1970
jpn,46.0,1971
jpn,41.3,1972
jpn,38.0,1973
jpn,34.0,1974
jpn,30.0,1975
jpn,26.0,1976
jpn,23.7,1977
jpn,22.0,1978
jpn,22.0,1979
jpn,19.6,1980
jpn,14.0,1990
jpn,10.0,1995
jpn,10.0,2000
jpn,7.0,2005
jpn,6.0,2010
jpn,6.0,2013
jor,213.5,1980
jor,86.0,1990
jor,73.0,1995
jor,65.0,2000
jor,58.0,2005
jor,53.0,2010
jor,50.0,2013
kaz,61.7,1980
kaz,91.0,1990
kaz,91.0,1995
kaz,71.0,2000
kaz,50.0,2005
kaz,40.0,2010
kaz,26.0,2013
ken,494.3,1980
ken,490.0,1990
ken,530.0,1995
ken,570.0,2000
ken,550.0,2005
ken,460.0,2010
ken,400.0,2013
kir,250.0,1990
kir,240.0,1995
kir,200.0,2000
kir,170.0,2005
kir,140.0,2010
kir,130.0,2013
prk,130.0,1980
prk,85.0,1990
prk,83.0,1995
prk,120.0,2000
prk,110.0,2005
prk,98.0,2010
prk,87.0,2013
kor,45.2,1980
kor,18.0,1990
kor,18.0,1995
kor,19.0,2000
kor,18.0,2005
kor,21.0,2010
kor,27.0,2013
kwt,51.2,1980
kwt,12.0,1990
kwt,10.0,1995
kwt,8.0,2000
kwt,6.0,2005
kwt,13.0,2010
kwt,14.0,2013
kgz,70.9,1980
kgz,85.0,1990
kgz,120.0,1995
kgz,100.0,2000
kgz,92.0,2005
kgz,79.0,2010
kgz,75.0,2013
lao,1780.0,1980
lao,1100.0,1990
lao,830.0,1995
lao,600.0,2000
lao,410.0,2005
lao,270.0,2010
lao,220.0,2013
lva,36.8,1980
lva,57.0,1990
lva,58.0,1995
lva,42.0,2000
lva,21.0,2005
lva,29.0,2010
lva,13.0,2013
lbn,123.6,1980
lbn,64.0,1990
lbn,47.0,1995
lbn,37.0,2000
lbn,26.0,2005
lbn,18.0,2010
lbn,16.0,2013
lso,587.9,1980
lso,720.0,1990
lso,630.0,1995
lso,680.0,2000
lso,670.0,2005
lso,540.0,2010
lso,490.0,2013
lbr,645.0,1980
lbr,1200.0,1990
lbr,1600.0,1995
lbr,1100.0,2000
lbr,880.0,2005
lbr,680.0,2010
lbr,640.0,2013
lby,147.8,1980
lby,31.0,1990
lby,25.0,1995
lby,21.0,2000
lby,17.0,2005
lby,15.0,2010
lby,15.0,2013
ltu,32.6,1980
ltu,34.0,1990
ltu,21.0,1995
ltu,20.0,2000
ltu,11.0,2005
ltu,9.0,2010
ltu,11.0,2013
lux,8.8,1980
lux,6.0,1990
lux,11.0,1995
lux,11.0,2000
lux,17.0,2005
lux,13.0,2010
lux,11.0,2013
mkd,28.3,1980
mkd,15.0,1990
mkd,13.0,1995
mkd,15.0,2000
mkd,14.0,2005
mkd,7.0,2010
mkd,7.0,2013
mdg,490.0,1980
mdg,740.0,1990
mdg,640.0,1995
mdg,550.0,2000
mdg,530.0,2005
mdg,480.0,2010
mdg,440.0,2013
mwi,631.9,1980
mwi,1100.0,1990
mwi,870.0,1995
mwi,750.0,2000
mwi,570.0,2005
mwi,540.0,2010
mwi,510.0,2013
mys,1085.0,1933
mys,974.1,1934
mys,955.7,1935
mys,1008.0,1936
mys,901.7,1937
mys,854.8,1938
mys,834.1,1939
mys,765.9,1940
mys,668.1,1946
mys,700.1,1947
mys,583.0,1948
mys,533.7,1949
mys,533.9,1950
mys,569.8,1951
mys,520.0,1952
mys,471.6,1953
mys,475.9,1954
mys,418.0,1955
mys,396.2,1956
mys,282.2,1957
mys,277.3,1958
mys,209.6,1959
mys,242.3,1960
mys,200.3,1961
mys,230.0,1962
mys,223.4,1963
mys,206.5,1964
mys,203.6,1965
mys,180.1,1966
mys,168.2,1967
mys,169.2,1968
mys,157.6,1969
mys,143.3,1970
mys,126.4,1971
mys,112.0,1972
mys,102.7,1973
mys,94.8,1974
mys,85.7,1975
mys,79.9,1976
mys,80.2,1977
mys,77.2,1978
mys,77.2,1979
mys,137.1,1980
mys,56.0,1990
mys,45.0,1995
mys,40.0,2000
mys,36.0,2005
mys,31.0,2010
mys,29.0,2013
mdv,1057.0,1980
mdv,430.0,1990
mdv,210.0,1995
mdv,110.0,2000
mdv,57.0,2005
mdv,38.0,2010
mdv,31.0,2013
mli,1126.0,1980
mli,1100.0,1990
mli,1000.0,1995
mli,860.0,2000
mli,710.0,2005
mli,600.0,2010
mli,550.0,2013
mlt,21.1,1980
mlt,12.0,1990
mlt,11.0,1995
mlt,11.0,2000
mlt,9.0,2005
mlt,8.0,2010
mlt,9.0,2013
mhl,82.2,1990
mhl,99.1,2000
mrt,1491.0,1980
mrt,630.0,1990
mrt,550.0,1995
mrt,480.0,2000
mrt,400.0,2005
mrt,360.0,2010
mrt,320.0,2013
mus,121.7,1980
mus,70.0,1990
mus,68.0,1995
mus,28.0,2000
mus,35.0,2005
mus,72.0,2010
mus,73.0,2013
mex,123.7,1980
mex,88.0,1990
mex,77.0,1995
mex,67.0,2000
mex,50.0,2005
mex,47.0,2010
mex,49.0,2013
fsm,378.4,1980
fsm,170.0,1990
fsm,140.0,1995
fsm,130.0,2000
fsm,120.0,2005
fsm,100.0,2010
fsm,96.0,2013
mda,58.3,1980
mda,61.0,1990
mda,59.0,1995
mda,39.0,2000
mda,25.0,2005
mda,41.0,2010
mda,21.0,2013
mng,959.4,1980
mng,100.0,1990
mng,120.0,1995
mng,120.0,2000
mng,89.0,2005
mng,74.0,2010
mng,68.0,2013
mne,79.1,1980
mne,8.0,1990
mne,9.0,1995
mne,10.0,2000
mne,8.0,2005
mne,7.0,2010
mne,7.0,2013
