geo,time,dtp3_immunized_percent_of_one_year_olds
bra,1982,56
bra,1983,60
bra,1984,68
bra,1985,66
bra,1986,58
bra,1987,58
bra,1988,58
bra,1989,56
bra,1990,66
bra,1991,78
bra,1992,71
bra,1993,75
bra,1994,74
bra,1995,81
bra,1996,77
bra,1997,79
bra,1998,93
bra,1999,94
bra,2000,98
bra,2001,98
bra,2002,99
bra,2003,98
bra,2004,96
bra,2005,96
bra,2006,97
bra,2007,97
bra,2008,98
bra,2009,98
bra,2010,98
bra,2011,96
brn,1980,89
brn,1981,94
brn,1982,99
brn,1983,85
brn,1984,96
brn,1985,88
brn,1986,86
brn,1987,85
brn,1988,89
brn,1989,91
brn,1990,93
brn,1991,95
brn,1992,96
brn,1993,99
brn,1994,99
brn,1995,99
brn,1996,99
brn,1997,99
brn,1998,97
brn,1999,92
brn,2000,99
brn,2001,97
brn,2002,94
brn,2003,92
brn,2004,92
brn,2005,94
brn,2006,97
brn,2007,99
brn,2008,98
brn,2009,99
brn,2010,95
brn,2011,97
bgr,1980,98
bgr,1981,99
bgr,1982,99
bgr,1983,99
bgr,1984,99
bgr,1985,99
bgr,1986,99
bgr,1987,99
bgr,1988,99
bgr,1989,99
bgr,1990,99
bgr,1991,99
bgr,1992,98
bgr,1993,98
bgr,1994,93
bgr,1995,96
bgr,1996,95
bgr,1997,94
bgr,1998,95
bgr,1999,96
bgr,2000,93
bgr,2001,94
bgr,2002,93
bgr,2003,96
bgr,2004,95
bgr,2005,96
bgr,2006,95
bgr,2007,95
bgr,2008,95
bgr,2009,94
bgr,2010,94
bgr,2011,95
bfa,1985,9
bfa,1986,19
bfa,1987,23
bfa,1988,34
bfa,1989,44
bfa,1990,66
bfa,1991,53
bfa,1992,39
bfa,1993,39
bfa,1994,36
bfa,1995,34
bfa,1996,37
bfa,1997,39
bfa,1998,52
bfa,1999,43
bfa,2000,63
bfa,2001,71
bfa,2002,69
bfa,2003,79
bfa,2004,79
bfa,2005,82
bfa,2006,86
bfa,2007,89
bfa,2008,93
bfa,2009,92
bfa,2010,91
bfa,2011,91
bdi,1981,36
bdi,1982,33
bdi,1983,44
bdi,1984,26
bdi,1985,36
bdi,1986,55
bdi,1987,68
bdi,1988,51
bdi,1989,82
bdi,1990,86
bdi,1991,83
bdi,1992,80
bdi,1993,63
bdi,1994,48
bdi,1995,73
bdi,1996,73
bdi,1997,74
bdi,1998,65
bdi,1999,79
bdi,2000,80
bdi,2001,81
bdi,2002,81
bdi,2003,82
bdi,2004,83
bdi,2005,87
bdi,2006,92
bdi,2007,99
bdi,2008,92
bdi,2009,94
bdi,2010,96
bdi,2011,96
khm,1984,17
khm,1985,23
khm,1986,37
khm,1987,37
khm,1988,45
khm,1989,47
khm,1990,38
khm,1991,38
khm,1992,32
khm,1993,35
khm,1994,37
khm,1995,39
khm,1996,43
khm,1997,46
khm,1998,47
khm,1999,53
khm,2000,59
khm,2001,60
khm,2002,54
khm,2003,69
khm,2004,85
khm,2005,82
khm,2006,80
khm,2007,82
khm,2008,91
khm,2009,94
khm,2010,92
khm,2011,94
cmr,1981,5
cmr,1982,15
cmr,1983,25
cmr,1984,27
cmr,1985,33
cmr,1986,39
cmr,1987,44
cmr,1988,50
cmr,1989,56
cmr,1990,48
cmr,1991,42
cmr,1992,37
cmr,1993,37
cmr,1994,38
cmr,1995,46
cmr,1996,46
cmr,1997,48
cmr,1998,56
cmr,1999,59
cmr,2000,62
cmr,2001,63
cmr,2002,66
cmr,2003,73
cmr,2004,73
cmr,2005,80
cmr,2006,78
cmr,2007,75
cmr,2008,75
cmr,2009,67
cmr,2010,68
cmr,2011,66
can,1987,85
can,1988,86
can,1989,87
can,1990,88
can,1991,88
can,1992,89
can,1993,90
can,1994,93
can,1995,87
can,1996,90
can,1997,86
can,1998,90
can,1999,91
can,2000,92
can,2001,92
can,2002,93
can,2003,91
can,2004,94
can,2005,94
can,2006,94
can,2007,94
can,2008,94
can,2009,95
can,2010,95
can,2011,95
cpv,1983,23
cpv,1984,31
cpv,1985,39
cpv,1986,54
cpv,1987,92
cpv,1988,88
cpv,1989,99
cpv,1990,88
cpv,1991,87
cpv,1992,88
cpv,1993,89
cpv,1994,89
cpv,1995,88
cpv,1996,88
cpv,1997,87
cpv,1998,88
cpv,1999,89
cpv,2000,90
cpv,2001,90
cpv,2002,91
cpv,2003,92
cpv,2004,93
cpv,2005,95
cpv,2006,96
cpv,2007,98
cpv,2008,99
cpv,2009,99
cpv,2010,99
cpv,2011,90
caf,1980,13
caf,1981,11
caf,1982,14
caf,1983,16
caf,1984,17
caf,1985,20
caf,1986,19
caf,1987,22
caf,1988,42
caf,1989,64
caf,1990,82
caf,1991,64
caf,1992,45
caf,1993,47
caf,1994,48
caf,1995,53
caf,1996,48
caf,1997,43
caf,1998,43
caf,1999,33
caf,2000,37
caf,2001,40
caf,2002,44
caf,2003,47
caf,2004,51
caf,2005,54
caf,2006,54
caf,2007,54
caf,2008,54
caf,2009,54
caf,2010,54
caf,2011,54
tcd,1983,1
tcd,1984,3
tcd,1985,3
tcd,1986,10
tcd,1987,14
tcd,1988,14
tcd,1989,20
tcd,1990,20
tcd,1991,18
tcd,1992,10
tcd,1993,13
tcd,1994,18
tcd,1995,18
tcd,1996,20
tcd,1997,24
tcd,1998,35
tcd,1999,45
tcd,2000,36
tcd,2001,26
tcd,2002,25
tcd,2003,23
tcd,2004,22
tcd,2005,26
tcd,2006,41
tcd,2007,30
tcd,2008,19
tcd,2009,27
tcd,2010,35
tcd,2011,22
chl,1980,93
chl,1981,99
chl,1982,99
chl,1983,89
chl,1984,99
chl,1985,99
chl,1986,90
chl,1987,93
chl,1988,96
chl,1989,95
chl,1990,95
chl,1991,94
chl,1992,90
chl,1993,90
chl,1994,94
chl,1995,94
chl,1996,91
chl,1997,90
chl,1998,90
chl,1999,95
chl,2000,91
chl,2001,97
chl,2002,97
chl,2003,96
chl,2004,93
chl,2005,91
chl,2006,94
chl,2007,96
chl,2008,95
chl,2009,94
chl,2010,92
chl,2011,94
chn,1983,58
chn,1984,73
chn,1985,78
chn,1986,78
chn,1987,75
chn,1988,95
chn,1989,95
chn,1990,97
chn,1991,94
chn,1992,91
chn,1993,88
chn,1994,85
chn,1995,80
chn,1996,83
chn,1997,84
chn,1998,84
chn,1999,85
chn,2000,85
chn,2001,86
chn,2002,86
chn,2003,86
chn,2004,87
chn,2005,87
chn,2006,93
chn,2007,93
chn,2008,97
chn,2009,99
chn,2010,99
chn,2011,99
col,1980,16
col,1981,20
col,1982,26
col,1983,42
col,1984,61
col,1985,61
col,1986,48
col,1987,58
col,1988,74
col,1989,78
col,1990,88
col,1991,84
col,1992,78
col,1993,83
col,1994,85
col,1995,85
col,1996,85
col,1997,84
col,1998,73
col,1999,74
col,2000,79
col,2001,80
col,2002,81
col,2003,92
col,2004,89
col,2005,93
col,2006,93
col,2007,93
col,2008,92
col,2009,92
col,2010,88
col,2011,85
com,1984,31
com,1985,51
com,1986,71
com,1987,71
com,1988,43
com,1989,82
com,1990,94
com,1991,52
com,1992,38
com,1993,70
com,1994,58
com,1995,75
com,1996,60
com,1997,48
com,1998,75
com,1999,73
com,2000,70
com,2001,70
com,2002,89
com,2003,80
com,2004,76
com,2005,68
com,2006,69
com,2007,75
com,2008,81
com,2009,83
com,2010,74
com,2011,83
cod,1981,18
cod,1982,17
cod,1983,16
cod,1984,27
cod,1985,37
cod,1986,32
cod,1987,38
cod,1988,41
cod,1989,38
cod,1990,35
cod,1991,16
cod,1992,23
cod,1993,29
cod,1994,26
cod,1995,23
cod,1996,18
cod,1997,18
cod,1998,18
cod,1999,25
cod,2000,40
cod,2001,30
cod,2002,38
cod,2003,41
cod,2004,54
cod,2005,60
cod,2006,62
cod,2007,70
cod,2008,65
cod,2009,72
cod,2010,58
cod,2011,70
cog,1980,42
cog,1981,42
cog,1982,47
cog,1983,50
cog,1984,53
cog,1985,54
cog,1986,71
cog,1987,72
cog,1988,72
cog,1989,79
cog,1990,79
cog,1991,74
cog,1992,67
cog,1993,60
cog,1994,55
cog,1995,50
cog,1996,37
cog,1997,23
cog,1998,26
cog,1999,29
cog,2000,33
cog,2001,31
cog,2002,41
cog,2003,50
cog,2004,67
cog,2005,65
cog,2006,79
cog,2007,80
cog,2008,89
cog,2009,91
cog,2010,90
cog,2011,90
cok,1980,40
cok,1981,46
cok,1982,51
cok,1983,57
cok,1984,48
cok,1985,78
cok,1986,87
cok,1987,83
cok,1988,94
cok,1989,89
cok,1990,93
cok,1991,87
cok,1992,87
cok,1993,99
cok,1994,86
cok,1995,93
cok,1996,75
cok,1997,93
cok,1998,93
cok,1999,92
cok,2000,92
cok,2001,90
cok,2002,97
cok,2003,96
cok,2004,99
cok,2005,99
cok,2006,99
cok,2007,99
cok,2008,99
cok,2009,82
cok,2010,99
cok,2011,93
cri,1980,86
cri,1981,85
cri,1982,81
cri,1983,86
cri,1984,93
cri,1985,90
cri,1986,89
cri,1987,94
cri,1988,87
cri,1989,86
cri,1990,95
cri,1991,90
cri,1992,90
cri,1993,88
cri,1994,88
cri,1995,85
cri,1996,85
cri,1997,94
cri,1998,85
cri,1999,86
cri,2000,88
cri,2001,91
cri,2002,94
cri,2003,88
cri,2004,90
cri,2005,91
cri,2006,89
cri,2007,89
cri,2008,90
cri,2009,86
cri,2010,91
cri,2011,85
civ,1984,19
civ,1985,25
civ,1986,30
civ,1987,31
civ,1988,31
civ,1989,42
civ,1990,54
civ,1991,39
civ,1992,49
civ,1993,50
civ,1994,50
civ,1995,52
civ,1996,55
civ,1997,58
civ,1998,64
civ,1999,58
civ,2000,65
civ,2001,66
civ,2002,64
civ,2003,61
civ,2004,67
civ,2005,76
civ,2006,77
civ,2007,76
civ,2008,74
civ,2009,81
civ,2010,85
civ,2011,62
hrv,1992,83
hrv,1993,85
hrv,1994,87
hrv,1995,90
hrv,1996,91
hrv,1997,92
hrv,1998,93
hrv,1999,93
hrv,2000,93
hrv,2001,94
hrv,2002,95
hrv,2003,94
hrv,2004,96
hrv,2005,96
hrv,2006,96
hrv,2007,96
hrv,2008,96
hrv,2009,96
hrv,2010,97
hrv,2011,96
cub,1980,67
cub,1981,68
cub,1982,99
cub,1983,99
cub,1984,86
cub,1985,91
cub,1986,99
cub,1987,87
cub,1988,98
cub,1989,96
cub,1990,92
cub,1991,99
cub,1992,94
cub,1993,99
cub,1994,99
cub,1995,99
cub,1996,90
cub,1997,99
cub,1998,99
cub,1999,95
cub,2000,95
cub,2001,98
cub,2002,99
cub,2003,72
cub,2004,88
cub,2005,89
cub,2006,89
cub,2007,93
cub,2008,95
cub,2009,96
cub,2010,96
cub,2011,96
cyp,1980,34
cyp,1981,56
cyp,1982,26
cyp,1983,34
cyp,1984,30
cyp,1985,61
cyp,1986,91
cyp,1987,93
cyp,1988,90
cyp,1989,93
cyp,1990,93
cyp,1991,94
cyp,1992,94
cyp,1993,95
cyp,1994,95
cyp,1995,96
cyp,1996,98
cyp,1997,98
cyp,1998,98
cyp,1999,97
cyp,2000,97
cyp,2001,97
cyp,2002,98
cyp,2003,98
cyp,2004,98
cyp,2005,98
cyp,2006,97
cyp,2007,97
cyp,2008,97
cyp,2009,99
cyp,2010,99
cyp,2011,99
cze,1993,99
cze,1994,98
cze,1995,96
cze,1996,97
cze,1997,98
cze,1998,98
cze,1999,98
cze,2000,98
cze,2001,98
cze,2002,98
cze,2003,97
cze,2004,98
cze,2005,97
cze,2006,98
cze,2007,99
cze,2008,99
cze,2009,99
cze,2010,99
cze,2011,99
cheslo,1980,95
cheslo,1981,95
cheslo,1982,99
cheslo,1983,98
cheslo,1984,99
cheslo,1985,99
cheslo,1986,99
cheslo,1987,99
cheslo,1988,99
cheslo,1989,99
cheslo,1990,99
cheslo,1991,99
cheslo,1992,99
dnk,1980,88
dnk,1981,88
dnk,1982,87
dnk,1983,86
dnk,1984,86
dnk,1985,90
dnk,1986,89
dnk,1987,88
dnk,1988,87
dnk,1989,89
dnk,1990,90
dnk,1991,90
dnk,1992,91
dnk,1993,88
dnk,1994,89
dnk,1995,90
dnk,1996,77
dnk,1997,92
dnk,1998,99
dnk,1999,99
dnk,2000,97
dnk,2001,97
dnk,2002,98
dnk,2003,96
dnk,2004,95
dnk,2005,93
dnk,2006,93
dnk,2007,87
dnk,2008,88
dnk,2009,89
dnk,2010,90
dnk,2011,91
dji,1982,6
dji,1983,14
dji,1984,21
dji,1985,22
dji,1986,24
dji,1987,25
dji,1988,65
dji,1989,77
dji,1990,85
dji,1991,53
dji,1992,41
dji,1993,41
dji,1994,41
dji,1995,41
dji,1996,41
dji,1997,32
dji,1998,23
dji,1999,23
dji,2000,46
dji,2001,53
dji,2002,62
dji,2003,68
dji,2004,64
dji,2005,71
dji,2006,72
dji,2007,88
dji,2008,89
dji,2009,89
dji,2010,88
dji,2011,87
dma,1980,63
dma,1981,97
dma,1982,99
dma,1983,93
dma,1984,84
dma,1985,91
dma,1986,93
dma,1987,95
dma,1988,96
dma,1989,92
dma,1990,92
dma,1991,98
dma,1992,99
dma,1993,99
dma,1994,99
dma,1995,99
dma,1996,99
dma,1997,92
dma,1998,99
dma,1999,99
dma,2000,99
dma,2001,99
dma,2002,98
dma,2003,99
dma,2004,99
dma,2005,98
dma,2006,95
dma,2007,96
dma,2008,96
dma,2009,99
dma,2010,98
dma,2011,98
dom,1980,36
dom,1981,27
dom,1982,28
dom,1983,29
dom,1984,34
dom,1985,39
dom,1986,80
dom,1987,80
dom,1988,69
dom,1989,58
dom,1990,69
dom,1991,71
dom,1992,73
dom,1993,75
dom,1994,74
dom,1995,72
dom,1996,72
dom,1997,73
dom,1998,75
dom,1999,83
dom,2000,78
dom,2001,72
dom,2002,82
dom,2003,79
dom,2004,81
dom,2005,87
dom,2006,89
dom,2007,87
dom,2008,85
dom,2009,82
dom,2010,88
dom,2011,84
ecu,1980,10
ecu,1981,26
ecu,1982,35
ecu,1983,31
ecu,1984,48
ecu,1985,41
ecu,1986,44
ecu,1987,51
ecu,1988,54
ecu,1989,55
ecu,1990,68
ecu,1991,59
ecu,1992,87
ecu,1993,85
ecu,1994,84
ecu,1995,83
ecu,1996,82
ecu,1997,81
ecu,1998,85
ecu,1999,80
ecu,2000,88
ecu,2001,90
ecu,2002,89
ecu,2003,89
ecu,2004,90
ecu,2005,94
ecu,2006,98
ecu,2007,99
ecu,2008,99
ecu,2009,99
ecu,2010,99
ecu,2011,99
egy,1980,57
egy,1981,57
egy,1982,57
egy,1983,57
egy,1984,69
egy,1985,84
egy,1986,80
egy,1987,81
egy,1988,87
egy,1989,90
egy,1990,87
egy,1991,76
egy,1992,79
egy,1993,81
egy,1994,83
egy,1995,88
egy,1996,90
egy,1997,88
egy,1998,92
egy,1999,97
egy,2000,98
egy,2001,99
egy,2002,97
egy,2003,98
egy,2004,97
egy,2005,98
egy,2006,98
egy,2007,98
egy,2008,97
egy,2009,97
egy,2010,97
egy,2011,96
slv,1980,44
slv,1981,42
slv,1982,42
slv,1983,21
slv,1984,31
slv,1985,55
slv,1986,50
slv,1987,53
slv,1988,63
slv,1989,64
slv,1990,80
slv,1991,61
slv,1992,60
slv,1993,79
slv,1994,90
slv,1995,99
slv,1996,96
slv,1997,97
slv,1998,99
slv,1999,94
slv,2000,99
slv,2001,92
slv,2002,81
slv,2003,94
slv,2004,90
slv,2005,89
slv,2006,96
slv,2007,99
slv,2008,98
slv,2009,91
slv,2010,92
slv,2011,89
gnq,1985,3
gnq,1986,3
gnq,1987,10
gnq,1988,19
gnq,1989,48
gnq,1990,77
gnq,1991,77
gnq,1992,76
gnq,1993,76
gnq,1994,77
gnq,1995,79
gnq,1996,80
gnq,1997,81
gnq,1998,81
gnq,1999,33
gnq,2000,33
gnq,2001,33
gnq,2002,33
gnq,2003,33
gnq,2004,33
gnq,2005,33
gnq,2006,33
gnq,2007,33
gnq,2008,33
gnq,2009,33
gnq,2010,33
gnq,2011,33
eri,1993,32
eri,1994,49
eri,1995,58
eri,1996,66
eri,1997,75
eri,1998,86
eri,1999,93
eri,2000,81
eri,2001,86
eri,2002,90
eri,2003,93
eri,2004,98
eri,2005,96
eri,2006,96
eri,2007,96
eri,2008,99
eri,2009,99
eri,2010,99
eri,2011,99
est,1993,71
est,1994,77
est,1995,82
est,1996,87
est,1997,87
est,1998,88
est,1999,91
est,2000,93
est,2001,94
est,2002,94
est,2003,94
est,2004,94
est,2005,96
est,2006,95
est,2007,95
est,2008,95
est,2009,95
est,2010,94
est,2011,93
eth,1981,3
eth,1982,3
eth,1983,4
eth,1984,4
eth,1985,6
eth,1986,7
eth,1987,16
eth,1988,16
eth,1989,26
eth,1990,49
eth,1991,21
eth,1992,13
eth,1993,28
eth,1994,57
eth,1995,57
eth,1996,55
eth,1997,55
eth,1998,37
eth,1999,27
eth,2000,27
eth,2001,33
eth,2002,30
eth,2003,28
eth,2004,40
eth,2005,42
eth,2006,42
eth,2007,42
eth,2008,49
eth,2009,44
eth,2010,50
eth,2011,51
fji,1980,68
fji,1981,70
fji,1982,64
fji,1983,80
