geo,co2_emissions_tonnes_per_person,time
alb,1.333,2004
alb,1.354,2005
alb,1.224,2006
alb,1.279,2007
alb,1.298,2008
alb,1.215,2009
alb,1.337,2010
dza,0.0,1900
dza,0.0,1901
dza,0.0,1902
dza,0.0,1903
dza,0.0,1904
dza,0.0,1905
dza,0.0006423,1916
dza,0.001269,1917
dza,0.003132,1918
dza,0.003093,1919
dza,0.003665,1920
dza,0.004222,1921
dza,0.00417,1922
dza,0.002353,1923
dza,0.004647,1924
dza,0.005163,1925
dza,0.006231,1926
dza,0.00895,1927
dza,0.01105,1928
dza,0.012,1929
dza,0.01239,1930
dza,0.01436,1931
dza,0.01628,1932
dza,0.01712,1933
dza,0.01947,1934
dza,0.01821,1935
dza,0.006993,1936
dza,0.009372,1937
dza,0.004384,1938
dza,0.02117,1939
dza,0.03088,1940
dza,0.03987,1941
dza,0.063,1942
dza,0.05855,1943
dza,0.06143,1944
dza,0.07494,1945
dza,0.09163,1946
dza,0.08831,1947
dza,0.09408,1948
dza,0.1052,1949
dza,0.4327,1950
dza,0.4619,1951
dza,0.426,1952
dza,0.4293,1953
dza,0.4369,1954
dza,0.4748,1955
dza,0.5039,1956
dza,0.5466,1957
dza,0.5038,1958
dza,0.5352,1959
dza,0.5704,1960
dza,0.551,1961
dza,0.5057,1962
dza,0.4752,1963
dza,0.4848,1964
dza,0.5532,1965
dza,0.6893,1966
dza,0.6714,1967
dza,0.6999,1968
dza,0.8453,1969
dza,1.097,1970
dza,1.318,1971
dza,1.941,1972
dza,2.545,1973
dza,2.055,1974
dza,1.999,1975
dza,2.369,1976
dza,2.454,1977
dza,3.548,1978
dza,2.506,1979
dza,3.536,1980
dza,2.388,1981
dza,1.954,1982
dza,2.534,1983
dza,3.317,1984
dza,3.293,1985
dza,3.352,1986
dza,3.595,1987
dza,3.492,1988
dza,3.245,1989
dza,3.118,1990
dza,3.141,1991
dza,3.097,1992
dza,3.035,1993
dza,3.111,1994
dza,3.347,1995
dza,3.354,1996
dza,3.016,1997
dza,3.608,1998
dza,3.06,1999
dza,2.88,2000
dza,2.72,2001
dza,2.889,2002
dza,2.899,2003
dza,2.762,2004
dza,3.257,2005
dza,3.113,2006
dza,3.313,2007
dza,3.329,2008
dza,3.564,2009
dza,3.481,2010
dza,3.563,2011
dza,3.786,2012
and,6.291,1995
and,6.521,1996
and,7.062,1997
and,7.534,1998
and,8.023,1999
and,8.112,2000
and,7.898,2001
and,7.701,2002
and,7.414,2003
and,7.5,2004
and,7.391,2005
and,6.84,2006
and,6.622,2007
and,6.527,2008
and,6.179,2009
and,6.092,2010
ago,0.04509,1950
ago,0.05909,1951
ago,0.07254,1952
ago,0.06283,1953
ago,0.07812,1954
ago,0.09123,1955
ago,0.1086,1956
ago,0.1317,1957
ago,0.124,1958
ago,0.1271,1959
ago,0.1108,1960
ago,0.08997,1961
ago,0.2294,1962
ago,0.2196,1963
ago,0.2295,1964
ago,0.2187,1965
ago,0.2814,1966
ago,0.1769,1967
ago,0.2927,1968
ago,0.4792,1969
ago,0.6045,1970
ago,0.5638,1971
ago,0.7292,1972
ago,0.7719,1973
ago,0.7526,1974
ago,0.6651,1975
ago,0.4825,1976
ago,0.5057,1977
ago,0.7532,1978
ago,0.7437,1979
ago,0.6999,1980
ago,0.6681,1981
ago,0.5676,1982
ago,0.6024,1983
ago,0.57,1984
ago,0.5185,1985
ago,0.4999,1986
ago,0.6081,1987
ago,0.5235,1988
ago,0.4982,1989
ago,0.4286,1990
ago,0.4099,1991
ago,0.4016,1992
ago,0.5101,1993
ago,0.3313,1994
ago,0.9096,1995
ago,0.8424,1996
ago,0.577,1997
ago,0.5562,1998
ago,0.6776,1999
ago,0.6851,2000
ago,0.6763,2001
ago,0.8505,2002
ago,0.5878,2003
ago,1.178,2004
ago,1.162,2005
ago,1.309,2006
ago,1.435,2007
ago,1.474,2008
ago,1.5,2009
ago,1.594,2010
aia,1.79,1997
aia,2.454,1998
aia,2.393,1999
aia,2.982,2000
aia,3.189,2001
aia,3.055,2002
aia,3.214,2003
aia,3.363,2004
aia,3.782,2005
aia,3.665,2006
aia,4.076,2007
aia,3.981,2008
aia,3.897,2009
aia,4.297,2010
atg,0.412,1957
atg,0.5461,1958
atg,0.5421,1959
atg,0.6709,1960
atg,0.8603,1961
atg,1.822,1962
atg,1.467,1963
atg,1.563,1964
atg,2.512,1965
atg,5.707,1966
atg,9.074,1967
atg,15.61,1968
atg,19.49,1969
atg,7.044,1970
atg,6.391,1971
atg,5.547,1972
atg,4.84,1973
atg,6.231,1974
atg,10.19,1975
atg,5.769,1976
atg,6.624,1977
atg,6.966,1978
atg,5.771,1979
atg,2.036,1980
atg,1.527,1981
atg,4.263,1982
atg,1.244,1983
atg,2.199,1984
atg,3.8,1985
atg,3.863,1986
atg,4.33,1987
atg,4.564,1988
atg,4.599,1989
atg,4.834,1990
atg,4.674,1991
atg,4.598,1992
atg,4.721,1993
atg,4.659,1994
atg,4.701,1995
atg,4.58,1996
atg,4.664,1997
atg,4.497,1998
atg,4.584,1999
atg,4.438,2000
atg,4.354,2001
atg,4.509,2002
atg,4.756,2003
atg,4.913,2004
atg,4.894,2005
atg,5.007,2006
atg,5.163,2007
atg,5.275,2008
atg,5.679,2009
atg,5.787,2010
arg,0.3534,1887
arg,0.2811,1888
arg,0.5369,1889
arg,0.4062,1890
arg,0.269,1891
arg,0.3844,1892
arg,0.4172,1893
arg,0.5179,1894
arg,0.5693,1895
arg,0.5606,1896
arg,0.4899,1897
arg,0.5349,1898
arg,0.6436,1899
arg,0.4414,1900
arg,0.5117,1901
arg,0.5565,1902
arg,0.545,1903
arg,0.6964,1904
arg,0.7037,1905
arg,1.064,1906
arg,1.025,1907
arg,1.202,1908
arg,0.9022,1909
arg,1.304,1910
arg,1.402,1911
arg,1.287,1912
arg,1.327,1913
arg,1.101,1914
arg,0.8603,1915
arg,0.6067,1916
arg,0.2667,1917
arg,0.2962,1918
arg,0.43,1919
arg,0.6654,1920
arg,0.6098,1921
arg,0.7797,1922
arg,0.8707,1923
arg,1.091,1924
arg,1.086,1925
arg,1.058,1926
arg,1.221,1927
arg,1.13,1928
arg,1.134,1929
arg,1.074,1930
arg,1.057,1931
arg,1.057,1932
arg,1.049,1933
arg,1.111,1934
arg,1.074,1935
arg,1.14,1936
arg,1.24,1937
arg,1.192,1938
arg,1.244,1939
arg,1.121,1940
arg,0.969,1941
arg,0.9218,1942
arg,0.9472,1943
arg,0.9231,1944
arg,0.8889,1945
arg,0.8763,1946
arg,0.9115,1947
arg,1.068,1948
arg,0.919,1949
arg,1.746,1950
arg,1.999,1951
arg,2.022,1952
arg,1.93,1953
arg,1.98,1954
arg,2.092,1955
arg,2.3,1956
arg,2.429,1957
arg,2.217,1958
arg,2.415,1959
arg,2.367,1960
arg,2.441,1961
arg,2.521,1962
arg,2.315,1963
arg,2.537,1964
arg,2.64,1965
arg,2.791,1966
arg,2.856,1967
arg,2.968,1968
arg,3.274,1969
arg,3.449,1970
arg,3.648,1971
arg,3.636,1972
arg,3.729,1973
arg,3.725,1974
arg,3.64,1975
arg,3.766,1976
arg,3.747,1977
arg,3.759,1978
arg,3.994,1979
arg,3.865,1980
arg,3.572,1981
arg,3.566,1982
arg,3.573,1983
arg,3.562,1984
arg,3.314,1985
arg,3.382,1986
arg,3.675,1987
arg,3.828,1988
arg,3.637,1989
arg,3.45,1990
arg,3.536,1991
arg,3.621,1992
arg,3.49,1993
arg,3.583,1994
arg,3.516,1995
arg,3.662,1996
arg,3.771,1997
arg,3.81,1998
arg,3.981,1999
arg,3.82,2000
arg,3.555,2001
arg,3.273,2002
arg,3.503,2003
arg,4.073,2004
arg,4.161,2005
arg,4.464,2006
arg,4.582,2007
arg,4.785,2008
arg,4.484,2009
arg,4.466,2010
arg,4.676,2011
arg,4.775,2012
arm,1.174,1992
arm,0.8594,1993
arm,0.9015,1994
arm,1.083,1995
arm,0.8218,1996
arm,1.046,1997
arm,1.096,1998
arm,0.9894,1999
arm,1.126,2000
arm,1.155,2001
arm,0.9942,2002
arm,1.12,2003
arm,1.19,2004
arm,1.422,2005
arm,1.427,2006
arm,1.648,2007
arm,1.804,2008
arm,1.411,2009
arm,1.365,2010
abw,2.868,1986
abw,7.235,1987
abw,10.03,1988
abw,10.63,1989
abw,29.62,1990
abw,29.84,1991
abw,25.24,1992
abw,24.4,1993
abw,22.98,1994
abw,22.19,1995
abw,21.81,1996
abw,21.74,1997
abw,19.21,1998
abw,19.03,1999
abw,24.74,2000
abw,24.22,2001
abw,23.84,2002
abw,23.28,2003
abw,22.8,2004
abw,22.51,2005
abw,22.13,2006
abw,22.62,2007
abw,21.68,2008
abw,21.53,2009
abw,21.59,2010
aus,0.0,1851
aus,0.0,1852
aus,0.0,1853
aus,0.0,1854
aus,0.0,1855
aus,0.0,1856
aus,0.0,1857
aus,0.0,1858
aus,0.0,1859
aus,0.2102,1860
aus,0.3787,1861
aus,0.2574,1862
aus,0.2791,1863
aus,0.179,1864
aus,0.2706,1865
aus,0.433,1866
aus,0.5432,1867
aus,0.4314,1868
aus,0.3667,1869
aus,0.3388,1870
aus,0.4137,1871
aus,0.411,1872
aus,0.4912,1873
aus,0.489,1874
aus,0.4422,1875
aus,0.4828,1876
aus,0.5348,1877
aus,0.4694,1878
aus,0.6844,1879
aus,1.005,1880
aus,0.7789,1881
aus,0.8573,1882
aus,0.992,1883
aus,1.007,1884
aus,1.097,1885
aus,1.054,1886
aus,1.071,1887
aus,1.204,1888
aus,1.134,1889
aus,1.142,1890
aus,1.255,1891
aus,1.269,1892
aus,1.19,1893
aus,1.285,1894
aus,1.328,1895
aus,1.279,1896
aus,1.389,1897
aus,1.542,1898
aus,1.569,1899
aus,2.72,1900
aus,3.016,1901
aus,2.962,1902
aus,2.882,1903
aus,2.928,1904
aus,3.011,1905
aus,3.538,1906
aus,3.753,1907
aus,3.995,1908
aus,3.404,1909
aus,3.988,1910
aus,4.279,1911
aus,4.463,1912
aus,4.648,1913
aus,4.966,1914
aus,4.387,1915
aus,3.892,1916
aus,4.197,1917
aus,4.562,1918
aus,4.189,1919
aus,4.806,1920
aus,4.243,1921
aus,4.371,1922
aus,4.365,1923
aus,4.655,1924
aus,4.754,1925
aus,4.597,1926
aus,4.673,1927
aus,4.173,1928
aus,3.701,1929
aus,3.408,1930
aus,2.997,1931
aus,3.094,1932
aus,3.257,1933
aus,3.399,1934
aus,3.751,1935
aus,3.991,1936
aus,4.221,1937
aus,4.064,1938
aus,4.614,1939
aus,4.127,1940
aus,4.862,1941
aus,5.093,1942
aus,4.839,1943
aus,4.684,1944
aus,4.428,1945
aus,4.743,1946
aus,5.02,1947
aus,4.984,1948
aus,4.758,1949
aus,6.699,1950
aus,7.034,1951
aus,7.002,1952
aus,6.756,1953
aus,7.54,1954
aus,7.681,1955
aus,7.759,1956
aus,7.74,1957
aus,7.882,1958
aus,8.317,1959
aus,8.574,1960
aus,8.632,1961
aus,8.872,1962
aus,9.265,1963
aus,9.797,1964
aus,10.65,1965
aus,10.36,1966
aus,10.87,1967
aus,11.06,1968
aus,11.42,1969
aus,11.6,1970
aus,11.76,1971
aus,11.9,1972
aus,12.69,1973
aus,12.59,1974
aus,12.66,1975
aus,12.38,1976
aus,13.2,1977
aus,14.05,1978
aus,14.11,1979
aus,15.01,1980
aus,15.46,1981
aus,15.49,1982
aus,14.67,1983
aus,15.2,1984
aus,15.25,1985
aus,14.93,1986
aus,15.68,1987
aus,15.73,1988
aus,16.48,1989
aus,16.81,1990
aus,16.25,1991
aus,16.8,1992
aus,17.04,1993
aus,16.96,1994
aus,16.97,1995
aus,17.97,1996
aus,18.01,1997
aus,18.52,1998
aus,17.18,1999
aus,17.2,2000
aus,16.76,2001
aus,17.39,2002
aus,17.46,2003
aus,17.35,2004
aus,17.77,2005
aus,17.89,2006
aus,17.86,2007
aus,18.02,2008
aus,18.04,2009
aus,16.75,2010
aus,16.77,2011
aus,16.18,2012
aut,0.05171,1807
aut,0.07528,1819
aut,0.09904,1820
aut,0.1061,1821
aut,0.1078,1822
aut,0.1019,1823
aut,0.1163,1824
aut,0.1168,1825
aut,0.1321,1826
aut,0.1367,1827
aut,0.1308,1828
aut,0.1354,1829
aut,0.1399,1830
aut,0.1351,1831
aut,0.1437,1832
aut,0.1195,1833
aut,0.1626,1834
aut,0.1749,1835
aut,0.1867,1836
aut,0.1932,1837
aut,0.2312,1838
aut,0.2866,1839
aut,0.3148,1840
aut,0.353,1841
aut,0.3879,1842
aut,0.3352,1843
aut,0.4189,1844
aut,0.4699,1845
aut,0.5488,1846
aut,0.537,1847
aut,0.5986,1848
aut,0.5762,1849
aut,0.5895,1850
aut,0.5871,1851
aut,0.702,1852
aut,0.7997,1853
aut,0.7824,1854
aut,0.905,1855
aut,1.028,1856
aut,1.175,1857
aut,1.735,1858
aut,1.396,1859
aut,1.453,1860
aut,1.497,1861
aut,1.481,1862
aut,1.361,1863
aut,1.167,1864
aut,1.223,1865
aut,0.8158,1866
aut,1.108,1867
aut,1.36,1868
aut,1.443,1869
aut,1.631,1870
aut,2.225,1871
aut,2.175,1872
aut,2.311,1873
aut,1.954,1874
aut,1.663,1875
aut,1.697,1876
aut,1.514,1877
aut,1.492,1878
aut,1.811,1879
aut,4.789,1880
aut,2.071,1881
aut,2.109,1882
aut,2.319,1883
aut,2.24,1884
aut,2.334,1885
aut,2.183,1886
aut,2.333,1887
aut,2.255,1888
aut,2.409,1889
aut,2.419,1890
aut,2.746,1891
aut,2.63,1892
aut,3.184,1893
aut,3.227,1894
aut,3.589,1895
aut,3.714,1896
aut,3.973,1897
aut,4.179,1898
aut,4.199,1899
aut,4.637,1900
aut,4.703,1901
aut,4.21,1902
aut,4.148,1903
aut,4.327,1904
aut,4.47,1905
aut,5.279,1906
aut,6.564,1907
aut,9.096,1908
aut,6.443,1909
aut,8.703,1910
aut,7.209,1911
aut,7.433,1912
aut,8.818,1913
aut,7.18,1914
aut,5.104,1915
aut,1.178,1916
aut,0.5091,1917
aut,0.4966,1918
aut,0.47,1919
aut,2.252,1920
aut,2.976,1921
aut,2.849,1922
aut,2.719,1923
aut,3.064,1924
aut,2.887,1925
aut,2.822,1926
aut,3.041,1927
aut,3.193,1928
aut,3.63,1929
aut,2.825,1930
aut,2.702,1931
aut,2.258,1932
aut,2.111,1933
aut,2.036,1934
aut,2.061,1935
aut,2.013,1936
aut,2.261,1937
aut,0.8579,1938
aut,0.9535,1939
aut,1.096,1940
aut,1.183,1941
aut,1.261,1942
aut,1.413,1943
aut,1.375,1944
aut,0.6714,1945
aut,1.824,1946
aut,2.531,1947
aut,3.523,1948
aut,3.831,1949
aut,3.015,1950
aut,3.36,1951
aut,3.188,1952
aut,3.136,1953
aut,3.536,1954
aut,4.19,1955
aut,4.06,1956
aut,4.191,1957
aut,4.024,1958
aut,3.985,1959
aut,4.376,1960
aut,4.5,1961
aut,4.759,1962
aut,5.157,1963
aut,5.393,1964
aut,5.254,1965
aut,5.368,1966
aut,5.433,1967
aut,5.727,1968
aut,6.013,1969
aut,6.789,1970
aut,6.956,1971
aut,7.465,1972
aut,7.967,1973
aut,7.593,1974
aut,7.177,1975
aut,7.705,1976
aut,7.42,1977
aut,7.597,1978
aut,8.15,1979
aut,6.928,1980
aut,7.439,1981
aut,7.141,1982
aut,6.889,1983
aut,7.224,1984
aut,7.235,1985
aut,7.143,1986
aut,7.612,1987
aut,7.013,1988
aut,7.089,1989
aut,7.916,1990
aut,8.497,1991
aut,7.783,1992
aut,7.689,1993
aut,7.74,1994
aut,7.778,1995
aut,7.916,1996
aut,8.015,1997
aut,8.22,1998
aut,7.989,1999
aut,7.957,2000
aut,8.174,2001
aut,8.31,2002
aut,8.89,2003
aut,8.779,2004
aut,9.017,2005
aut,8.649,2006
aut,8.32,2007
aut,8.183,2008
aut,7.438,2009
aut,7.969,2010
aut,7.606,2011
aut,7.096,2012
aze,7.746,1992
aze,6.527,1993
aze,5.563,1994
aze,4.311,1995
aze,4.017,1996
aze,3.766,1997
aze,3.971,1998
aze,3.554,1999
aze,3.638,2000
aze,3.512,2001
aze,3.576,2002
aze,3.655,2003
aze,3.784,2004
aze,3.998,2005
aze,4.501,2006
aze,4.696,2007
aze,5.11,2008
aze,4.701,2009
aze,4.977,2010
aze,5.326,2011
aze,5.409,2012
bhs,0.6954,1950
bhs,0.8252,1951
bhs,0.9456,1952
bhs,0.9676,1953
bhs,0.9832,1954
bhs,1.448,1955
bhs,1.516,1956
bhs,1.841,1957
bhs,1.801,1958
bhs,2.493,1959
bhs,3.749,1960
bhs,4.746,1961
bhs,5.996,1962
bhs,5.557,1963
bhs,8.117,1964
bhs,9.398,1965
bhs,7.465,1966
bhs,11.17,1967
bhs,10.29,1968
bhs,10.63,1969
bhs,15.2,1970
bhs,38.72,1971
bhs,36.49,1972
bhs,43.38,1973
bhs,39.92,1974
bhs,43.7,1975
bhs,33.51,1976
bhs,49.3,1977
bhs,32.79,1978
bhs,33.64,1979
bhs,37.94,1980
bhs,13.01,1981
bhs,10.27,1982
bhs,8.96,1983
bhs,8.07,1984
bhs,6.441,1985
bhs,5.907,1986
bhs,5.849,1987
bhs,6.225,1988
bhs,7.736,1989
bhs,7.616,1990
bhs,6.832,1991
bhs,6.747,1992
bhs,6.285,1993
bhs,6.124,1994
bhs,6.016,1995
bhs,5.881,1996
bhs,4.749,1997
bhs,5.779,1998
bhs,5.7,1999
bhs,5.605,2000
bhs,5.203,2001
bhs,5.156,2002
bhs,4.894,2003
bhs,5.475,2004
bhs,5.006,2005
bhs,4.696,2006
bhs,4.705,2007
bhs,3.132,2008
bhs,4.855,2009
bhs,7.186,2010
bhr,0.1115,1933
bhr,1.215,1934
bhr,5.289,1935
bhr,19.23,1936
bhr,31.79,1937
bhr,33.66,1938
bhr,30.54,1939
bhr,28.2,1940
bhr,26.83,1941
bhr,24.4,1942
bhr,25.49,1943
bhr,25.79,1944
bhr,27.78,1945
bhr,30.19,1946
bhr,35.16,1947
bhr,40.36,1948
bhr,40.27,1949
bhr,11.96,1950
bhr,10.07,1951
bhr,10.76,1952
bhr,8.082,1953
bhr,8.159,1954
bhr,10.53,1955
bhr,7.601,1956
bhr,5.22,1957
bhr,8.574,1958
bhr,8.401,1959
bhr,3.557,1960
bhr,10.59,1961
bhr,9.236,1962
bhr,6.747,1963
bhr,8.792,1964
bhr,6.592,1965
bhr,3.403,1966
bhr,5.149,1967
bhr,5.523,1968
bhr,6.198,1969
bhr,12.24,1970
bhr,13.85,1971
bhr,16.13,1972
bhr,23.16,1973
bhr,21.56,1974
bhr,21.7,1975
bhr,23.29,1976
bhr,24.77,1977
bhr,24.14,1978
bhr,23.85,1979
bhr,22.03,1980
bhr,22.91,1981
bhr,25.63,1982
bhr,20.87,1983
bhr,22.74,1984
bhr,24.45,1985
bhr,25.56,1986
bhr,25.62,1987
bhr,26.31,1988
bhr,24.55,1989
bhr,24.11,1990
bhr,22.7,1991
bhr,20.38,1992
bhr,28.44,1993
bhr,27.97,1994
bhr,28.65,1995
bhr,27.17,1996
bhr,29.2,1997
bhr,30.11,1998
bhr,28.75,1999
bhr,29.21,2000
bhr,21.67,2001
bhr,24.45,2002
bhr,25.44,2003
bhr,26.06,2004
bhr,26.5,2005
bhr,24.03,2006
bhr,24.19,2007
bhr,23.09,2008
bhr,20.66,2009
bhr,19.18,2010
bgd,0.003102,1946
bgd,0.003208,1947
bgd,0.003541,1948
bgd,0.005024,1949
bgd,0.02623,1950
bgd,0.03138,1951
bgd,0.03223,1952
bgd,0.03197,1953
bgd,0.03165,1954
bgd,0.03177,1955
bgd,0.03663,1956
bgd,0.0368,1957
bgd,0.04013,1958
bgd,0.03783,1959
bgd,0.04418,1960
bgd,0.04448,1961
bgd,0.04754,1962
bgd,0.05315,1963
bgd,0.05309,1964
bgd,0.05405,1965
bgd,0.05326,1966
bgd,0.05468,1967
bgd,0.06073,1968
bgd,0.05731,1969
bgd,0.05691,1970
bgd,0.05319,1971
bgd,0.05125,1972
bgd,0.06606,1973
bgd,0.06699,1974
bgd,0.06899,1975
bgd,0.0773,1976
bgd,0.07863,1977
bgd,0.0791,1978
bgd,0.08485,1979
bgd,0.09473,1980
bgd,0.09569,1981
bgd,0.101,1982
bgd,0.09416,1983
bgd,0.1016,1984
bgd,0.1109,1985
bgd,0.1209,1986
bgd,0.1217,1987
bgd,0.1354,1988
bgd,0.131,1989
bgd,0.1476,1990
bgd,0.1479,1991
bgd,0.161,1992
bgd,0.1545,1993
bgd,0.1649,1994
bgd,0.1942,1995
bgd,0.2003,1996
bgd,0.2048,1997
bgd,0.1927,1998
bgd,0.1984,1999
bgd,0.215,2000
bgd,0.246,2001
bgd,0.251,2002
bgd,0.2482,2003
bgd,0.2867,2004
bgd,0.2671,2005
bgd,0.3381,2006
bgd,0.3366,2007
bgd,0.3192,2008
bgd,0.3559,2009
bgd,0.3776,2010
bgd,0.4013,2011
bgd,0.426,2012
brb,0.02201,1928
brb,0.02183,1929
brb,0.04328,1930
brb,0.02146,1931
brb,0.02128,1932
brb,0.0211,1933
brb,0.02092,1934
brb,0.0,1935
brb,0.0,1936
brb,0.0,1937
brb,0.0,1938
brb,0.02005,1939
brb,0.0,1940
brb,0.0,1941
brb,0.0,1942
brb,0.0,1943
brb,0.0,1944
brb,0.0,1945
brb,0.0,1946
brb,0.01851,1947
brb,0.01812,1948
brb,0.01775,1949
brb,0.3476,1950
brb,0.51,1951
brb,0.4008,1952
brb,0.4938,1953
brb,0.5047,1954
brb,0.5653,1955
brb,0.5622,1956
brb,0.5921,1957
brb,0.6544,1958
brb,0.6529,1959
brb,0.7466,1960
brb,0.8392,1961
brb,1.12,1962
brb,0.8166,1963
brb,0.7663,1964
brb,0.8728,1965
brb,1.135,1966
brb,1.427,1967
brb,1.857,1968
brb,2.021,1969
brb,1.798,1970
brb,2.018,1971
brb,2.081,1972
brb,1.977,1973
brb,2.01,1974
brb,2.314,1975
brb,2.157,1976
brb,2.389,1977
brb,2.547,1978
brb,2.424,1979
brb,2.712,1980
brb,2.746,1981
brb,2.573,1982
brb,2.721,1983
brb,2.954,1984
brb,3.329,1985
brb,3.587,1986
brb,3.672,1987
brb,3.672,1988
brb,3.828,1989
brb,4.14,1990
brb,4.633,1991
brb,3.749,1992
brb,4.256,1993
brb,2.848,1994
brb,3.146,1995
brb,3.219,1996
brb,3.403,1997
brb,4.288,1998
brb,4.536,1999
brb,4.441,2000
brb,4.553,2001
brb,4.569,2002
brb,4.709,2003
brb,4.795,2004
brb,5.002,2005
brb,5.059,2006
brb,5.251,2007
brb,6.008,2008
brb,5.955,2009
brb,5.5,2010
blr,8.494,1992
blr,7.227,1993
blr,6.403,1994
blr,6.046,1995
blr,5.872,1996
blr,5.832,1997
blr,5.67,1998
blr,5.522,1999
blr,5.316,2000
blr,5.254,2001
blr,5.258,2002
blr,5.416,2003
blr,5.878,2004
blr,6.011,2005
blr,6.323,2006
blr,6.196,2007
blr,6.488,2008
blr,6.256,2009
blr,6.484,2010
blr,6.399,2011
blr,6.507,2012
bel,2.022,1802
bel,1.653,1830
bel,1.181,1831
bel,1.237,1832
bel,1.188,1833
bel,1.137,1834
bel,1.218,1835
bel,1.42,1836
bel,1.509,1837
bel,1.527,1838
bel,1.659,1839
bel,1.895,1840
bel,1.797,1841
bel,1.851,1842
bel,1.7,1843
bel,1.849,1844
bel,1.931,1845
bel,2.089,1846
bel,2.152,1847
bel,1.897,1848
bel,1.983,1849
bel,2.099,1850
bel,2.273,1851
bel,2.534,1852
bel,2.602,1853
bel,2.864,1854
bel,2.915,1855
bel,2.861,1856
bel,2.96,1857
bel,3.09,1858
bel,3.165,1859
bel,3.212,1860
bel,3.45,1861
bel,3.401,1862
bel,3.559,1863
bel,3.709,1864
bel,3.881,1865
bel,4.15,1866
bel,4.462,1867
bel,4.005,1868
bel,4.308,1869
bel,4.86,1870
bel,4.62,1871
bel,4.946,1872
bel,5.389,1873
bel,4.93,1874
bel,5.082,1875
bel,4.928,1876
bel,4.648,1877
bel,5.009,1878
bel,5.053,1879
bel,5.495,1880
bel,5.468,1881
bel,5.722,1882
bel,5.994,1883
bel,5.837,1884
bel,5.634,1885
bel,5.428,1886
bel,5.702,1887
bel,6.006,1888
bel,6.092,1889
bel,6.538,1890
bel,6.134,1891
bel,6.059,1892
bel,5.73,1893
bel,6.258,1894
bel,6.237,1895
bel,6.515,1896
bel,6.685,1897
bel,6.832,1898
bel,7.079,1899
bel,7.397,1900
bel,6.873,1901
bel,7.083,1902
bel,7.527,1903
bel,7.111,1904
bel,7.011,1905
bel,7.927,1906
bel,7.954,1907
bel,7.811,1908
bel,7.73,1909
bel,8.18,1910
bel,8.212,1911
bel,8.541,1912
bel,8.879,1913
bel,5.258,1914
bel,4.439,1915
bel,5.904,1916
bel,4.693,1917
bel,4.406,1918
bel,5.886,1919
bel,7.309,1920
