geo,storm_affected_annual_number,time
atg,0,1991
atg,0,1992
atg,0,1993
atg,0,1994
atg,68700,1995
atg,0,1996
atg,0,1997
atg,2027,1998
atg,5959,1999
atg,0,2000
atg,0,2001
atg,0,2002
atg,0,2003
atg,0,2004
atg,0,2005
atg,0,2006
atg,0,2007
atg,25800,2008
arg,0,1970
arg,0,1971
arg,0,1972
arg,360,1973
arg,100100,1974
arg,20,1975
arg,0,1976
arg,0,1977
arg,105,1978
arg,0,1979
arg,0,1980
arg,0,1981
arg,0,1982
arg,0,1983
arg,0,1984
arg,0,1985
arg,1001,1986
arg,1001,1987
arg,0,1988
arg,0,1989
arg,0,1990
arg,0,1991
arg,0,1992
arg,8015,1993
arg,0,1994
arg,6006,1995
arg,0,1996
arg,0,1997
arg,4000,1998
arg,0,1999
arg,431,2000
arg,2670,2001
arg,5003,2002
arg,912,2003
arg,0,2004
arg,263,2005
arg,0,2006
arg,0,2007
arg,0,2008
aus,13,1970
aus,3,1971
aus,0,1972
aus,0,1973
aus,45720,1974
aus,0,1975
aus,0,1976
aus,0,1977
aus,105,1978
aus,15,1979
aus,0,1980
aus,0,1981
aus,1,1982
aus,0,1983
aus,0,1984
aus,27,1985
aus,1019,1986
aus,0,1987
aus,1,1988
aus,4,1989
aus,0,1990
aus,408,1991
aus,122,1992
aus,12070,1993
aus,2860000,1994
aus,431800,1995
aus,622800,1996
aus,0,1997
aus,0,1998
aus,10700,1999
aus,1351,2000
aus,209,2001
aus,129,2002
aus,2071,2003
aus,648,2004
aus,1201,2005
aus,9030,2006
aus,822,2007
aus,12000,2008
aut,0,1970
aut,0,1971
aut,0,1972
aut,0,1973
aut,0,1974
aut,0,1975
aut,0,1976
aut,0,1977
aut,0,1978
aut,0,1979
aut,0,1980
aut,0,1981
aut,0,1982
aut,0,1983
aut,12,1984
aut,0,1985
aut,0,1986
aut,0,1987
aut,0,1988
aut,0,1989
aut,3,1990
aut,0,1991
aut,0,1992
aut,0,1993
aut,0,1994
aut,0,1995
aut,0,1996
aut,0,1997
aut,0,1998
aut,0,1999
aut,0,2000
aut,0,2001
aut,303,2002
aut,0,2003
aut,0,2004
aut,0,2005
aut,0,2006
aut,0,2007
aut,4,2008
bhs,0,1970
bhs,0,1971
bhs,0,1972
bhs,0,1973
bhs,0,1974
bhs,0,1975
bhs,0,1976
bhs,0,1977
bhs,0,1978
bhs,0,1979
bhs,0,1980
bhs,0,1981
bhs,0,1982
bhs,0,1983
bhs,0,1984
bhs,0,1985
bhs,0,1986
bhs,0,1987
bhs,0,1988
bhs,0,1989
bhs,0,1990
bhs,0,1991
bhs,1704,1992
bhs,0,1993
bhs,0,1994
bhs,0,1995
bhs,0,1996
bhs,0,1997
bhs,0,1998
bhs,1,1999
bhs,0,2000
bhs,0,2001
bhs,0,2002
bhs,0,2003
bhs,9012,2004
bhs,1501,2005
bhs,0,2006
bhs,7001,2007
bhs,3000,2008
bgd,3948000,1970
bgd,163,1971
bgd,25200,1972
bgd,51900,1973
bgd,2800,1974
bgd,0,1975
bgd,247,1976
bgd,11230,1977
bgd,1130,1978
bgd,203,1979
bgd,1061,1980
bgd,2038000,1981
bgd,0,1982
bgd,6035,1983
bgd,0,1984
bgd,1846000,1985
bgd,2723000,1986
bgd,12,1987
bgd,10580000,1988
bgd,104800,1989
bgd,59260,1990
bgd,15580000,1991
bgd,10320,1992
bgd,868500,1993
bgd,659200,1994
bgd,2374000,1995
bgd,119300,1996
bgd,3804000,1997
bgd,230600,1998
bgd,101600,1999
bgd,146700,2000
bgd,28990,2001
bgd,101500,2002
bgd,480,2003
bgd,18440,2004
bgd,35780,2005
bgd,18300,2006
bgd,8983000,2007
bgd,0,2008
brb,0,1970
brb,0,1971
brb,0,1972
brb,0,1973
brb,0,1974
brb,0,1975
brb,0,1976
brb,0,1977
brb,0,1978
brb,0,1979
brb,5007,1980
brb,0,1981
brb,0,1982
brb,0,1983
brb,0,1984
brb,0,1985
brb,0,1986
brb,230,1987
brb,0,1988
brb,0,1989
brb,0,1990
brb,0,1991
brb,0,1992
brb,0,1993
brb,0,1994
brb,0,1995
brb,0,1996
brb,0,1997
brb,0,1998
brb,0,1999
brb,0,2000
brb,0,2001
brb,2000,2002
brb,0,2003
brb,881,2004
brb,0,2005
brb,0,2006
brb,0,2007
brb,0,2008
blr,0,1970
blr,0,1971
blr,0,1972
blr,0,1973
blr,0,1974
blr,0,1975
blr,0,1976
blr,0,1977
blr,0,1978
blr,0,1979
blr,0,1980
blr,0,1981
blr,0,1982
blr,0,1983
blr,0,1984
blr,0,1985
blr,0,1986
blr,0,1987
blr,0,1988
blr,0,1989
blr,0,1990
blr,0,1991
blr,0,1992
blr,0,1993
blr,0,1994
blr,0,1995
blr,0,1996
blr,21400,1997
blr,0,1998
blr,0,1999
blr,0,2000
blr,0,2001
blr,0,2002
blr,0,2003
blr,0,2004
blr,0,2005
blr,0,2006
blr,0,2007
blr,0,2008
bel,0,1970
bel,0,1971
bel,0,1972
bel,0,1973
bel,0,1974
bel,0,1975
bel,0,1976
bel,0,1977
bel,0,1978
bel,0,1979
bel,0,1980
bel,0,1981
bel,0,1982
bel,0,1983
bel,0,1984
bel,0,1985
bel,0,1986
bel,0,1987
bel,0,1988
bel,0,1989
bel,16,1990
bel,0,1991
bel,0,1992
bel,0,1993
bel,0,1994
bel,806,1995
bel,0,1996
bel,0,1997
bel,0,1998
bel,907,1999
bel,0,2000
bel,0,2001
bel,5,2002
bel,0,2003
bel,0,2004
bel,0,2005
bel,0,2006
bel,4,2007
bel,0,2008
blz,0,1970
blz,0,1971
blz,0,1972
blz,0,1973
blz,70000,1974
blz,0,1975
blz,0,1976
blz,0,1977
blz,6005,1978
blz,0,1979
blz,0,1980
blz,0,1981
blz,0,1982
blz,0,1983
blz,0,1984
blz,0,1985
blz,0,1986
blz,0,1987
blz,0,1988
blz,0,1989
blz,0,1990
blz,0,1991
blz,0,1992
blz,0,1993
blz,0,1994
blz,0,1995
blz,0,1996
blz,0,1997
blz,60010,1998
blz,0,1999
blz,62580,2000
blz,20030,2001
blz,0,2002
blz,0,2003
blz,0,2004
blz,3,2005
blz,0,2006
blz,20000,2007
blz,10010,2008
bmu,0,1970
bmu,0,1971
bmu,0,1972
bmu,0,1973
bmu,0,1974
bmu,0,1975
bmu,0,1976
bmu,0,1977
bmu,0,1978
bmu,0,1979
bmu,0,1980
bmu,0,1981
bmu,0,1982
bmu,0,1983
bmu,0,1984
bmu,0,1985
bmu,0,1986
bmu,40,1987
bmu,0,1988
bmu,0,1989
bmu,0,1990
bmu,0,1991
bmu,0,1992
bmu,0,1993
bmu,0,1994
bmu,0,1995
bmu,0,1996
bmu,0,1997
bmu,0,1998
bmu,0,1999
bmu,0,2000
bmu,0,2001
bmu,0,2002
bmu,4,2003
bmu,0,2004
bmu,0,2005
bmu,0,2006
bmu,0,2007
bmu,0,2008
btn,0,1970
btn,0,1971
btn,0,1972
btn,0,1973
btn,0,1974
btn,0,1975
btn,0,1976
btn,0,1977
btn,0,1978
btn,0,1979
btn,0,1980
btn,0,1981
btn,0,1982
btn,0,1983
btn,0,1984
btn,0,1985
btn,0,1986
btn,0,1987
btn,0,1988
btn,0,1989
btn,0,1990
btn,0,1991
btn,0,1992
btn,0,1993
btn,65020,1994
btn,0,1995
btn,0,1996
btn,0,1997
btn,0,1998
btn,0,1999
btn,0,2000
btn,0,2001
btn,0,2002
btn,0,2003
btn,0,2004
btn,0,2005
btn,0,2006
btn,0,2007
btn,0,2008
bol,0,1970
bol,0,1971
bol,0,1972
bol,0,1973
bol,0,1974
bol,0,1975
bol,0,1976
bol,0,1977
bol,0,1978
bol,0,1979
bol,0,1980
bol,0,1981
bol,0,1982
bol,0,1983
bol,0,1984
bol,0,1985
bol,0,1986
bol,0,1987
bol,0,1988
bol,0,1989
bol,0,1990
bol,0,1991
bol,0,1992
bol,0,1993
bol,0,1994
bol,0,1995
bol,0,1996
bol,0,1997
bol,0,1998
bol,0,1999
bol,0,2000
bol,0,2001
bol,12100,2002
bol,0,2003
bol,0,2004
bol,0,2005
bol,0,2006
bol,0,2007
bol,6655,2008
bih,0,1970
bih,0,1971
bih,0,1972
bih,0,1973
bih,0,1974
bih,0,1975
bih,0,1976
bih,0,1977
bih,0,1978
bih,0,1979
bih,0,1980
bih,0,1981
bih,0,1982
bih,0,1983
bih,0,1984
bih,0,1985
bih,0,1986
bih,0,1987
bih,0,1988
bih,0,1989
bih,0,1990
bih,0,1991
bih,0,1992
bih,0,1993
bih,0,1994
bih,0,1995
bih,0,1996
bih,0,1997
bih,0,1998
bih,1090,1999
bih,0,2000
bih,0,2001
bih,0,2002
bih,0,2003
bih,0,2004
bih,4,2005
bih,0,2006
bih,0,2007
bih,0,2008
bra,0,1970
bra,0,1971
bra,0,1972
bra,0,1973
bra,0,1974
bra,0,1975
bra,0,1976
bra,110,1977
bra,0,1978
bra,0,1979
bra,63,1980
bra,0,1981
bra,4333,1982
bra,0,1983
bra,210,1984
bra,3022,1985
bra,0,1986
bra,0,1987
bra,0,1988
bra,45040,1989
bra,0,1990
bra,0,1991
bra,0,1992
bra,0,1993
bra,2000,1994
bra,0,1995
bra,0,1996
bra,679,1997
bra,0,1998
bra,0,1999
bra,0,2000
bra,3413,2001
bra,0,2002
bra,0,2003
bra,150100,2004
bra,346,2005
bra,0,2006
bra,0,2007
bra,1603,2008
vgb,0,1970
vgb,0,1971
vgb,0,1972
vgb,0,1973
vgb,0,1974
vgb,0,1975
vgb,0,1976
vgb,0,1977
vgb,0,1978
vgb,0,1979
vgb,0,1980
vgb,0,1981
vgb,0,1982
vgb,0,1983
vgb,0,1984
vgb,0,1985
vgb,0,1986
vgb,0,1987
vgb,0,1988
vgb,0,1989
vgb,0,1990
vgb,0,1991
vgb,0,1992
vgb,0,1993
vgb,0,1994
vgb,0,1995
vgb,3,1996
vgb,0,1997
vgb,0,1998
vgb,0,1999
vgb,0,2000
vgb,0,2001
vgb,0,2002
vgb,0,2003
vgb,0,2004
vgb,0,2005
vgb,0,2006
vgb,0,2007
vgb,0,2008
bgr,0,1970
bgr,0,1971
bgr,0,1972
bgr,0,1973
bgr,0,1974
bgr,0,1975
bgr,0,1976
bgr,0,1977
bgr,0,1978
bgr,0,1979
bgr,0,1980
bgr,0,1981
bgr,0,1982
bgr,0,1983
bgr,0,1984
bgr,0,1985
bgr,0,1986
bgr,0,1987
bgr,0,1988
bgr,0,1989
bgr,0,1990
bgr,0,1991
bgr,0,1992
bgr,5000,1993
bgr,0,1994
bgr,0,1995
bgr,0,1996
bgr,0,1997
bgr,0,1998
bgr,850,1999
bgr,0,2000
bgr,2,2001
bgr,0,2002
bgr,0,2003
bgr,0,2004
bgr,0,2005
bgr,0,2006
bgr,0,2007
bgr,0,2008
bdi,0,1970
bdi,0,1971
bdi,0,1972
bdi,0,1973
bdi,0,1974
bdi,0,1975
bdi,0,1976
bdi,0,1977
bdi,0,1978
bdi,0,1979
bdi,0,1980
bdi,0,1981
bdi,0,1982
bdi,0,1983
bdi,0,1984
bdi,0,1985
bdi,0,1986
bdi,0,1987
bdi,0,1988
bdi,0,1989
bdi,0,1990
bdi,0,1991
bdi,0,1992
bdi,0,1993
bdi,0,1994
bdi,0,1995
bdi,0,1996
bdi,0,1997
bdi,0,1998
bdi,30810,1999
bdi,0,2000
bdi,0,2001
bdi,0,2002
bdi,0,2003
bdi,15500,2004
bdi,0,2005
bdi,1505,2006
bdi,0,2007
bdi,0,2008
khm,0,1970
khm,0,1971
khm,0,1972
khm,0,1973
khm,0,1974
khm,0,1975
khm,0,1976
khm,0,1977
khm,0,1978
khm,0,1979
khm,0,1980
khm,0,1981
khm,0,1982
khm,0,1983
khm,0,1984
khm,0,1985
khm,0,1986
khm,0,1987
khm,0,1988
khm,0,1989
khm,0,1990
khm,0,1991
khm,0,1992
khm,0,1993
khm,0,1994
khm,0,1995
khm,0,1996
khm,25,1997
khm,0,1998
khm,0,1999
khm,0,2000
khm,0,2001
khm,0,2002
khm,0,2003
khm,0,2004
khm,0,2005
khm,0,2006
khm,0,2007
khm,0,2008
can,10,1970
can,0,1971
can,0,1972
can,0,1973
can,0,1974
can,354,1975
can,0,1976
can,0,1977
can,0,1978
can,0,1979
can,0,1980
can,0,1981
can,0,1982
can,0,1983
can,0,1984
can,1312,1985
can,2400,1986
can,276,1987
can,0,1988
can,0,1989
can,0,1990
can,0,1991
can,0,1992
can,0,1993
can,1304,1994
can,2,1995
can,0,1996
can,1,1997
can,2028,1998
can,4207,1999
can,851,2000
can,41,2001
can,0,2002
can,202,2003
can,0,2004
can,300,2005
can,0,2006
can,6,2007
can,0,2008
cpv,0,1970
cpv,0,1971
cpv,0,1972
cpv,0,1973
cpv,0,1974
cpv,0,1975
cpv,0,1976
cpv,0,1977
cpv,0,1978
cpv,0,1979
cpv,0,1980
cpv,0,1981
cpv,2225,1982
cpv,0,1983
cpv,5529,1984
cpv,0,1985
cpv,0,1986
cpv,0,1987
cpv,0,1988
cpv,0,1989
cpv,0,1990
cpv,0,1991
cpv,0,1992
cpv,0,1993
cpv,0,1994
cpv,0,1995
cpv,0,1996
cpv,0,1997
cpv,0,1998
cpv,0,1999
cpv,0,2000
cpv,0,2001
cpv,0,2002
cpv,0,2003
cpv,0,2004
cpv,0,2005
cpv,0,2006
cpv,0,2007
cpv,0,2008
cym,0,1970
cym,0,1971
cym,0,1972
cym,0,1973
cym,0,1974
cym,0,1975
cym,0,1976
cym,0,1977
cym,0,1978
cym,0,1979
cym,0,1980
cym,0,1981
cym,0,1982
cym,0,1983
cym,0,1984
cym,0,1985
cym,0,1986
cym,0,1987
cym,0,1988
cym,0,1989
cym,0,1990
cym,0,1991
cym,0,1992
cym,0,1993
cym,0,1994
cym,0,1995
cym,0,1996
cym,0,1997
cym,0,1998
cym,0,1999
cym,0,2000
cym,0,2001
cym,300,2002
cym,0,2003
cym,2,2004
cym,0,2005
cym,0,2006
cym,0,2007
cym,0,2008
caf,0,1970
caf,0,1971
caf,0,1972
caf,0,1973
caf,0,1974
caf,0,1975
caf,0,1976
caf,0,1977
caf,0,1978
caf,0,1979
caf,0,1980
caf,1850,1981
caf,0,1982
caf,0,1983
caf,0,1984
caf,0,1985
caf,0,1986
caf,0,1987
caf,0,1988
caf,0,1989
caf,0,1990
caf,0,1991
caf,0,1992
caf,0,1993
caf,0,1994
caf,0,1995
caf,0,1996
caf,0,1997
caf,0,1998
caf,0,1999
caf,0,2000
caf,3003,2001
caf,0,2002
caf,0,2003
caf,0,2004
caf,0,2005
caf,0,2006
caf,0,2007
caf,0,2008
tcd,0,1970
tcd,0,1971
tcd,0,1972
tcd,0,1973
tcd,0,1974
tcd,0,1975
tcd,0,1976
tcd,113,1977
tcd,0,1978
tcd,0,1979
tcd,0,1980
tcd,0,1981
tcd,0,1982
tcd,0,1983
tcd,0,1984
tcd,0,1985
tcd,0,1986
tcd,0,1987
tcd,1211,1988
tcd,0,1989
tcd,0,1990
tcd,0,1991
tcd,0,1992
tcd,0,1993
tcd,0,1994
tcd,0,1995
tcd,0,1996
tcd,0,1997
tcd,0,1998
tcd,0,1999
tcd,0,2000
tcd,0,2001
tcd,0,2002
tcd,0,2003
tcd,0,2004
tcd,0,2005
tcd,0,2006
tcd,159,2007
tcd,0,2008
chl,0,1970
chl,90000,1971
chl,0,1972
chl,0,1973
chl,0,1974
chl,0,1975
chl,0,1976
chl,16820,1977
chl,0,1978
chl,0,1979
chl,0,1980
chl,0,1981
chl,0,1982
chl,0,1983
chl,323300,1984
chl,0,1985
chl,30820,1986
chl,0,1987
chl,0,1988
chl,0,1989
chl,0,1990
chl,0,1991
chl,38000,1992
chl,0,1993
chl,0,1994
chl,0,1995
chl,0,1996
chl,2254,1997
chl,0,1998
chl,0,1999
chl,0,2000
chl,2402,2001
chl,0,2002
chl,0,2003
chl,0,2004
chl,157,2005
chl,0,2006
chl,0,2007
chl,0,2008
chn,14110,1970
chn,0,1971
chn,0,1972
chn,0,1973
chn,0,1974
chn,0,1975
chn,0,1976
chn,0,1977
chn,0,1978
chn,0,1979
chn,288,1980
chn,0,1981
chn,0,1982
chn,21870,1983
chn,13,1984
chn,201700,1985
chn,4616000,1986
chn,1387000,1987
chn,237600,1988
chn,38010000,1989
chn,5902000,1990
chn,3357000,1991
chn,16230000,1992
chn,8650000,1993
chn,26140000,1994
chn,6569000,1995
chn,15320000,1996
chn,7273000,1997
chn,11000000,1998
chn,2182000,1999
chn,2532000,2000
chn,21170000,2001
chn,107400000,2002
chn,9480000,2003
chn,9792000,2004
chn,40780000,2005
chn,55340000,2006
chn,9005000,2007
chn,1649000,2008
col,0,1970
col,0,1971
col,0,1972
col,0,1973
col,0,1974
col,0,1975
col,0,1976
col,0,1977
col,0,1978
col,0,1979
col,0,1980
col,0,1981
col,0,1982
col,541,1983
col,0,1984
col,0,1985
col,28000,1986
col,0,1987
col,100000,1988
col,0,1989
col,0,1990
col,0,1991
col,0,1992
col,0,1993
col,0,1994
col,0,1995
col,0,1996
col,0,1997
col,0,1998
col,2,1999
col,0,2000
col,7705,2001
col,0,2002
col,0,2003
col,0,2004
col,3074,2005
col,0,2006
col,0,2007
col,0,2008
com,0,1970
com,0,1971
com,0,1972
com,0,1973
com,0,1974
com,0,1975
com,0,1976
com,0,1977
com,0,1978
com,0,1979
com,0,1980
com,0,1981
com,0,1982
com,30080,1983
com,0,1984
com,35000,1985
com,0,1986
com,50020,1987
com,0,1988
com,0,1989
com,0,1990
com,0,1991
com,0,1992
com,0,1993
com,0,1994
com,0,1995
com,0,1996
com,0,1997
com,0,1998
com,0,1999
com,0,2000
com,0,2001
com,0,2002
com,300,2003
com,0,2004
com,0,2005
com,0,2006
com,0,2007
com,0,2008
cod,0,1970
cod,0,1971
cod,0,1972
cod,0,1973
cod,0,1974
cod,0,1975
cod,0,1976
cod,0,1977
cod,0,1978
cod,0,1979
cod,0,1980
cod,0,1981
cod,0,1982
cod,0,1983
cod,0,1984
cod,0,1985
cod,0,1986
cod,0,1987
cod,0,1988
cod,0,1989
cod,0,1990
cod,0,1991
cod,0,1992
cod,0,1993
cod,0,1994
cod,0,1995
cod,0,1996
cod,0,1997
cod,0,1998
cod,0,1999
cod,0,2000
cod,0,2001
cod,0,2002
cod,22600,2003
cod,0,2004
cod,5397,2005
cod,75070,2006
cod,0,2007
cod,18,2008
cok,0,1970
cok,0,1971
cok,0,1972
cok,0,1973
cok,0,1974
cok,0,1975
cok,0,1976
cok,0,1977
cok,0,1978
cok,0,1979
cok,0,1980
cok,0,1981
cok,0,1982
cok,0,1983
cok,0,1984
cok,0,1985
cok,0,1986
cok,2005,1987
cok,0,1988
cok,0,1989
cok,1,1990
cok,0,1991
cok,0,1992
cok,0,1993
cok,0,1994
cok,0,1995
cok,0,1996
cok,919,1997
cok,0,1998
cok,0,1999
cok,0,2000
cok,744,2001
cok,0,2002
cok,0,2003
cok,0,2004
cok,608,2005
cok,0,2006
cok,0,2007
cok,0,2008
cri,0,1970
cri,0,1971
cri,0,1972
cri,0,1973
cri,0,1974
cri,0,1975
cri,0,1976
cri,0,1977
cri,0,1978
cri,0,1979
cri,0,1980
cri,0,1981
cri,0,1982
cri,0,1983
cri,0,1984
cri,0,1985
cri,0,1986
cri,0,1987
cri,127500,1988
cri,0,1989
cri,0,1990
cri,0,1991
cri,0,1992
cri,0,1993
cri,0,1994
cri,8062,1995
cri,716100,1996
cri,0,1997
cri,16710,1998
cri,0,1999
cri,0,2000
cri,0,2001
cri,0,2002
cri,0,2003
cri,0,2004
cri,1075,2005
cri,0,2006
cri,0,2007
cri,55000,2008
hrv,0,1970
hrv,0,1971
hrv,0,1972
hrv,0,1973
hrv,0,1974
hrv,0,1975
hrv,0,1976
hrv,0,1977
hrv,0,1978
hrv,0,1979
hrv,0,1980
hrv,0,1981
hrv,0,1982
hrv,0,1983
hrv,0,1984
hrv,0,1985
hrv,0,1986
hrv,0,1987
hrv,0,1988
hrv,0,1989
hrv,0,1990
hrv,0,1991
hrv,0,1992
hrv,0,1993
hrv,0,1994
hrv,0,1995
hrv,0,1996
hrv,0,1997
hrv,0,1998
hrv,0,1999
hrv,0,2000
hrv,0,2001
hrv,0,2002
hrv,0,2003
hrv,0,2004
hrv,2,2005
hrv,0,2006
hrv,0,2007
hrv,0,2008
cub,20,1970
cub,0,1971
cub,0,1972
cub,0,1973
cub,0,1974
cub,0,1975
cub,0,1976
cub,0,1977
cub,176,1978
cub,0,1979
cub,3,1980
cub,0,1981
cub,180000,1982
cub,0,1983
cub,0,1984
cub,498900,1985
cub,0,1986
cub,0,1987
cub,61500,1988
cub,0,1989
cub,0,1990
cub,0,1991
cub,0,1992
cub,149800,1993
cub,110600,1994
cub,165,1995
cub,336700,1996
cub,0,1997
cub,147000,1998
cub,255000,1999
cub,0,2000
cub,5900000,2001
cub,324000,2002
cub,0,2003
cub,247300,2004
cub,2600000,2005
cub,268,2006
cub,192500,2007
cub,499500,2008
cyp,0,1970
cyp,0,1971
cyp,0,1972
cyp,0,1973
cyp,0,1974
cyp,0,1975
cyp,0,1976
cyp,0,1977
cyp,0,1978
cyp,0,1979
cyp,0,1980
cyp,0,1981
cyp,0,1982
cyp,0,1983
cyp,0,1984
cyp,0,1985
cyp,0,1986
cyp,0,1987
cyp,0,1988
cyp,0,1989
cyp,0,1990
cyp,0,1991
cyp,0,1992
cyp,0,1993
cyp,0,1994
cyp,0,1995
cyp,0,1996
cyp,0,1997
cyp,0,1998
cyp,0,1999
cyp,0,2000
cyp,0,2001
cyp,0,2002
cyp,30,2003
cyp,10,2004
cyp,0,2005
cyp,0,2006
cyp,0,2007
cyp,0,2008
cze,0,1970
cze,0,1971
cze,0,1972
cze,0,1973
cze,0,1974
cze,0,1975
cze,0,1976
cze,0,1977
cze,0,1978
cze,0,1979
cze,0,1980
cze,0,1981
cze,0,1982
cze,0,1983
cze,0,1984
cze,0,1985
cze,0,1986
cze,0,1987
cze,0,1988
cze,0,1989
cze,0,1990
cze,0,1991
cze,0,1992
cze,0,1993
cze,0,1994
cze,0,1995
cze,0,1996
cze,0,1997
cze,0,1998
cze,0,1999
cze,0,2000
cze,0,2001
cze,2,2002
cze,0,2003
cze,0,2004
cze,3,2005
cze,0,2006
cze,4,2007
cze,2,2008
cheslo,0,1970
cheslo,0,1971
cheslo,0,1972
cheslo,0,1973
cheslo,0,1974
cheslo,0,1975
cheslo,0,1976
cheslo,0,1977
cheslo,0,1978
cheslo,0,1979
cheslo,0,1980
cheslo,600,1981
cheslo,0,1982
cheslo,0,1983
cheslo,0,1984
cheslo,0,1985
cheslo,0,1986
cheslo,0,1987
cheslo,0,1988
cheslo,0,1989
cheslo,0,1990
cheslo,0,1991
cheslo,0,1992
cheslo,0,1993
cheslo,0,1994
cheslo,0,1995
cheslo,0,1996
cheslo,0,1997
cheslo,0,1998
cheslo,0,1999
cheslo,0,2000
cheslo,0,2001
cheslo,0,2002
cheslo,0,2003
cheslo,0,2004
cheslo,0,2005
cheslo,0,2006
cheslo,0,2007
cheslo,0,2008
dnk,0,1970
dnk,0,1971
dnk,0,1972
dnk,0,1973
dnk,0,1974
dnk,0,1975
dnk,0,1976
dnk,0,1977
dnk,0,1978
dnk,0,1979
dnk,0,1980
dnk,9,1981
dnk,0,1982
dnk,2,1983
dnk,0,1984
dnk,0,1985
dnk,0,1986
dnk,0,1987
dnk,0,1988
dnk,0,1989
dnk,1,1990
dnk,0,1991
dnk,0,1992
dnk,0,1993
dnk,0,1994
dnk,0,1995
dnk,0,1996
dnk,0,1997
dnk,0,1998
dnk,7,1999
dnk,0,2000
dnk,0,2001
dnk,1,2002
dnk,0,2003
dnk,0,2004
dnk,4,2005
dnk,0,2006
dnk,0,2007
dnk,0,2008
dji,0,1970
dji,0,1971
dji,0,1972
dji,0,1973
dji,0,1974
dji,0,1975
dji,0,1976
dji,0,1977
dji,0,1978
dji,0,1979
dji,0,1980
dji,0,1981
dji,0,1982
dji,0,1983
dji,0,1984
dji,0,1985
dji,0,1986
dji,0,1987
dji,0,1988
dji,0,1989
dji,0,1990
dji,0,1991
dji,0,1992
dji,0,1993
dji,0,1994
dji,775,1995
dji,0,1996
dji,0,1997
dji,0,1998
dji,0,1999
dji,0,2000
dji,0,2001
dji,0,2002
dji,0,2003
