concept,name,concept_type,description,indicator_url,unit,interpolation,drill_up,domain,scales
children_out_of_school_primary_male,"Children out of primary school, male",measure,Break in series between 1997 and 1998 due to change from International Standard Classification of Education (ISCED76) to ISCED97. Recent data are provisional. Children out of school are the number of primary-school-age children not enrolled in primary or secondary school.,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdFd5cnQzNU5IYm1vTWtrTWRIX3UxbHc,,,,,"['linear', 'log']"
primary_completion_rate_total_percent_of_relevant_age_group,Primary school completion,measure,"Primary completion rate is the percentage of students completing the last year of primary school. It is calculated by taking the total number of students in the last grade of primary school, minus the number of repeaters in that grade, divided by the total number of children of official graduation age.",https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdEhTN2hlZ05ZczVwZDdVZlF5cUxJb2c,% of relevant age group,,,,"['linear', 'log']"
primary_school_completion_percent_of_boys,Primary school completion: boys,measure,Completion rate in primary schooling for boys (percent of boys). ,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdGhCWnZrTGMwaTl5ek9QS0szMTIwcEE,%,,,,"['linear', 'log']"
primary_school_completion_percent_of_girls,Primary school completion: girls,measure,Completion rate in primary schooling for girls (percent of girls). ,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdFVxSEVZVWE1b0l6NWo5NzNTZ2IzWVE,%,,,,"['linear', 'log']"
expenditure_per_student_primary_percent_of_gdp_per_person,"Expenditure per student, primary",measure,"Break in series between 1997 and 1998 due to change from International Standard Classification of Education (ISCED76) to ISCED97. Recent data are provisional. Public expenditure per student is the public current spending on education divided by the total number of students by level, as a percentage of GDP per person. Public expenditure (current and capital) includes government spending on educational institutions (both public and private), education administration as well as subsidies for private entities (students/households and other privates entities).",https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdFJTUEVleTM0cE5jTnlTMk41ajBGclE,% of GDP/capita,,,,"['linear', 'log']"
expenditure_per_student_secondary_percent_of_gdp_per_person,"Expenditure per student, secondary",measure,"Break in series between 1997 and 1998 due to change from International Standard Classification of Education (ISCED76) to ISCED97. Recent data are provisional. Public expenditure per student is the public current spending on education divided by the total number of students by level, as a percentage of GDP per person. Public expenditure (current and capital) includes government spending on educational institutions (both public and private), education administration as well as subsidies for private entities (students/households and other privates entities).",https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdDBuUVIzbWwtaU5helpJVG5BMmxyX1E,% of GDP/capita,,,,"['linear', 'log']"
expenditure_per_student_tertiary_percent_of_gdp_per_person,"Expenditure per student, tertiary",measure,"Break in series between 1997 and 1998 due to change from International Standard Classification of Education (ISCED76) to ISCED97. Recent data are provisional. Public expenditure per student is the public current spending on education divided by the total number of students by level, as a percentage of GDP per person. Public expenditure (current and capital) includes government spending on educational institutions (both public and private), education administration as well as subsidies for private entities (students/households and other privates entities).",https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdDJxdlN6cEtYMjMxdC1XdGdKOXR2bkE,% of GDP/capita,,,,"['linear', 'log']"
mean_years_in_school_women_25_years_and_older,"Mean years in school, women 25+",measure,"The average number of years of school attended by all people in the age and gender group specified, including primary, secondary and tertiary education. ",http://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdHFEVVhHZElzb0VRWE9pc3JmZHg2dWc,,,,,"['linear', 'log']"
mean_years_in_school_men_25_years_and_older,"Mean years in school, men 25+",measure,"The average number of years of school attended by all people in the age and gender group specified, including primary, secondary and tertiary education. ",http://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdC03X1ZWNGJHR3FBb0Q3VjJIdV9OSmc,,,,,"['linear', 'log']"
mean_years_in_school_women_25_to_34_years,"Mean years in school, women 25-34",measure,"The average number of years of school attended by all people in the age and gender group specified, including primary, secondary and tertiary education. ",http://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdC1MYzAtY2xPQ2xOR1lMeGhYSWlpR0E,,,,,"['linear', 'log']"
mean_years_in_school_men_25_to_34_years,"Mean years in school, men 25-34",measure,"The average number of years of school attended by all people in the age and gender group specified, including primary, secondary and tertiary education. ",http://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdHlYZHNWN1YtWVNudU9UbWJOd19nUVE,,,,,"['linear', 'log']"
mean_years_in_school_women_of_reproductive_age_15_to_44,"Mean years in school, women 15-44",measure,"The average number of years of school attended by all people in the age and gender group specified, including primary, secondary and tertiary education. ",http://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdEttYjNNUTlkUTdrMUQ0c3BTR0dINlE,,,,,"['linear', 'log']"
mean_years_in_school_women_percent_men_25_to_34_years,"Mean years in school, women/men, 25-34",measure,"The ratio of female to male number of years in school, among 25- to 34-year-olds, including primary, secondary and tertiary education. ",http://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdG5JUDZjTHR5SzZFZjBqa2JYYUxBclE,%,,,,"['linear', 'log']"
energy_use_total,Energy use,measure,"Energy use refers to use of primary energy before transformation to other end-use fuels, which is equal to indigenous production plus imports and stock changes, minus exports and fuels supplied to ships and aircraft engaged in international transport, counted in tonnes of oil equivalent (toe).",https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdHd2Nld0NEVFOGRiSTc0V3ZoekNuS1E,tons in oil eqv,,,,"['linear', 'log']"
energy_use_per_person,Energy use per person,measure,"Energy use refers to use of primary energy before transformation to other end-use fuels, which is equal to indigenous production plus imports and stock changes, minus exports and fuels supplied to ships and aircraft engaged in international transport, counted in tonnes of oil equivalent (toe).",https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdHRmYjJWLVF0SjlQY1N5Vm9yU0xxaGc,tons in oil eqv,,,,"['linear', 'log']"
energy_production_total,Energy production,measure,"Energy production refers to forms of primary energy--petroleum (crude oil, natural gas liquids, and oil from nonconventional sources), natural gas, solid fuels (coal, lignite, and other derived fuels), and combustible renewables and waste--and primary electricity, all converted into tonnes of oil equivalents, counted in tonnes of oil equivalent (toe).",https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdFNZMXZwcjNPY2c3MWwxbWIwVFgyd0E,tons in oil eqv,,,,"['linear', 'log']"
energy_production_per_person,Energy production per person,measure,"Energy production refers to forms of primary energy--petroleum (crude oil, natural gas liquids, and oil from nonconventional sources), natural gas, solid fuels (coal, lignite, and other derived fuels), and combustible renewables and waste--and primary electricity, all converted into tonnes of oil equivalents, calculated by dividing with the population of each country during the given year, counted in tonnes of oil equivalent (toe).",https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdHJ6UTV4MkEyN0NYdnJJOG1oYUxmTWc,tons in oil eqv,,,,"['linear', 'log']"
pump_price_for_gasoline_us_per_liter,Pump price for gasoline,measure,Fuel prices refer to the pump prices of the most widely sold grade of gasoline. ,http://spreadsheets.google.com/pub?key=pyj6tScZqmEdz8B4njtoHPA,$/liter,,,,"['linear', 'log']"
coal_consumption_total,Coal consumption,measure,Total amount of coal consumption (tonnes oil equivalent),http://spreadsheets.google.com/pub?key=0Auk0ddvGIrGqcHlqNnRTY1pxbUVjMVRtTWlGZG1PVmc,tons in oil eqv,,,,"['linear', 'log']"
coal_consumption_per_cap,Coal consumption per person,measure,Coal consumption per person (tonnes oil equivalent),http://spreadsheets.google.com/pub?key=0Auk0ddvGIrGqcHlqNnRTY1pxbUVka1hObHlPbTlmUUE,tons in oil eqv,,,,"['linear', 'log']"
electricity_use_per_person,Electricity use per person,measure,"The amount of electricity consumed per person during the given year, counted in kilowatt-hours (kWh).",http://spreadsheets.google.com/pub?key=tiVeyAJd7iRWorOwl_ARWEQ,kWh,,,,"['linear', 'log']"
electricity_use_total,Electricity use,measure,"The total amount of electricity consumed during the given year, counted in kilowatt-hours (kWh).",http://spreadsheets.google.com/pub?key=tEu78F4acf0u6MRyhg5-9qQ,kWh,,,,"['linear', 'log']"
residential_electricity_use_per_person,Residential electricity use per person,measure,"The amount of residential electricity consumed per person during the given year, counted in kilowatt-hours (kWh).",http://spreadsheets.google.com/pub?key=t7SFNscT9Ex0s9i3av7PxRQ,kWh,,,,"['linear', 'log']"
residential_electricity_use_total,Residential electricity use,measure,"The total amount of residential electricity consumed during the given year, counted in kilowatt-hours (kWh).",http://spreadsheets.google.com/pub?key=teUZEfKw52HewO3D0YrQ5HA,kWh,,,,"['linear', 'log']"
electricity_generation_total,Electricity generation,measure,Electricity generation (kilowatt-hours),http://spreadsheets.google.com/pub?key=pyj6tScZqmEehRG-9mMHYdg,kWh,,,,"['linear', 'log']"
electricity_generation_per_person,Electricity generation per person,measure,Electricity generation per person (kilowatt-hours),http://spreadsheets.google.com/pub?key=pyj6tScZqmEeMtYNdMyLKOw,kWh,,,,"['log', 'linear']"
hydro_power_generation_total,Hydro electricity production,measure,"The amount of hydro power generated during the given year, counted in tonnes of oil equivalent (toe).",http://spreadsheets.google.com/pub?key=t1MShlv870O6LmFNEHazdEg,tons in oil eqv,,,,"['linear', 'log']"
hydro_power_generation_per_person,Hydro electricity production per person,measure,"The amount of hydro power generated per person during the given year, counted in tonnes of oil equivalent (toe).",http://spreadsheets.google.com/pub?key=tSjVrGemv30eCh3jPZkXYCQ,tons in oil eqv,,,,"['linear', 'log']"
nuclear_power_generation_total,Nuclear electricity production,measure,"The amount of electricity produced by nuclear power plants in a given year, counted in tonnes of oil equivalent (toe).",http://spreadsheets.google.com/pub?key=trRb8ZIaBOD4KzikShshZ2g,tons in oil eqv,,,,"['linear', 'log']"
nuclear_power_generation_per_person,Nuclear electricity production per person,measure,"The amount of electricity produced by nuclear power plants per person in a given year, counted in tonnes of oil equivalent (toe).",http://spreadsheets.google.com/pub?key=t28UhT9IaWINamciSiJIS7w,tons in oil eqv,,,,"['linear', 'log']"
natural_gas_production_total,Natural gas production,measure,Natural gas production (tonnes oil equivalent),http://spreadsheets.google.com/pub?key=pyj6tScZqmEfv2K6dZmskWg,tons in oil eqv,,,,"['linear', 'log']"
natural_gas_production_per_person,Natural gas production per person,measure,Natural gas production per person (tonnes oil equivalent),http://spreadsheets.google.com/pub?key=pyj6tScZqmEf0IBo_AGrgKA,tons in oil eqv,,,,"['log', 'linear']"
natural_gas_proven_reserves_per_person,Natural gas proven reserves per person,measure,Natural gas proven reserves per person (tonnes oil equivalent),http://spreadsheets.google.com/pub?key=pyj6tScZqmEfZd6DbNF1MKA,tons in oil eqv,,,,"['log', 'linear']"
natural_gas_proved_reserves_total,Natural gas proved reserves,measure,Proven reserves of natural gas (tonnes oil equivalent),http://spreadsheets.google.com/pub?key=pyj6tScZqmEc5qiv87tr3NA,tons in oil eqv,,,,"['linear', 'log']"
oil_production_per_person,Oil production per person,measure,Crude oil production per person (tonnes oil equivalent),http://spreadsheets.google.com/pub?key=pyj6tScZqmEeUgUuvuJTONQ,tons,,,,"['linear', 'log']"
oil_production_total,Oil production,measure,Total amount of crude oil production (tonnes oil equivalent),http://spreadsheets.google.com/pub?key=pyj6tScZqmEdNIa3ckVXaCQ,tons,,,,"['linear', 'log']"
oil_proven_reserves_per_person,Oil proven reserves per person,measure,Oil proven reserves per person (tonnes oil equivalent),http://spreadsheets.google.com/pub?key=pyj6tScZqmEfrI4YlDJDUag,tons,,,,"['log', 'linear']"
oil_proved_reserves_total,Oil proved reserves,measure,Proven reserves of oil (tonnes oil equivalent),http://spreadsheets.google.com/pub?key=pyj6tScZqmEfJfS1WYrLeBA,tons,,,,"['linear', 'log']"
oil_consumption_total,Oil consumption,measure,Total amount of crude oil consumption (tonnes oil equivalent),http://spreadsheets.google.com/pub?key=pyj6tScZqmEcm0fIa0IVtKw,tons,,,,"['linear', 'log']"
oil_consumption_per_cap,Oil consumption per person,measure,Oil Consumption per capita (tonnes per year per person),http://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdERNZmlfUGM5YVE3bmEwODdlRDFqSkE,tons,,,,"['linear', 'log']"
drought_deaths_annual_number,Drought deaths,measure,Number of people killed in drought during the given year.,http://spreadsheets.google.com/pub?key=rvRwTPi0n_94EScVA3YjLeg,annual,,,,"['linear', 'log']"
earthquake_deaths_annual_number,Earthquake deaths,measure,Number of people killed in earthquake during the given year.,http://spreadsheets.google.com/pub?key=rvbbs7uxQc7swJ4RR2BcQfA,annual,,,,"['linear', 'log']"
epidemic_deaths_annual_number,Epidemic deaths,measure,Number of people killed in epidemic during the given year.,http://spreadsheets.google.com/pub?key=rvtZF_JC0OI27tL66o6hiMQ,annual,,,,"['linear', 'log']"
extreme_temperature_deaths_annual_number,Extreme temperature deaths,measure,Number of people killed in extreme temperature during the given year.,http://spreadsheets.google.com/pub?key=r4WUTsck3NfccM6UsKlGF7g,annual,,,,"['linear', 'log']"
flood_deaths_annual_number,Flood deaths,measure,Number of people killed in flood during the given year.,http://spreadsheets.google.com/pub?key=rtESPUlrTyLEoHpURqE8RAg,annual,,,,"['linear', 'log']"
storm_deaths_annual_number,Storm deaths,measure,Number of people killed in storm during the given year.,http://spreadsheets.google.com/pub?key=r0JePjBgBQqtuh5wh1Wz9CA,annual,,,,"['linear', 'log']"
tsunami_deaths_annual_number,Tsunami deaths,measure,Number of people killed in tsunami during the given year.,http://spreadsheets.google.com/pub?key=rdBew79hTeXcIXhB1VCTPfg,annual,,,,"['linear', 'log']"
plane_crash_deaths_annual_number,Plane crash deaths,measure,Number of people killed in air accidents during the given year.,http://spreadsheets.google.com/pub?key=rSv5aMDwESiKg-yA__-tRFg,annual,,,,"['linear', 'log']"
drought_affected_annual_number,Drought affected,measure,"Total number of people getting affected, injured or killed in drought during the given year.",http://spreadsheets.google.com/pub?key=rAYA0bjnfYwzXnir0cigijQ,annual,,,,"['linear', 'log']"
earthquake_affected_annual_number,Earthquake affected,measure,"Total number of people getting affected, injured or killed in earthquake during the given year.",http://spreadsheets.google.com/pub?key=rG_BjsDwyS2n7DANNH3i5vQ,annual,,,,"['linear', 'log']"
epidemic_affected_annual_number,Epidemic affected,measure,"Total number of people getting affected, injured or killed in epidemic during the given year.",http://spreadsheets.google.com/pub?key=r6H8dfVPu2CJ2nzI8X0jurw,annual,,,,"['linear', 'log']"
extreme_temperature_affected_annual_number,Extreme temperature affected,measure,"Total number of people getting affected, injured or killed in extreme temperature during the given year.",http://spreadsheets.google.com/pub?key=ryPd-H6Kn3wcHC50zyImqUg,annual,,,,"['linear', 'log']"
flood_affected_annual_number,Flood affected,measure,"Total number of people getting affected, injured or killed in flood during the given year.",http://spreadsheets.google.com/pub?key=rsCDusOObseaoBUdarzw7Kw,annual,,,,"['linear', 'log']"
storm_affected_annual_number,Storm affected,measure,"Total number of people getting affected, injured or killed in storm during the given year.",http://spreadsheets.google.com/pub?key=rAxnmm4ZL2HrYjIqJX0Ch-w,annual,,,,"['linear', 'log']"
tsunami_affected_annual_number,Tsunami affected,measure,"Total number of people getting affected, injured or killed in tsunami during the given year.",http://spreadsheets.google.com/pub?key=rskN46tpbe6Iy3K_ULk1_cQ,annual,,,,"['linear', 'log']"
plane_crash_affected_annual_number,Plane crash affected,measure,"Total number of people getting affected, injured or killed in air accidents during the given year.",http://spreadsheets.google.com/pub?key=rhbS3kWOfMzvY4ofUFoeFJg,annual,,,,"['log', 'linear']"
co2_intensity_of_economic_output_kg_co2_per_2005_ppp_of_gdp,CO2 intensity of economic output,measure,Measures the amount of CO2 (kg) emitted for every dollar of GDP (constant purchasing power parity-adjusted) produced.,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdEVUcEJVRzlFWWRRcjhveGlrQzdwdUE,kg CO2 per $ of GDP,,,,"['linear', 'log']"
cumulative_co2_emissions_tonnes,Cumulative CO2 emissions,measure,Total CO2 emissions from fossil fuel for the period between 1751 and the relevant year in metric tonnes. ,http://spreadsheets.google.com/pub?key=pyj6tScZqmEed4UamoiNCFA,tons,,,,"['log', 'linear']"
sulfur_emissions_per_person_kg,Sulfur emissions per person,measure,Sulfur emissions per person. Associated with acid rain. (Kilograms of sulfur per person and year). ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj0uBndTxZAXNQ,kg,,,,"['log', 'linear']"
yearly_co2_emissions_tonnes,CO2 emissions (2012 version),measure,Total carbon dioxide emissions from the burning of fossil fuels during the given year (1000 metric tonnes of CO2).,http://spreadsheets.google.com/pub?key=phAwcNAVuyj1NHPC9MyZ9SQ,kilotons,,,,"['log', 'linear']"
total_sulfur_emission_kilotonnes,Sulfur emission,measure,Total sulfur emissions per year. Associated with acid rain. 1000 tonnes of sulfur per year. ,http://spreadsheets.google.com/pub?key=t9SYWh7siLJDzyZYN1R4HfQ,kilotons,,,,"['log', 'linear']"
forest_land_total_area_ha,Forest total area,measure,"Total area of land (hectares) which is spanning more than 0.5 hectares with trees higher than 5 meters and a canopy cover of more than 10%, or trees able to reach these thresholds in situ. It does not include land that is predominantly under agricultural or urban land use.",http://spreadsheets.google.com/pub?key=pp59adS3CHWeB1N1HlpFQVQ,ha,,,,"['log', 'linear']"
primary_forest_area_ha,Primary forest area,measure,"Total area of forest land (hectares) with native species, where there are no clearly visible indications of human activities and the ecological processes are not significantly disturbed.",http://spreadsheets.google.com/pub?key=pp59adS3CHWeECA6Gf__BNQ,ha,,,,"['log', 'linear']"
planted_forest_area_ha,Planted forest area,measure,"Total area of forest land (hectares) established through planting or seeding, basically of introduced species and in some cases native species.",http://spreadsheets.google.com/pub?key=pp59adS3CHWc4aJd9fV8zZg,ha,,,,"['log', 'linear']"
wood_removal_cubic_meters,Wood removal,measure,"The wood removed (volume of round wood over bark) for production of goods and services other than energy production (wood fuel), excluding felled trees left in the forest. ",http://spreadsheets.google.com/pub?key=pp59adS3CHWe8O-N9RgxzDw,cubic meters,,,,"['log', 'linear']"
forest_coverage_percent,Forest coverage,measure,"Percentage of total land area that has been covered with forest during the given year; excluding other wooded land, which is spanning more than 0.5 hectares, with trees higher than 5 meters and a canopy cover of 5-10 percent, or trees able to reach these thresholds in situ, or with a combined cover of shrubs, bushes and trees above 10 percent.",http://spreadsheets.google.com/pub?key=pp59adS3CHWfRGgfhjf8FBQ,%,,,,"['linear', 'log']"
biomass_stock_in_forest_tons,Biomass stock in forest,measure,"Biomass stock refers to organic material both above-ground and below-ground, and both living and dead, e.g., trees, crops, grasses, tree litter, roots etc.; including the pool definition for above- and below-ground biomass in forest; other wooded land not included. ",http://spreadsheets.google.com/pub?key=pp59adS3CHWcsSl830EklJA,tons,,,,"['log', 'linear']"
privately_owned_forest_land_percent,Private forest land,measure,"Percentage of forest land that is owned by individuals, families, private co-operatives, corporations, industries, private religious and educational institutions, pension or investment funds, and other private institutions.",http://spreadsheets.google.com/pub?key=pp59adS3CHWdFemmS_iN5fw,%,,,,"['linear', 'log']"
privately_owned_other_wooded_land_percent,Private other wooded land,measure,"Percentage of other wooded land that is owned by individuals, families, private co-operatives, corporations, industries, private religious and educational institutions, pension or investment funds, and other private institutions.",http://spreadsheets.google.com/pub?key=pp59adS3CHWdtCylhQOQiXw,%,,,,"['linear', 'log']"
forest_products_removal_total_dollar,"Forest products removal, total",measure,"Total annual value of forest products in current USD, including both wood and non-wood removal during that year.",http://spreadsheets.google.com/pub?key=pp59adS3CHWf66stZ2oNUAA,$,,,,"['log', 'linear']"
forest_products_removal_per_ha_dollar,"Forest products removal, per ha",measure,"Total annual value of forest products in current USD per hectares, including both wood and non-wood removal during that year.",http://spreadsheets.google.com/pub?key=pp59adS3CHWd9CVdfFx1dEw,$,,,,"['linear', 'log']"
agricultural_land_percent_of_land_area,Agricultural land,measure,"Agricultural land refers to the share of land area that is arable, under permanent crops, and under permanent pastures. Includes land under temporary crops, temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. It excludes land under trees grown for wood or timber.",https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdEF3alRGS0JQZVgwSW1FWUxUQmZoWXc,% of land area,,,,"['linear', 'log']"
forest_area_sq_km,Forest area,measure,"Forest area is land under natural or planted stands of trees, whether productive or not.",https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdFRuaV91Mm9JeUhwR1hHRXJhV3ZBQkE,sq. km,,,,"['linear', 'log']"
surface_area_sq_km,Surface area,measure,"A country's total area, including areas under inland bodies of water and some coastal waterways.",https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdFFWcWdEM0RXT1lRZ0wwRVNsakZCaWc,sq. km,,,,"['linear', 'log']"
renewable_water_cu_meters_per_person,Renewable water,measure,"Actual quantity of renewable water resources per person per year in cubic meters. Renewable water resources refer to the average annual flow of rivers and recharge of groundwater generated from perecipitation, which corresponds to the maximum theoretical yearly amount of water actually available for a country at a given moment. and the resources shared with neighboring countries (geopolitical constraints) have been taken into account. ",http://spreadsheets.google.com/pub?key=rPN9VekxwpUzwowMaxg9Ybw,cu meters per person,,,,"['linear', 'log']"
internal_renewable_water_cu_meters_per_person,Internal renewable water,measure,Quantity of internal renewable water resources per person per year in cubic meters. Internal Renewable Water Resources (IRWR): Long-term average annual flow of rivers and recharge of aquifers generated from endogenous precipitation. Double counting of surface water and groundwater resources is avoided by deducting the overlap from the sum of the surface water and groundwater resources. ,http://spreadsheets.google.com/pub?key=riLRFECHMsTq7OTa2KYZCWA,cu meters per person,,,,"['linear', 'log']"
water_withdrawal_cu_meters_per_person,Water withdrawal,measure,"Total annual quantity of freshwater withdrawn per person per year, counted in cubic meters. It includes renewable freshwater resources as well as potential over-abstraction of renewable groundwater or withdrawal of fossil groundwater and eventual use of desalinated water or treated wastewater. It does not include other categories of water use, such as for cooling of power plants, mining, recreation, navigation, fisheries, etc., which are sectors that are characterized by a very low net consumption rate.",http://spreadsheets.google.com/pub?key=rezAT4nYhKc2Loe6CxWSPWw,cu meters per person,,,,"['linear', 'log']"
municipal_water_withdrawal_cu_meters_per_person,Municipal water withdrawal,measure,"Volume of water withdrawal per person per year directly used by the population, counted in cubic meters. It includes renewable freshwater resources as well as potential over-abstraction of renewable groundwater or withdrawal of fossil groundwater and the potential use of desalinated water or treated wastewater. It is usually computed as the total water withdrawn by the public distribution network. It can include that part of the industries, which is connected to the municipal network. The ratio between the net consumption and the water withdrawn can vary from 5 to 15% in urban areas and from 10 to 50% in rural areas.",http://spreadsheets.google.com/pub?key=ruUmTRBZ5xYjpOAhOT9VQbw,cu meters per person,,,,"['linear', 'log']"
agricultural_water_withdrawal_percent_of_total,Agricultural water withdrawal share,measure,"Percentage of the total water withdrawal used in agriculture, including renewable freshwater resources as well as potential over-abstraction of renewable groundwater or withdrawal of fossil groundwater, use of agricultural drainage water, desalinated water and treated wastewater. It also includes water withdrawn for irrigation purposes and for livestock watering, although depending on the country this last category sometimes is included in municipal water withdrawal. As far as the water withdrawn for irrigation is concerned, the value far exceeds the consumptive use of irrigation because of water lost in its distribution from its source to the crops. ",http://spreadsheets.google.com/pub?key=rab3jHe_JZrU1pqlX0xnQEw,%,,,,"['linear', 'log']"
industrial_water_withdrawal_percent_of_total,Industrial water withdrawal share,measure,"Percentage of the total water withdrawal used in industry, including renewable water resources as well as potential over-abstraction of renewable groundwater or withdrawal of fossil groundwater and potential use of desalinated water or treated wastewater. Usually, this sector refers to self-supplied industries not connected to any distribution network. The ratio between net consumption and withdrawal is estimated at less than 5%.",http://spreadsheets.google.com/pub?key=rGKP-BBylLOM11iGahW1lxA,%,,,,"['linear', 'log']"
municipal_water_withdrawal_percent_of_total,Municipal water withdrawal share,measure,"Percentage of the total water withdrawal directly used by the population, including renewable freshwater resources as well as potential over-abstraction of renewable groundwater or withdrawal of fossil groundwater and the potential use of desalinated water or treated wastewater. It is usually computed as the total water withdrawn by the public distribution network. It can include that part of the industries, which is connected to the municipal network. The ratio between the net consumption and the water withdrawn can vary from 5 to 15% in urban areas and from 10 to 50% in rural areas.",http://spreadsheets.google.com/pub?key=r58mA3XNUvBov6M_1T_FiUg,%,,,,"['linear', 'log']"
desalinated_water_produced_billion_cu_meters,Desalinated water produced,measure,"Total quantity of the production of freshwater by desalination of brackish or saltwater (mostly for domestic purposes) during the given year, counted in billion cubic meters.",http://spreadsheets.google.com/pub?key=rt3BaikcRwJBNC0CvQsjDCA,billion cu meters,,,,"['linear', 'log']"
total_water_withdrawal_billion_cu_meters,Total water withdrawal,measure,"Annual quantity of freshwater withdrawn for agricultural, industrial and municipal purposes, counted in billion cubic meters. It includes renewable freshwater resources as well as potential over-abstraction of renewable groundwater or withdrawal of fossil groundwater and eventual use of desalinated water or treated wastewater. It does not include other categories of water use, such as for cooling of power plants, mining, recreation, navigation, fisheries, etc., which are sectors that are characterized by a very low net consumption rate.",http://spreadsheets.google.com/pub?key=rIG3ZWxv381t2bIL2BNaIVw,billion cu meters,,,,"['linear', 'log']"
infant_mortality_rate_per_1000_births,Infant mortality,measure,Deaths of children during first year of life (per 1000 live births). ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj0NpF2PTov2Cw,deaths under age 1 per 1000 births,,,,"['log', 'linear']"
underweight_children,Underweight children,measure,Percent of children under five who are more than two standard deviations below average weight for age. ,http://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdDdTQUtvNEJhb0RjRjU0WUtET1R0Vnc,%,,,,"['linear', 'log']"
all_causes_deaths_in_newborn_per_1000_births,All causes deaths in newborn,measure,"All causes deaths in newborn (per 1,000 births)",http://spreadsheets.google.com/pub?key=tbpc_fYEqPzaE7pDWBG84Rw,per 1 000 births,,,,"['log', 'linear']"
birth_asphyxia_deaths_in_newborn_per_1000_births,Birth asphyxia deaths in newborn,measure,"Birth asphyxia deaths in newborn (per 1,000 births)",http://spreadsheets.google.com/pub?key=t_0WcTuc94YT9cJVvy1tmUg,per 1 000 births,,,,"['log', 'linear']"
congenital_deaths_in_newborn_per_1000_births,Congenital deaths in newborn,measure,"Congenital deaths in newborn (per 1,000 births)",http://spreadsheets.google.com/pub?key=tneegXfZGHA0-nLG25ypnyg,per 1 000 births,,,,"['log', 'linear']"
diarrhoeal_deaths_in_newborn_per_1000_births,Diarrhoeal deaths in newborn,measure,"Diarrhoeal deaths in newborn (per 1,000 births)",http://spreadsheets.google.com/pub?key=tX7NQAP_5H4TOS1OEnxdxYw,per 1 000 births,,,,"['log', 'linear']"
pneumonia_deaths_in_newborn_per_1000_births,Pneumonia deaths in newborn,measure,"Pneumonia deaths in newborn (per 1,000 births)",http://spreadsheets.google.com/pub?key=tOXHWd6PcUGK3Dg-k2N8Clw,per 1 000 births,,,,"['log', 'linear']"
prematurity_deaths_in_newborn_per_1000_births,Prematurity deaths in newborn,measure,"Prematurity deaths in newborn (per 1,000 births)",http://spreadsheets.google.com/pub?key=tVMPnbOfGdvTRrtbuIbRw5w,per 1 000 births,,,,"['log', 'linear']"
sepsis_deaths_in_newborn_per_1000_births,Sepsis deaths in newborn,measure,"Sepsis deaths in newborn (per 1,000 births)",http://spreadsheets.google.com/pub?key=tGVRSoAJtdwQ30CqCSexKJA,per 1 000 births,,,,"['log', 'linear']"
tetanus_deaths_in_newborn_per_1000_births,Tetanus deaths in newborn,measure,"Tetanus deaths in newborn (per 1,000 births)",http://spreadsheets.google.com/pub?key=t1E7e32tlIxtJU9UhnR9nJg,per 1 000 births,,,,"['log', 'linear']"
other_deaths_in_newborn_per_1000_births,Other deaths in newborn,measure,"Other deaths in newborn (per 1,000 births)",http://spreadsheets.google.com/pub?key=tiYIen5OQP0fKiQbg6g8VyA,per 1 000 births,,,,"['log', 'linear']"
all_causes_deaths_in_newborn_total_deaths,"All causes deaths in newborn, total",measure,All causes deaths in newborn (total deaths),http://spreadsheets.google.com/pub?key=tBVcAKWEbc2s687q6D9yuYg,,,,,"['log', 'linear']"
birth_asphyxia_deaths_in_newborn_total_deaths,"Birth asphyxia deaths in newborn, total",measure,Birth asphyxia deaths in newborn (total deaths),http://spreadsheets.google.com/pub?key=twrll6eL8GeIU4P71aTakmg,,,,,"['log', 'linear']"
