geo,population_total,time
akr_a_dhe,15700,2005
akr_a_dhe,15700,2006
akr_a_dhe,15700,2007
akr_a_dhe,15700,2008
alb,410400,1800
alb,423600,1810
alb,438700,1820
alb,457200,1830
alb,478200,1840
alb,506900,1850
alb,552800,1860
alb,610000,1870
alb,672500,1880
alb,741700,1890
alb,820000,1900
alb,901100,1910
alb,964000,1920
alb,1016000,1930
alb,1123000,1940
alb,1263000,1950
alb,1287000,1951
alb,1316000,1952
alb,1348000,1953
alb,1383000,1954
alb,1420000,1955
alb,1459000,1956
alb,1500000,1957
alb,1543000,1958
alb,1588000,1959
alb,1636000,1960
alb,1686000,1961
alb,1738000,1962
alb,1791000,1963
alb,1844000,1964
alb,1896000,1965
alb,1948000,1966
alb,1999000,1967
alb,2049000,1968
alb,2100000,1969
alb,2151000,1970
alb,2202000,1971
alb,2254000,1972
alb,2306000,1973
alb,2358000,1974
alb,2411000,1975
alb,2464000,1976
alb,2518000,1977
alb,2572000,1978
alb,2626000,1979
alb,2681000,1980
alb,2735000,1981
alb,2788000,1982
alb,2843000,1983
alb,2902000,1984
alb,2967000,1985
alb,3041000,1986
alb,3121000,1987
alb,3197000,1988
alb,3254000,1989
alb,3281000,1990
alb,3275000,1991
alb,3241000,1992
alb,3190000,1993
alb,3141000,1994
alb,3107000,1995
alb,3092000,1996
alb,3092000,1997
alb,3103000,1998
alb,3115000,1999
alb,3122000,2000
alb,3124000,2001
alb,3123000,2002
alb,3117000,2003
alb,3104000,2004
alb,3082000,2005
alb,3051000,2006
alb,3011000,2007
alb,2968000,2008
alb,2930000,2009
alb,2902000,2010
alb,2886000,2011
alb,2881000,2012
alb,2883000,2013
alb,2890000,2014
alb,2897000,2015
dza,2503000,1800
dza,2595000,1810
dza,2713000,1820
dza,2880000,1830
dza,3083000,1840
dza,3299000,1850
dza,3536000,1860
dza,3811000,1870
dza,4143000,1880
dza,4526000,1890
dza,4946000,1900
dza,5404000,1910
dza,6064000,1920
dza,6876000,1930
dza,7797000,1940
dza,8872000,1950
dza,9040000,1951
dza,9216000,1952
dza,9405000,1953
dza,9610000,1954
dza,9830000,1955
dza,10070000,1956
dza,10320000,1957
dza,10580000,1958
dza,10850000,1959
dza,11120000,1960
dza,11400000,1961
dza,11690000,1962
dza,11990000,1963
dza,12300000,1964
dza,12630000,1965
dza,12980000,1966
dza,13350000,1967
dza,13740000,1968
dza,14140000,1969
dza,14550000,1970
dza,14960000,1971
dza,15380000,1972
dza,15800000,1973
dza,16250000,1974
dza,16710000,1975
dza,17190000,1976
dza,17690000,1977
dza,18210000,1978
dza,18760000,1979
dza,19340000,1980
dza,19940000,1981
dza,20580000,1982
dza,21230000,1983
dza,21890000,1984
dza,22570000,1985
dza,23240000,1986
dza,23920000,1987
dza,24590000,1988
dza,25260000,1989
dza,25910000,1990
dza,26550000,1991
dza,27180000,1992
dza,27790000,1993
dza,28360000,1994
dza,28900000,1995
dza,29410000,1996
dza,29890000,1997
dza,30340000,1998
dza,30770000,1999
dza,31180000,2000
dza,31590000,2001
dza,31990000,2002
dza,32390000,2003
dza,32820000,2004
dza,33270000,2005
dza,33750000,2006
dza,34260000,2007
dza,34810000,2008
dza,35400000,2009
dza,36040000,2010
dza,36720000,2011
dza,37440000,2012
dza,38190000,2013
dza,38930000,2014
dza,39670000,2015
asm,8170,1800
asm,8156,1810
asm,8142,1820
asm,8128,1830
asm,8114,1840
asm,7958,1850
asm,7564,1860
asm,7057,1870
asm,6582,1880
asm,6139,1890
asm,5949,1900
asm,7047,1910
asm,8173,1920
asm,10080,1930
asm,13140,1940
asm,18940,1950
asm,19300,1951
asm,19540,1952
asm,19680,1953
asm,19730,1954
asm,19710,1955
asm,19650,1956
asm,19600,1957
asm,19610,1958
asm,19730,1959
asm,20010,1960
asm,20480,1961
asm,21120,1962
asm,21880,1963
asm,22700,1964
asm,23520,1965
asm,24320,1966
asm,25120,1967
asm,25890,1968
asm,26620,1969
asm,27290,1970
asm,27920,1971
asm,28490,1972
asm,29010,1973
asm,29490,1974
asm,29930,1975
asm,30320,1976
asm,30690,1977
asm,31100,1978
asm,31670,1979
asm,32460,1980
asm,33490,1981
asm,34740,1982
asm,36160,1983
asm,37690,1984
asm,39250,1985
asm,40840,1986
asm,42450,1987
asm,44050,1988
asm,45590,1989
asm,47040,1990
asm,48380,1991
asm,49600,1992
asm,50720,1993
asm,51810,1994
asm,52870,1995
asm,53930,1996
asm,54940,1997
asm,55900,1998
asm,56770,1999
asm,57520,2000
asm,58180,2001
asm,58730,2002
asm,59120,2003
asm,59260,2004
asm,59120,2005
asm,58650,2006
asm,57900,2007
asm,57030,2008
asm,56230,2009
asm,55640,2010
asm,55320,2011
asm,55230,2012
asm,55300,2013
asm,55430,2014
asm,55540,2015
and,2654,1800
and,2654,1810
and,2700,1820
and,2835,1830
and,3026,1840
and,3230,1850
and,3436,1860
and,3654,1870
and,3885,1880
and,4131,1890
and,4393,1900
and,4671,1910
and,4974,1920
and,5309,1930
and,5667,1940
and,6197,1950
and,6692,1951
and,7250,1952
and,7863,1953
and,8526,1954
and,9235,1955
and,9987,1956
and,10780,1957
and,11620,1958
and,12490,1959
and,13410,1960
and,14380,1961
and,15380,1962
and,16410,1963
and,17470,1964
and,18550,1965
and,19650,1966
and,20760,1967
and,21890,1968
and,23060,1969
and,24280,1970
and,25560,1971
and,26890,1972
and,28230,1973
and,29510,1974
and,30710,1975
and,31780,1976
and,32770,1977
and,33750,1978
and,34820,1979
and,36060,1980
and,37500,1981
and,39110,1982
and,40860,1983
and,42700,1984
and,44600,1985
and,46520,1986
and,48460,1987
and,50430,1988
and,52450,1989
and,54510,1990
and,56670,1991
and,58900,1992
and,61000,1993
and,62710,1994
and,63850,1995
and,64290,1996
and,64150,1997
and,63890,1998
and,64160,1999
and,65400,2000
and,67770,2001
and,71050,2002
and,74780,2003
and,78340,2004
and,81220,2005
and,83370,2006
and,84880,2007
and,85620,2008
and,85470,2009
and,84420,2010
and,82330,2011
and,79320,2012
and,75900,2013
and,72790,2014
and,70470,2015
ago,1567000,1800
ago,1567000,1810
ago,1598000,1820
ago,1686000,1830
ago,1813000,1840
ago,1949000,1850
ago,2111000,1860
ago,2285000,1870
ago,2474000,1880
ago,2677000,1890
ago,2898000,1900
ago,3137000,1910
ago,3388000,1920
ago,3642000,1930
ago,3920000,1940
ago,4355000,1950
ago,4440000,1951
ago,4529000,1952
ago,4622000,1953
ago,4715000,1954
ago,4808000,1955
ago,4901000,1956
ago,4992000,1957
ago,5084000,1958
ago,5177000,1959
ago,5271000,1960
ago,5367000,1961
ago,5466000,1962
ago,5566000,1963
ago,5666000,1964
ago,5765000,1965
ago,5864000,1966
ago,5963000,1967
ago,6066000,1968
ago,6178000,1969
ago,6301000,1970
ago,6438000,1971
ago,6588000,1972
ago,6750000,1973
ago,6924000,1974
ago,7107000,1975
ago,7300000,1976
ago,7501000,1977
ago,7717000,1978
ago,7953000,1979
ago,8212000,1980
ago,8498000,1981
ago,8808000,1982
ago,9129000,1983
ago,9445000,1984
ago,9745000,1985
ago,10020000,1986
ago,10290000,1987
ago,10540000,1988
ago,10820000,1989
ago,11130000,1990
ago,11470000,1991
ago,11850000,1992
ago,12250000,1993
ago,12650000,1994
ago,13040000,1995
ago,13420000,1996
ago,13800000,1997
ago,14190000,1998
ago,14600000,1999
ago,15060000,2000
ago,15560000,2001
ago,16110000,2002
ago,16690000,2003
ago,17300000,2004
ago,17910000,2005
ago,18540000,2006
ago,19180000,2007
ago,19840000,2008
ago,20520000,2009
ago,21220000,2010
ago,21940000,2011
ago,22690000,2012
ago,23450000,2013
ago,24230000,2014
ago,25020000,2015
aia,2025,1800
aia,2025,1810
aia,2064,1820
aia,2177,1830
aia,2338,1840
aia,2511,1850
aia,2693,1860
aia,2888,1870
aia,3097,1880
aia,3320,1890
aia,3561,1900
aia,3818,1910
aia,4097,1920
aia,4400,1930
aia,4725,1940
aia,5121,1950
aia,5297,1951
aia,5438,1952
aia,5549,1953
aia,5635,1954
aia,5697,1955
aia,5743,1956
aia,5777,1957
aia,5805,1958
aia,5831,1959
aia,5863,1960
aia,5901,1961
aia,5948,1962
aia,6001,1963
aia,6057,1964
aia,6114,1965
aia,6171,1966
aia,6228,1967
aia,6287,1968
aia,6344,1969
aia,6400,1970
aia,6454,1971
aia,6506,1972
aia,6554,1973
aia,6596,1974
aia,6630,1975
aia,6661,1976
aia,6691,1977
aia,6712,1978
aia,6715,1979
aia,6698,1980
aia,6652,1981
aia,6587,1982
aia,6537,1983
aia,6551,1984
aia,6662,1985
aia,6883,1986
aia,7198,1987
aia,7576,1988
aia,7966,1989
aia,8334,1990
aia,8668,1991
aia,8979,1992
aia,9266,1993
aia,9540,1994
aia,9807,1995
aia,10060,1996
aia,10300,1997
aia,10540,1998
aia,10800,1999
aia,11070,2000
aia,11370,2001
aia,11690,2002
aia,12020,2003
aia,12340,2004
aia,12640,2005
aia,12900,2006
aia,13140,2007
aia,13360,2008
aia,13570,2009
aia,13770,2010
aia,13960,2011
aia,14130,2012
aia,14300,2013
aia,14460,2014
aia,14610,2015
atg,37000,1800
atg,37000,1810
atg,37000,1820
atg,37000,1830
atg,37000,1840
atg,37000,1850
atg,36530,1860
atg,35550,1870
atg,35220,1880
atg,36290,1890
atg,34920,1900
atg,32120,1910
atg,30000,1920
atg,33650,1930
atg,38500,1940
atg,46300,1950
atg,48310,1951
atg,49890,1952
atg,51090,1953
atg,51980,1954
atg,52610,1955
atg,53060,1956
atg,53410,1957
atg,53740,1958
atg,54140,1959
atg,54680,1960
atg,55400,1961
atg,56310,1962
atg,57370,1963
atg,58500,1964
atg,59650,1965
atg,60820,1966
atg,62000,1967
atg,63180,1968
atg,64310,1969
atg,65370,1970
atg,66340,1971
atg,67200,1972
atg,67970,1973
atg,68660,1974
atg,69250,1975
atg,69780,1976
atg,70220,1977
atg,70510,1978
atg,70550,1979
atg,70300,1980
atg,69750,1981
atg,68950,1982
atg,67960,1983
atg,66860,1984
atg,65740,1985
atg,64600,1986
atg,63480,1987
atg,62540,1988
atg,61970,1989
atg,61910,1990
atg,62410,1991
atg,63430,1992
atg,64870,1993
atg,66550,1994
atg,68350,1995
atg,70240,1996
atg,72230,1997
atg,74210,1998
atg,76040,1999
atg,77650,2000
atg,78970,2001
atg,80030,2002
atg,80900,2003
atg,81720,2004
atg,82560,2005
atg,83470,2006
atg,84400,2007
atg,85350,2008
atg,86300,2009
atg,87230,2010
atg,88150,2011
atg,89070,2012
atg,89980,2013
atg,90900,2014
atg,91820,2015
arg,534000,1800
arg,534000,1810
arg,570700,1820
arg,686700,1830
arg,873700,1840
arg,1113000,1850
arg,1421000,1860
arg,1857000,1870
arg,2493000,1880
arg,3402000,1890
arg,4757000,1900
arg,6853000,1910
arg,8885000,1920
arg,11900000,1930
arg,14200000,1940
arg,17150000,1950
arg,17510000,1951
arg,17870000,1952
arg,18220000,1953
arg,18580000,1954
arg,18930000,1955
arg,19270000,1956
arg,19610000,1957
arg,19950000,1958
arg,20290000,1959
arg,20620000,1960
arg,20950000,1961
arg,21290000,1962
arg,21620000,1963
arg,21950000,1964
arg,22280000,1965
arg,22610000,1966
arg,22930000,1967
arg,23260000,1968
arg,23610000,1969
arg,23970000,1970
arg,24370000,1971
arg,24780000,1972
arg,25210000,1973
arg,25640000,1974
arg,26070000,1975
arg,26480000,1976
arg,26880000,1977
arg,27280000,1978
arg,27680000,1979
arg,28110000,1980
arg,28540000,1981
arg,28990000,1982
arg,29450000,1983
arg,29920000,1984
arg,30390000,1985
arg,30860000,1986
arg,31330000,1987
arg,31800000,1988
arg,32260000,1989
arg,32730000,1990
arg,33190000,1991
arg,33660000,1992
arg,34110000,1993
arg,34560000,1994
arg,34990000,1995
arg,35420000,1996
arg,35830000,1997
arg,36240000,1998
arg,36650000,1999
arg,37060000,2000
arg,37470000,2001
arg,37890000,2002
arg,38310000,2003
arg,38730000,2004
arg,39150000,2005
arg,39560000,2006
arg,39970000,2007
arg,40380000,2008
arg,40800000,2009
arg,41220000,2010
arg,41660000,2011
arg,42100000,2012
arg,42540000,2013
arg,42980000,2014
arg,43420000,2015
arm,413300,1800
arm,413300,1810
arm,423500,1820
arm,453500,1830
arm,496800,1840
arm,544300,1850
arm,595900,1860
arm,652400,1870
arm,714000,1880
arm,781200,1890
arm,855300,1900
arm,936100,1910
arm,1025000,1920
arm,1123000,1930
arm,1230000,1940
arm,1354000,1950
arm,1383000,1951
arm,1420000,1952
arm,1463000,1953
arm,1511000,1954
arm,1564000,1955
arm,1619000,1956
arm,1678000,1957
arm,1739000,1958
arm,1802000,1959
arm,1867000,1960
arm,1934000,1961
arm,2002000,1962
arm,2070000,1963
arm,2138000,1964
arm,2205000,1965
arm,2269000,1966
arm,2333000,1967
arm,2395000,1968
arm,2456000,1969
arm,2518000,1970
arm,2581000,1971
arm,2643000,1972
arm,2706000,1973
arm,2766000,1974
arm,2826000,1975
arm,2883000,1976
arm,2938000,1977
arm,2992000,1978
arm,3045000,1979
arm,3096000,1980
arm,3146000,1981
arm,3193000,1982
arm,3239000,1983
arm,3288000,1984
arm,3339000,1985
arm,3397000,1986
arm,3457000,1987
arm,3510000,1988
arm,3543000,1989
arm,3545000,1990
arm,3512000,1991
arm,3449000,1992
arm,3370000,1993
arm,3290000,1994
arm,3223000,1995
arm,3173000,1996
arm,3138000,1997
arm,3113000,1998
arm,3094000,1999
arm,3076000,2000
arm,3060000,2001
arm,3047000,2002
arm,3036000,2003
arm,3026000,2004
arm,3015000,2005
arm,3002000,2006
arm,2988000,2007
arm,2975000,2008
arm,2966000,2009
arm,2963000,2010
arm,2968000,2011
arm,2978000,2012
arm,2992000,2013
arm,3006000,2014
arm,3018000,2015
abw,19290,1800
abw,19290,1810
abw,19560,1820
abw,20330,1830
abw,21420,1840
abw,22570,1850
abw,23790,1860
abw,25060,1870
abw,26400,1880
abw,27820,1890
abw,29310,1900
abw,30880,1910
abw,32540,1920
abw,34290,1930
abw,36130,1940
abw,38070,1950
abw,38260,1951
abw,38960,1952
abw,40150,1953
abw,41760,1954
abw,43730,1955
abw,45930,1956
abw,48240,1957
abw,50500,1958
abw,52540,1959
abw,54210,1960
abw,55440,1961
abw,56230,1962
abw,56700,1963
abw,57030,1964
abw,57360,1965
abw,57710,1966
abw,58050,1967
abw,58380,1968
abw,58720,1969
abw,59060,1970
abw,59440,1971
abw,59850,1972
abw,60240,1973
abw,60520,1974
abw,60660,1975
abw,60590,1976
abw,60370,1977
abw,60110,1978
abw,59980,1979
abw,60100,1980
abw,60570,1981
abw,61340,1982
abw,62200,1983
abw,62830,1984
abw,63030,1985
abw,62640,1986
abw,61840,1987
abw,61080,1988
abw,61030,1989
abw,62150,1990
abw,64620,1991
abw,68240,1992
abw,72500,1993
abw,76700,1994
abw,80330,1995
abw,83200,1996
abw,85450,1997
abw,87280,1998
abw,89000,1999
abw,90860,2000
abw,92890,2001
abw,95000,2002
abw,97020,2003
abw,98740,2004
abw,100000,2005
abw,100800,2006
abw,101200,2007
abw,101300,2008
abw,101400,2009
abw,101600,2010
abw,101900,2011
abw,102400,2012
abw,102900,2013
abw,103400,2014
abw,103900,2015
aus,351000,1800
aus,342400,1810
aus,334000,1820
aus,348100,1830
aus,434100,1840
aus,742600,1850
aus,1256000,1860
aus,1724000,1870
aus,2253000,1880
aus,3089000,1890
aus,3744000,1900
aus,4408000,1910
aus,5345000,1920
aus,6474000,1930
aus,7052000,1940
aus,8177000,1950
aus,8418000,1951
aus,8627000,1952
aus,8822000,1953
aus,9015000,1954
aus,9213000,1955
aus,9421000,1956
aus,9637000,1957
aus,9859000,1958
aus,10080000,1959
aus,10290000,1960
aus,10490000,1961
aus,10690000,1962
aus,10890000,1963
aus,11110000,1964
aus,11370000,1965
aus,11660000,1966
aus,11980000,1967
aus,12310000,1968
aus,12620000,1969
aus,12900000,1970
aus,13150000,1971
aus,13360000,1972
aus,13550000,1973
aus,13730000,1974
aus,13890000,1975
aus,14050000,1976
aus,14210000,1977
aus,14370000,1978
aus,14530000,1979
aus,14710000,1980
aus,14900000,1981
aus,15100000,1982
aus,15320000,1983
aus,15550000,1984
aus,15790000,1985
aus,16050000,1986
aus,16310000,1987
aus,16590000,1988
aus,16850000,1989
aus,17100000,1990
aus,17330000,1991
aus,17540000,1992
aus,17740000,1993
aus,17930000,1994
aus,18120000,1995
aus,18320000,1996
aus,18510000,1997
aus,18710000,1998
aus,18910000,1999
aus,19110000,2000
aus,19310000,2001
aus,19510000,2002
aus,19740000,2003
aus,19990000,2004
aus,20270000,2005
aus,20610000,2006
aus,20980000,2007
aus,21370000,2008
aus,21770000,2009
aus,22160000,2010
aus,22540000,2011
aus,22910000,2012
aus,23270000,2013
aus,23620000,2014
aus,23970000,2015
aut,3206000,1800
aut,3287000,1810
aut,3391000,1820
aut,3538000,1830
aut,3728000,1840
aut,3963000,1850
aut,4236000,1860
aut,4557000,1870
aut,4947000,1880
aut,5409000,1890
aut,5980000,1900
aut,6608000,1910
aut,6459000,1920
aut,6684000,1930
aut,6701000,1940
aut,6936000,1950
aut,6930000,1951
aut,6929000,1952
aut,6932000,1953
aut,6939000,1954
aut,6949000,1955
aut,6963000,1956
aut,6981000,1957
aut,7004000,1958
aut,7032000,1959
aut,7066000,1960
aut,7106000,1961
aut,7151000,1962
aut,7200000,1963
aut,7250000,1964
aut,7299000,1965
aut,7346000,1966
aut,7391000,1967
aut,7433000,1968
aut,7473000,1969
aut,7510000,1970
aut,7543000,1971
aut,7574000,1972
aut,7599000,1973
aut,7617000,1974
aut,7628000,1975
aut,7631000,1976
aut,7626000,1977
aut,7616000,1978
aut,7606000,1979
aut,7597000,1980
aut,7592000,1981
aut,7589000,1982
aut,7590000,1983
aut,7593000,1984
aut,7601000,1985
aut,7610000,1986
aut,7624000,1987
aut,7642000,1988
aut,7670000,1989
aut,7707000,1990
aut,7755000,1991
aut,7813000,1992
aut,7875000,1993
aut,7930000,1994
aut,7973000,1995
aut,8000000,1996
aut,8015000,1997
aut,8023000,1998
aut,8033000,1999
aut,8051000,2000
aut,8079000,2001
aut,8115000,2002
aut,8155000,2003
aut,8197000,2004
aut,8235000,2005
aut,8269000,2006
aut,8301000,2007
aut,8331000,2008
aut,8361000,2009
aut,8392000,2010
aut,8424000,2011
aut,8455000,2012
aut,8487000,2013
aut,8517000,2014
aut,8545000,2015
aze,880000,1800
aze,880000,1810
aze,901800,1820
aze,965900,1830
aze,1059000,1840
aze,1160000,1850
aze,1271000,1860
aze,1391000,1870
aze,1523000,1880
aze,1667000,1890
aze,1826000,1900
aze,1999000,1910
aze,2189000,1920
aze,2399000,1930
aze,2630000,1940
aze,2896000,1950
aze,2965000,1951
aze,3045000,1952
aze,3134000,1953
aze,3228000,1954
aze,3328000,1955
aze,3432000,1956
aze,3540000,1957
aze,3653000,1958
aze,3772000,1959
aze,3898000,1960
aze,4030000,1961
aze,4168000,1962
aze,4307000,1963
aze,4446000,1964
aze,4580000,1965
aze,4708000,1966
aze,4832000,1967
aze,4951000,1968
aze,5066000,1969
aze,5178000,1970
aze,5287000,1971
aze,5393000,1972
aze,5496000,1973
aze,5596000,1974
aze,5694000,1975
aze,5789000,1976
aze,5882000,1977
aze,5975000,1978
aze,6069000,1979
aze,6164000,1980
aze,6262000,1981
aze,6362000,1982
aze,6465000,1983
aze,6569000,1984
aze,6674000,1985
aze,6780000,1986
aze,6886000,1987
aze,6994000,1988
aze,7104000,1989
aze,7217000,1990
aze,7333000,1991
aze,7451000,1992
aze,7567000,1993
aze,7675000,1994
aze,7771000,1995
aze,7852000,1996
aze,7922000,1997
aze,7985000,1998
aze,8048000,1999
aze,8118000,2000
aze,8196000,2001
aze,8281000,2002
aze,8372000,2003
aze,8466000,2004
aze,8563000,2005
aze,8662000,2006
aze,8763000,2007
aze,8869000,2008
aze,8980000,2009
aze,9100000,2010
aze,9228000,2011
aze,9361000,2012
aze,9497000,2013
aze,9630000,2014
aze,9754000,2015
bhs,27350,1800
bhs,27350,1810
bhs,27400,1820
bhs,27560,1830
bhs,27770,1840
bhs,29370,1850
bhs,33620,1860
bhs,38790,1870
bhs,43340,1880
bhs,47820,1890
bhs,53100,1900
bhs,55830,1910
bhs,53440,1920
bhs,59420,1930
bhs,66810,1940
bhs,79090,1950
bhs,79980,1951
bhs,81430,1952
bhs,83370,1953
bhs,85780,1954
bhs,88620,1955
bhs,91890,1956
bhs,95600,1957
bhs,99770,1958
bhs,104400,1959
bhs,109500,1960
bhs,115100,1961
bhs,121100,1962
bhs,127300,1963
bhs,133700,1964
bhs,140000,1965
bhs,146400,1966
bhs,152600,1967
bhs,158600,1968
bhs,164200,1969
bhs,169400,1970
bhs,173900,1971
bhs,177800,1972
bhs,181500,1973
bhs,185100,1974
bhs,188900,1975
bhs,192900,1976
bhs,197100,1977
bhs,201500,1978
bhs,206000,1979
bhs,210700,1980
bhs,215400,1981
bhs,220300,1982
bhs,225200,1983
bhs,230000,1984
bhs,234700,1985
bhs,239100,1986
bhs,243400,1987
bhs,247600,1988
bhs,251900,1989
bhs,256300,1990
bhs,261100,1991
bhs,266100,1992
bhs,271200,1993
bhs,275900,1994
bhs,280200,1995
bhs,283800,1996
bhs,287000,1997
bhs,290100,1998
bhs,293600,1999
bhs,297900,2000
bhs,303100,2001
bhs,309200,2002
bhs,315800,2003
bhs,322500,2004
bhs,329200,2005
bhs,335800,2006
bhs,342300,2007
bhs,348600,2008
bhs,354800,2009
bhs,360800,2010
bhs,366700,2011
bhs,372400,2012
bhs,377800,2013
bhs,383100,2014
bhs,388000,2015
bhr,64470,1800
bhr,64470,1810
bhr,64470,1820
bhr,64470,1830
bhr,64470,1840
bhr,64470,1850
bhr,64470,1860
bhr,65420,1870
bhr,68170,1880
bhr,72040,1890
bhr,76160,1900
bhr,80500,1910
bhr,87360,1920
bhr,95900,1930
bhr,105300,1940
bhr,115600,1950
bhr,116900,1951
bhr,119700,1952
bhr,123600,1953
bhr,128300,1954
bhr,133700,1955
bhr,139300,1956
bhr,145200,1957
bhr,151100,1958
bhr,156900,1959
bhr,162500,1960
bhr,167900,1961
bhr,173100,1962
bhr,178000,1963
bhr,182800,1964
bhr,187300,1965
bhr,191800,1966
bhr,196200,1967
bhr,201000,1968
bhr,206500,1969
bhr,213100,1970
bhr,220800,1971
bhr,229600,1972
bhr,239900,1973
bhr,252100,1974
bhr,266700,1975
bhr,283800,1976
bhr,303200,1977
bhr,323500,1978
bhr,342800,1979
bhr,359900,1980
bhr,374100,1981
bhr,386000,1982
bhr,396400,1983
bhr,407200,1984
bhr,419400,1985
bhr,433500,1986
bhr,449000,1987
bhr,465200,1988
bhr,481100,1989
bhr,495900,1990
bhr,509700,1991
bhr,522700,1992
bhr,535700,1993
bhr,549200,1994
bhr,563700,1995
bhr,579900,1996
bhr,597800,1997
bhr,618100,1998
bhr,640900,1999
bhr,666900,2000
bhr,694900,2001
bhr,725400,2002
bhr,761600,2003
bhr,808000,2004
bhr,867000,2005
bhr,940800,2006
bhr,1027000,2007
bhr,1116000,2008
bhr,1197000,2009
bhr,1261000,2010
bhr,1306000,2011
bhr,1334000,2012
bhr,1349000,2013
bhr,1362000,2014
bhr,1377000,2015
bgd,19230000,1800
bgd,19610000,1810
bgd,20120000,1820
bgd,20870000,1830
bgd,21780000,1840
bgd,22720000,1850
bgd,23670000,1860
bgd,24760000,1870
bgd,26090000,1880
bgd,27620000,1890
bgd,29230000,1900
bgd,30940000,1910
bgd,32570000,1920
bgd,34360000,1930
bgd,37450000,1940
bgd,37890000,1950
bgd,38710000,1951
bgd,39490000,1952
bgd,40300000,1953
bgd,41170000,1954
bgd,42120000,1955
bgd,43170000,1956
bgd,44320000,1957
bgd,45550000,1958
bgd,46850000,1959
bgd,48200000,1960
bgd,49590000,1961
bgd,51030000,1962
bgd,52530000,1963
bgd,54130000,1964
bgd,55840000,1965
bgd,57680000,1966
bgd,59630000,1967
bgd,61590000,1968
bgd,63420000,1969
bgd,65050000,1970
bgd,66420000,1971
bgd,67580000,1972
bgd,68660000,1973
bgd,69840000,1974
bgd,71250000,1975
bgd,72930000,1976
bgd,74850000,1977
bgd,76950000,1978
bgd,79140000,1979
bgd,81360000,1980
bgd,83600000,1981
bgd,85870000,1982
bgd,88180000,1983
bgd,90560000,1984
bgd,93020000,1985
bgd,95550000,1986
bgd,98150000,1987
bgd,100800000,1988
bgd,103400000,1989
bgd,106000000,1990
bgd,108500000,1991
bgd,111000000,1992
bgd,113400000,1993
