old_version_of_income_per_person_version_8,geo,time
4732.0,dza,1995
4824.0,dza,1996
4797.0,dza,1997
4965.0,dza,1998
5049.0,dza,1999
5099.0,dza,2000
5156.0,dza,2001
5288.0,dza,2002
5577.0,dza,2003
5791.0,dza,2004
6011.0,dza,2005
5969.0,dza,2006
6041.0,dza,2007
6175.0,dza,2008
6207.0,dza,2009
674.5,asm,1800
674.5,asm,1820
911.8,asm,1913
4465.0,asm,1950
6284.0,asm,1973
6497.0,asm,1990
7776.0,asm,2001
9618.0,asm,2005
10060.0,asm,2006
1260.0,and,1800
1303.0,and,1820
3856.0,and,1913
32390.0,and,1970
32190.0,and,1971
33080.0,and,1972
33950.0,and,1973
34250.0,and,1974
33020.0,and,1975
32840.0,and,1976
32630.0,and,1977
32010.0,and,1978
30830.0,and,1979
30180.0,and,1980
28680.0,and,1981
27520.0,and,1982
26570.0,and,1983
25820.0,and,1984
25470.0,and,1985
25620.0,and,1986
26580.0,and,1987
27520.0,and,1988
28280.0,and,1989
28510.0,and,1990
28090.0,and,1991
27040.0,and,1992
25510.0,and,1993
25090.0,and,1994
25060.0,and,1995
25840.0,and,1996
28060.0,and,1997
28980.0,and,1998
30140.0,and,1999
30270.0,and,2000
33290.0,and,2001
34490.0,and,2002
35930.0,and,2003
37430.0,and,2004
39000.0,and,2005
40650.0,and,2006
40490.0,and,2007
41350.0,and,2008
359.9,ago,1800
359.9,ago,1820
556.1,ago,1913
3363.0,ago,1950
3441.0,ago,1951
3521.0,ago,1952
3599.0,ago,1953
3451.0,ago,1954
3672.0,ago,1955
3549.0,ago,1956
3828.0,ago,1957
3966.0,ago,1958
3918.0,ago,1959
4006.0,ago,1960
4464.0,ago,1961
4269.0,ago,1962
4414.0,ago,1963
4826.0,ago,1964
5102.0,ago,1965
5308.0,ago,1966
5523.0,ago,1967
5347.0,ago,1968
5408.0,ago,1969
5652.0,ago,1970
5526.0,ago,1971
5473.0,ago,1972
5722.0,ago,1973
5470.0,ago,1974
3431.0,ago,1975
3050.0,ago,1976
3009.0,ago,1977
3071.0,ago,1978
3065.0,ago,1979
3075.0,ago,1980
2953.0,ago,1981
2757.0,ago,1982
2585.0,ago,1983
2527.0,ago,1984
2493.0,ago,1985
2221.0,ago,1986
2430.0,ago,1987
2729.0,ago,1988
2731.0,ago,1989
2777.0,ago,1990
2731.0,ago,1991
2628.0,ago,1992
1870.0,ago,1993
1851.0,ago,1994
1989.0,ago,1995
2157.0,ago,1996
2277.0,ago,1997
2384.0,ago,1998
2417.0,ago,1999
2447.0,ago,2000
2480.0,ago,2001
2773.0,ago,2002
2785.0,ago,2003
3007.0,ago,2004
3533.0,ago,2005
4070.0,ago,2006
4755.0,ago,2007
5229.0,ago,2008
5056.0,ago,2009
775.7,aia,1800
775.7,aia,1820
1431.0,aia,1913
5689.0,aia,1970
5475.0,aia,1971
6032.0,aia,1972
6214.0,aia,1973
6149.0,aia,1974
6318.0,aia,1975
6394.0,aia,1976
6391.0,aia,1977
6858.0,aia,1978
7507.0,aia,1979
7867.0,aia,1980
8152.0,aia,1981
8050.0,aia,1982
8016.0,aia,1983
8264.0,aia,1984
8976.0,aia,1985
9911.0,aia,1986
10600.0,aia,1987
11610.0,aia,1988
12220.0,aia,1989
12340.0,aia,1990
11710.0,aia,1991
12200.0,aia,1992
12770.0,aia,1993
13480.0,aia,1994
12890.0,aia,1995
12960.0,aia,1996
14100.0,aia,1997
15300.0,aia,1998
15610.0,aia,1999
15550.0,aia,2000
15680.0,aia,2001
15180.0,aia,2002
15300.0,aia,2003
18280.0,aia,2004
19480.0,aia,2005
22960.0,aia,2006
26970.0,aia,2007
30380.0,aia,2008
538.4,atg,1800
538.4,atg,1820
993.3,atg,1913
3949.0,atg,1970
4138.0,atg,1971
4334.0,atg,1972
4598.0,atg,1973
4676.0,atg,1974
4382.0,atg,1975
3992.0,atg,1976
4320.0,atg,1977
4535.0,atg,1978
5106.0,atg,1979
5532.0,atg,1980
5882.0,atg,1981
5973.0,atg,1982
6453.0,atg,1983
7024.0,atg,1984
7694.0,atg,1985
8514.0,atg,1986
9474.0,atg,1987
10430.0,atg,1988
11210.0,atg,1989
11570.0,atg,1990
11750.0,atg,1991
11680.0,atg,1992
12040.0,atg,1993
12480.0,atg,1994
11650.0,atg,1995
12100.0,atg,1996
12390.0,atg,1997
12610.0,atg,1998
12830.0,atg,1999
12740.0,atg,2000
12770.0,atg,2001
12870.0,atg,2002
13350.0,atg,2003
14110.0,atg,2004
14580.0,atg,2005
16280.0,atg,2006
17150.0,atg,2007
17260.0,atg,2008
15930.0,atg,2009
871.6,arg,1800
871.6,arg,1820
1885.0,arg,1875
1867.0,arg,1876
2002.0,arg,1877
1840.0,arg,1878
1863.0,arg,1879
1770.0,arg,1880
1743.0,arg,1881
2141.0,arg,1882
2334.0,arg,1883
2426.0,arg,1884
2770.0,arg,1885
2695.0,arg,1886
2795.0,arg,1887
3157.0,arg,1888
3365.0,arg,1889
2983.0,arg,1890
2730.0,arg,1891
3176.0,arg,1892
3267.0,arg,1893
3665.0,arg,1894
3949.0,arg,1895
4246.0,arg,1896
3317.0,arg,1897
3499.0,arg,1898
4011.0,arg,1899
3420.0,arg,1900
3612.0,arg,1901
3437.0,arg,1902
3831.0,arg,1903
4131.0,arg,1904
4562.0,arg,1905
4580.0,arg,1906
4464.0,arg,1907
4694.0,arg,1908
4708.0,arg,1909
4832.0,arg,1910
4726.0,arg,1911
4923.0,arg,1912
4778.0,arg,1913
4092.0,arg,1914
3950.0,arg,1915
3768.0,arg,1916
3398.0,arg,1917
3962.0,arg,1918
4039.0,arg,1919
4263.0,arg,1920
4242.0,arg,1921
4452.0,arg,1922
4807.0,arg,1923
5036.0,arg,1924
4861.0,arg,1925
4962.0,arg,1926
5178.0,arg,1927
5357.0,arg,1928
5457.0,arg,1929
5081.0,arg,1930
4634.0,arg,1931
4394.0,arg,1932
4518.0,arg,1933
4790.0,arg,1934
4909.0,arg,1935
4873.0,arg,1936
5150.0,arg,1937
5085.0,arg,1938
5200.0,arg,1939
5202.0,arg,1940
5393.0,arg,1941
5368.0,arg,1942
5248.0,arg,1943
5758.0,arg,1944
5483.0,arg,1945
5845.0,arg,1946
6360.0,arg,1947
6560.0,arg,1948
6323.0,arg,1949
6253.0,arg,1950
6362.0,arg,1951
5911.0,arg,1952
6108.0,arg,1953
6243.0,arg,1954
6567.0,arg,1955
6630.0,arg,1956
6857.0,arg,1957
7158.0,arg,1958
6575.0,arg,1959
6985.0,arg,1960
7367.0,arg,1961
7133.0,arg,1962
6853.0,arg,1963
7453.0,arg,1964
8022.0,arg,1965
7956.0,arg,1966
8053.0,arg,1967
8284.0,arg,1968
8871.0,arg,1969
9212.0,arg,1970
9408.0,arg,1971
9443.0,arg,1972
9633.0,arg,1973
9990.0,arg,1974
9766.0,arg,1975
9612.0,arg,1976
10080.0,arg,1977
9603.0,arg,1978
10120.0,arg,1979
10130.0,arg,1980
9422.0,arg,1981
8998.0,arg,1982
9239.0,arg,1983
9302.0,arg,1984
8526.0,arg,1985
9027.0,arg,1986
9140.0,arg,1987
8846.0,arg,1988
8108.0,arg,1989
7847.0,arg,1990
8576.0,arg,1991
9308.0,arg,1992
9742.0,arg,1993
10210.0,arg,1994
9808.0,arg,1995
10250.0,arg,1996
10970.0,arg,1997
11270.0,arg,1998
10770.0,arg,1999
10570.0,arg,2000
9993.0,arg,2001
8798.0,arg,2002
9481.0,arg,2003
10230.0,arg,2004
11060.0,arg,2005
11880.0,arg,2006
12780.0,arg,2007
13520.0,arg,2008
13500.0,arg,2009
502.6,arm,1800
513.2,arm,1820
1144.0,arm,1913
2242.0,arm,1950
2849.0,arm,1973
2809.0,arm,1990
2437.0,arm,1991
1443.0,arm,1992
1376.0,arm,1993
1499.0,arm,1994
1632.0,arm,1995
1732.0,arm,1996
1791.0,arm,1997
1928.0,arm,1998
1993.0,arm,1999
2114.0,arm,2000
2328.0,arm,2001
2692.0,arm,2002
3079.0,arm,2003
3414.0,arm,2004
3903.0,arm,2005
4413.0,arm,2006
5012.0,arm,2007
5339.0,arm,2008
4523.0,arm,2009
575.9,abw,1800
575.9,abw,1820
1062.0,abw,1913
4224.0,abw,1970
4568.0,abw,1971
4940.0,abw,1972
5344.0,abw,1973
5786.0,abw,1974
6270.0,abw,1975
6804.0,abw,1976
7390.0,abw,1977
8026.0,abw,1978
8702.0,abw,1979
9410.0,abw,1980
10130.0,abw,1981
10870.0,abw,1982
11670.0,abw,1983
12590.0,abw,1984
13680.0,abw,1985
15020.0,abw,1986
17670.0,abw,1987
21250.0,abw,1988
23850.0,abw,1989
24320.0,abw,1990
25170.0,abw,1991
25120.0,abw,1992
25280.0,abw,1993
25830.0,abw,1994
25360.0,abw,1995
24970.0,abw,1996
26480.0,abw,1997
27960.0,abw,1998
27960.0,abw,1999
28710.0,abw,2000
27880.0,abw,2001
26470.0,abw,2002
25780.0,abw,2003
26970.0,abw,2004
26760.0,abw,2005
26480.0,abw,2006
26070.0,abw,2007
25350.0,abw,2008
541.4,aus,1700
671.5,aus,1800
701.0,aus,1820
707.4,aus,1821
728.1,aus,1822
752.8,aus,1823
794.9,aus,1824
833.2,aus,1825
849.0,aus,1826
874.8,aus,1827
896.8,aus,1828
946.6,aus,1829
1148.0,aus,1830
1187.0,aus,1831
1213.0,aus,1832
1218.0,aus,1833
1281.0,aus,1834
1550.0,aus,1835
1523.0,aus,1836
1597.0,aus,1837
1577.0,aus,1838
1471.0,aus,1839
1859.0,aus,1840
1586.0,aus,1841
1447.0,aus,1842
1677.0,aus,1843
1907.0,aus,1844
1962.0,aus,1845
2168.0,aus,1846
2508.0,aus,1847
2870.0,aus,1848
2836.0,aus,1849
2673.0,aus,1850
3173.0,aus,1851
3721.0,aus,1852
4074.0,aus,1853
3567.0,aus,1854
3386.0,aus,1855
4131.0,aus,1856
3646.0,aus,1857
3109.0,aus,1858
4014.0,aus,1859
3917.0,aus,1860
3858.0,aus,1861
3708.0,aus,1862
3695.0,aus,1863
3919.0,aus,1864
3738.0,aus,1865
3848.0,aus,1866
4207.0,aus,1867
4272.0,aus,1868
4187.0,aus,1869
4430.0,aus,1870
4464.0,aus,1871
4809.0,aus,1872
5175.0,aus,1873
5190.0,aus,1874
5601.0,aus,1875
5424.0,aus,1876
5463.0,aus,1877
5789.0,aus,1878
5691.0,aus,1879
5800.0,aus,1880
6029.0,aus,1881
5498.0,aus,1882
6057.0,aus,1883
5825.0,aus,1884
5985.0,aus,1885
5860.0,aus,1886
6269.0,aus,1887
6096.0,aus,1888
6425.0,aus,1889
6033.0,aus,1890
6316.0,aus,1891
5408.0,aus,1892
5018.0,aus,1893
5096.0,aus,1894
4720.0,aus,1895
4987.0,aus,1896
4629.0,aus,1897
5267.0,aus,1898
5197.0,aus,1899
5432.0,aus,1900
5195.0,aus,1901
5174.0,aus,1902
5517.0,aus,1903
5813.0,aus,1904
5795.0,aus,1905
6100.0,aus,1906
6248.0,aus,1907
6352.0,aus,1908
6741.0,aus,1909
7051.0,aus,1910
6908.0,aus,1911
6900.0,aus,1912
6979.0,aus,1913
6803.0,aus,1914
6627.0,aus,1915
6602.0,aus,1916
6484.0,aus,1917
6228.0,aus,1918
6382.0,aus,1919
6450.0,aus,1920
6647.0,aus,1921
6853.0,aus,1922
7027.0,aus,1923
7332.0,aus,1924
7516.0,aus,1925
7542.0,aus,1926
7503.0,aus,1927
7379.0,aus,1928
7123.0,aus,1929
6372.0,aus,1930
5892.0,aus,1931
6177.0,aus,1932
6554.0,aus,1933
6848.0,aus,1934
7197.0,aus,1935
7465.0,aus,1936
7776.0,aus,1937
7967.0,aus,1938
7912.0,aus,1939
8345.0,aus,1940
9187.0,aus,1941
10160.0,aus,1942
10430.0,aus,1943
9964.0,aus,1944
9362.0,aus,1945
8926.0,aus,1946
9020.0,aus,1947
9430.0,aus,1948
9795.0,aus,1949
10030.0,aus,1950
10160.0,aus,1951
10040.0,aus,1952
10160.0,aus,1953
10540.0,aus,1954
10860.0,aus,1955
10970.0,aus,1956
10950.0,aus,1957
11240.0,aus,1958
11680.0,aus,1959
11900.0,aus,1960
11710.0,aus,1961
12220.0,aus,1962
12720.0,aus,1963
13330.0,aus,1964
13740.0,aus,1965
13860.0,aus,1966
14530.0,aus,1967
15090.0,aus,1968
15650.0,aus,1969
16270.0,aus,1970
16630.0,aus,1971
16790.0,aus,1972
17430.0,aus,1973
17570.0,aus,1974
17820.0,aus,1975
18350.0,aus,1976
18330.0,aus,1977
18640.0,aus,1978
19380.0,aus,1979
19510.0,aus,1980
19840.0,aus,1981
19480.0,aus,1982
19210.0,aus,1983
20300.0,aus,1984
21040.0,aus,1985
21170.0,aus,1986
21890.0,aus,1987
22510.0,aus,1988
23130.0,aus,1989
23150.0,aus,1990
22890.0,aus,1991
23420.0,aus,1992
24050.0,aus,1993
24780.0,aus,1994
25520.0,aus,1995
26150.0,aus,1996
27000.0,aus,1997
28170.0,aus,1998
28980.0,aus,1999
29240.0,aus,2000
30040.0,aus,2001
30690.0,aus,2002
31630.0,aus,2003
32100.0,aus,2004
32800.0,aus,2005
33120.0,aus,2006
34080.0,aus,2007
34240.0,aus,2008
34330.0,aus,2009
1536.0,aut,1700
1821.0,aut,1800
1884.0,aut,1820
2163.0,aut,1830
2343.0,aut,1840
2553.0,aut,1850
2750.0,aut,1860
2881.0,aut,1870
3062.0,aut,1871
3057.0,aut,1872
2959.0,aut,1873
3064.0,aut,1874
3053.0,aut,1875
3094.0,aut,1876
3172.0,aut,1877
3249.0,aut,1878
3199.0,aut,1879
3216.0,aut,1880
3318.0,aut,1881
3310.0,aut,1882
3417.0,aut,1883
3478.0,aut,1884
3427.0,aut,1885
3508.0,aut,1886
3720.0,aut,1887
3680.0,aut,1888
3616.0,aut,1889
3780.0,aut,1890
3877.0,aut,1891
3922.0,aut,1892
3906.0,aut,1893
4091.0,aut,1894
4158.0,aut,1895
4178.0,aut,1896
4223.0,aut,1897
4417.0,aut,1898
4465.0,aut,1899
4458.0,aut,1900
4430.0,aut,1901
4556.0,aut,1902
4549.0,aut,1903
4573.0,aut,1904
4780.0,aut,1905
4913.0,aut,1906
5164.0,aut,1907
5135.0,aut,1908
5068.0,aut,1909
5090.0,aut,1910
5206.0,aut,1911
5422.0,aut,1912
5361.0,aut,1913
4448.0,aut,1914
4104.0,aut,1915
4065.0,aut,1916
4001.0,aut,1917
3952.0,aut,1918
3495.0,aut,1919
3732.0,aut,1920
4100.0,aut,1921
4451.0,aut,1922
4397.0,aut,1923
4893.0,aut,1924
5208.0,aut,1925
5280.0,aut,1926
5423.0,aut,1927
5658.0,aut,1928
5721.0,aut,1929
5547.0,aut,1930
5086.0,aut,1931
4547.0,aut,1932
4383.0,aut,1933
4411.0,aut,1934
4496.0,aut,1935
4633.0,aut,1936
4882.0,aut,1937
5506.0,aut,1938
6336.0,aut,1939
6125.0,aut,1940
6524.0,aut,1941
6161.0,aut,1942
6288.0,aut,1943
5888.0,aut,1944
2668.0,aut,1945
3027.0,aut,1946
3351.0,aut,1947
4277.0,aut,1948
5094.0,aut,1949
5733.0,aut,1950
6125.0,aut,1951
6137.0,aut,1952
6400.0,aut,1953
7046.0,aut,1954
7817.0,aut,1955
8348.0,aut,1956
8843.0,aut,1957
9137.0,aut,1958
9361.0,aut,1959
10080.0,aut,1960
10560.0,aut,1961
10750.0,aut,1962
11120.0,aut,1963
11710.0,aut,1964
11960.0,aut,1965
12550.0,aut,1966
12830.0,aut,1967
13340.0,aut,1968
14130.0,aut,1969
15080.0,aut,1970
15780.0,aut,1971
16660.0,aut,1972
17380.0,aut,1973
18030.0,aut,1974
18020.0,aut,1975
18870.0,aut,1976
19750.0,aut,1977
19690.0,aut,1978
20800.0,aut,1979
21280.0,aut,1980
21220.0,aut,1981
21600.0,aut,1982
22270.0,aut,1983
22340.0,aut,1984
22820.0,aut,1985
23330.0,aut,1986
23690.0,aut,1987
24370.0,aut,1988
25310.0,aut,1989
26130.0,aut,1990
26740.0,aut,1991
27040.0,aut,1992
26880.0,aut,1993
27460.0,aut,1994
27920.0,aut,1995
28600.0,aut,1996
29100.0,aut,1997
30110.0,aut,1998
31040.0,aut,1999
32010.0,aut,2000
32200.0,aut,2001
32420.0,aut,2002
32740.0,aut,2003
33460.0,aut,2004
34110.0,aut,2005
35160.0,aut,2006
36350.0,aut,2007
37030.0,aut,2008
35640.0,aut,2009
640.0,aze,1800
653.4,aze,1820
1457.0,aze,1913
2854.0,aze,1950
4425.0,aze,1973
4629.0,aze,1990
4529.0,aze,1991
3456.0,aze,1992
2628.0,aze,1993
2089.0,aze,1994
1829.0,aze,1995
1843.0,aze,1996
1943.0,aze,1997
2132.0,aze,1998
2286.0,aze,1999
2533.0,aze,2000
2776.0,aze,2001
3059.0,aze,2002
3388.0,aze,2003
3760.0,aze,2004
4648.0,aze,2005
6183.0,aze,2006
7646.0,aze,2007
8382.0,aze,2008
9088.0,aze,2009
1409.0,bhs,1800
1409.0,bhs,1820
2600.0,bhs,1913
6290.0,bhs,1938
9612.0,bhs,1950
13690.0,bhs,1960
14400.0,bhs,1961
15120.0,bhs,1962
15880.0,bhs,1963
16710.0,bhs,1964
17610.0,bhs,1965
18380.0,bhs,1966
19320.0,bhs,1967
20150.0,bhs,1968
21220.0,bhs,1969
19420.0,bhs,1970
19230.0,bhs,1971
18150.0,bhs,1972
19140.0,bhs,1973
15630.0,bhs,1974
13060.0,bhs,1975
13460.0,bhs,1976
14380.0,bhs,1977
16070.0,bhs,1978
19830.0,bhs,1979
20670.0,bhs,1980
19640.0,bhs,1981
20430.0,bhs,1982
21360.0,bhs,1983
21420.0,bhs,1984
21870.0,bhs,1985
22020.0,bhs,1986
22440.0,bhs,1987
22550.0,bhs,1988
22670.0,bhs,1989
21910.0,bhs,1990
20600.0,bhs,1991
19430.0,bhs,1992
19120.0,bhs,1993
19350.0,bhs,1994
19840.0,bhs,1995
20330.0,bhs,1996
20990.0,bhs,1997
22070.0,bhs,1998
22620.0,bhs,1999
22730.0,bhs,2000
22600.0,bhs,2001
22810.0,bhs,2002
22740.0,bhs,2003
22750.0,bhs,2004
23020.0,bhs,2005
23670.0,bhs,2006
23520.0,bhs,2007
22830.0,bhs,2008
21530.0,bhs,2009
809.0,bhr,1800
812.8,bhr,1820
1395.0,bhr,1913
1575.0,bhr,1934
9158.0,bhr,1950
9508.0,bhr,1951
9867.0,bhr,1952
10230.0,bhr,1953
10600.0,bhr,1954
10960.0,bhr,1955
11310.0,bhr,1956
11640.0,bhr,1957
11920.0,bhr,1958
12170.0,bhr,1959
12370.0,bhr,1960
12540.0,bhr,1961
12750.0,bhr,1962
13030.0,bhr,1963
13370.0,bhr,1964
13810.0,bhr,1965
14290.0,bhr,1966
14800.0,bhr,1967
15320.0,bhr,1968
15860.0,bhr,1969
16480.0,bhr,1970
17330.0,bhr,1971
18270.0,bhr,1972
19040.0,bhr,1973
19900.0,bhr,1974
17070.0,bhr,1975
18770.0,bhr,1976
19340.0,bhr,1977
19210.0,bhr,1978
18370.0,bhr,1979
19100.0,bhr,1980
18770.0,bhr,1981
19210.0,bhr,1982
19770.0,bhr,1983
19830.0,bhr,1984
19040.0,bhr,1985
18780.0,bhr,1986
18520.0,bhr,1987
18570.0,bhr,1988
18430.0,bhr,1989
17860.0,bhr,1990
18150.0,bhr,1991
19040.0,bhr,1992
20070.0,bhr,1993
19500.0,bhr,1994
19760.0,bhr,1995
20100.0,bhr,1996
20290.0,bhr,1997
20830.0,bhr,1998
21320.0,bhr,1999
22020.0,bhr,2000
22630.0,bhr,2001
23400.0,bhr,2002
24690.0,bhr,2003
25660.0,bhr,2004
27240.0,bhr,2005
28480.0,bhr,2006
30170.0,bhr,2007
31390.0,bhr,2008
24230.0,bhr,2009
624.8,bgd,1700
608.8,bgd,1800
605.6,bgd,1820
605.5,bgd,1850
605.7,bgd,1870
625.4,bgd,1884
643.8,bgd,1885
622.3,bgd,1886
649.5,bgd,1887
654.2,bgd,1888
635.3,bgd,1889
663.6,bgd,1890
601.5,bgd,1891
648.7,bgd,1892
664.0,bgd,1893
673.0,bgd,1894
655.3,bgd,1895
605.9,bgd,1896
715.4,bgd,1897
715.7,bgd,1898
658.8,bgd,1899
680.7,bgd,1900
690.5,bgd,1901
743.6,bgd,1902
749.6,bgd,1903
748.5,bgd,1904
730.5,bgd,1905
746.8,bgd,1906
697.3,bgd,1907
703.0,bgd,1908
794.8,bgd,1909
791.4,bgd,1910
784.7,bgd,1911
782.4,bgd,1912
764.0,bgd,1913
805.0,bgd,1914
784.7,bgd,1915
806.8,bgd,1916
791.5,bgd,1917
689.6,bgd,1918
784.2,bgd,1919
721.4,bgd,1920
771.9,bgd,1921
796.4,bgd,1922
762.6,bgd,1923
791.9,bgd,1924
793.3,bgd,1925
809.9,bgd,1926
802.0,bgd,1927
802.0,bgd,1928
826.8,bgd,1929
824.4,bgd,1930
807.9,bgd,1931
805.6,bgd,1932
795.1,bgd,1933
791.4,bgd,1934
773.0,bgd,1935
791.9,bgd,1936
768.1,bgd,1937
759.3,bgd,1938
765.3,bgd,1939
779.7,bgd,1940
784.6,bgd,1941
771.9,bgd,1942
793.2,bgd,1943
775.7,bgd,1944
754.3,bgd,1945
706.4,bgd,1946
673.4,bgd,1950
675.3,bgd,1951
684.2,bgd,1952
682.7,bgd,1953
682.5,bgd,1954
633.5,bgd,1955
687.9,bgd,1956
661.6,bgd,1957
636.0,bgd,1958
656.3,bgd,1959
679.4,bgd,1960
703.5,bgd,1961
686.3,bgd,1962
741.0,bgd,1963
734.1,bgd,1964
758.1,bgd,1965
752.6,bgd,1966
721.2,bgd,1967
772.1,bgd,1968
766.7,bgd,1969
785.1,bgd,1970
731.1,bgd,1971
630.2,bgd,1972
619.9,bgd,1973
682.1,bgd,1974
659.7,bgd,1975
674.2,bgd,1976
659.9,bgd,1977
687.1,bgd,1978
698.5,bgd,1979
683.5,bgd,1980
686.6,bgd,1981
677.0,bgd,1982
693.0,bgd,1983
713.9,bgd,1984
719.6,bgd,1985
735.9,bgd,1986
752.0,bgd,1987
759.0,bgd,1988
763.5,bgd,1989
798.6,bgd,1990
810.2,bgd,1991
837.8,bgd,1992
862.9,bgd,1993
884.1,bgd,1994
912.8,bgd,1995
939.2,bgd,1996
972.8,bgd,1997
1005.0,bgd,1998
1035.0,bgd,1999
1075.0,bgd,2000
1110.0,bgd,2001
1136.0,bgd,2002
1172.0,bgd,2003
1221.0,bgd,2004
1268.0,bgd,2005
1326.0,bgd,2006
1384.0,bgd,2007
1441.0,bgd,2008
1492.0,bgd,2009
1018.0,brb,1800
1018.0,brb,1820
1878.0,brb,1913
3245.0,brb,1950
5320.0,brb,1960
5712.0,brb,1961
6204.0,brb,1962
5863.0,brb,1963
6130.0,brb,1964
6806.0,brb,1965
7058.0,brb,1966
7789.0,brb,1967
8307.0,brb,1968
8904.0,brb,1969
9712.0,brb,1970
9814.0,brb,1971
9854.0,brb,1972
9991.0,brb,1973
11270.0,brb,1974
10980.0,brb,1975
11410.0,brb,1976
11820.0,brb,1977
12380.0,brb,1978
13300.0,brb,1979
13860.0,brb,1980
13500.0,brb,1981
12740.0,brb,1982
12680.0,brb,1983
13000.0,brb,1984
13020.0,brb,1985
13560.0,brb,1986
13780.0,brb,1987
14140.0,brb,1988
14530.0,brb,1989
13950.0,brb,1990
13290.0,brb,1991
12260.0,brb,1992
12300.0,brb,1993
12740.0,brb,1994
13010.0,brb,1995
13360.0,brb,1996
13900.0,brb,1997
14700.0,brb,1998
14710.0,brb,1999
14980.0,brb,2000
14530.0,brb,2001
14540.0,brb,2002
14780.0,brb,2003
15270.0,brb,2004
15840.0,brb,2005
16290.0,brb,2006
16800.0,brb,2007
16780.0,brb,2008
15850.0,brb,2009
717.0,blr,1800
732.1,blr,1820
1632.0,blr,1913
3198.0,blr,1950
4959.0,blr,1973
6808.0,blr,1990
