geo,sex_ratio_all_age_groups,time
blz,97.43,1960
blz,98.4,1965
blz,99.25,1970
blz,100.3,1975
blz,102.4,1980
blz,102.4,1985
blz,102.3,1990
blz,102.0,1995
blz,101.8,2000
blz,101.7,2005
blz,101.6,2010
blz,101.5,2015
blz,101.4,2020
blz,101.2,2025
blz,101.0,2030
blz,100.8,2035
blz,100.6,2040
blz,100.4,2045
blz,100.1,2050
ben,87.23,1950
ben,88.2,1955
ben,89.18,1960
ben,90.31,1965
ben,91.52,1970
ben,92.62,1975
ben,93.78,1980
ben,95.11,1985
ben,96.41,1990
ben,98.88,1995
ben,99.52,2000
ben,101.1,2005
ben,102.0,2010
ben,102.3,2015
ben,102.4,2020
ben,102.5,2025
ben,102.5,2030
ben,102.4,2035
ben,102.3,2040
ben,102.1,2045
ben,101.9,2050
btn,105.2,1950
btn,104.7,1955
btn,104.3,1960
btn,103.8,1965
btn,103.3,1970
btn,106.3,1975
btn,107.5,1980
btn,106.3,1985
btn,105.3,1990
btn,103.5,1995
btn,102.9,2000
btn,110.9,2005
btn,111.4,2010
btn,111.7,2015
btn,110.3,2020
btn,108.9,2025
btn,107.7,2030
btn,106.5,2035
btn,105.2,2040
btn,104.0,2045
btn,102.7,2050
bol,99.46,1950
bol,98.69,1955
bol,98.1,1960
bol,97.66,1965
bol,97.34,1970
bol,97.11,1975
bol,97.29,1980
bol,97.65,1985
bol,98.16,1990
bol,98.68,1995
bol,99.03,2000
bol,99.3,2005
bol,99.5,2010
bol,99.65,2015
bol,99.75,2020
bol,99.81,2025
bol,99.82,2030
bol,99.78,2035
bol,99.69,2040
bol,99.55,2045
bol,99.34,2050
bih,93.31,1950
bih,94.39,1955
bih,95.32,1960
bih,96.6,1965
bih,95.97,1970
bih,96.7,1975
bih,96.93,1980
bih,97.34,1985
bih,97.69,1990
bih,94.15,1995
bih,93.05,2000
bih,92.73,2005
bih,92.74,2010
bih,92.7,2015
bih,92.67,2020
bih,92.69,2025
bih,92.7,2030
bih,92.69,2035
bih,92.77,2040
bih,93.07,2045
bih,93.63,2050
bwa,93.83,1950
bwa,93.99,1955
bwa,91.77,1960
bwa,91.2,1965
bwa,92.3,1970
bwa,93.81,1975
bwa,95.45,1980
bwa,95.89,1985
bwa,96.72,1990
bwa,97.47,1995
bwa,98.11,2000
bwa,99.01,2005
bwa,100.1,2010
bwa,101.3,2015
bwa,102.5,2020
bwa,103.5,2025
bwa,104.2,2030
bwa,104.8,2035
bwa,105.1,2040
bwa,105.1,2045
bwa,104.7,2050
bra,98.45,1950
bra,99.21,1955
bra,99.4,1960
bra,99.59,1965
bra,99.69,1970
bra,99.62,1975
bra,99.56,1980
bra,99.19,1985
bra,98.72,1990
bra,98.2,1995
bra,97.74,2000
bra,97.33,2005
bra,96.95,2010
bra,96.56,2015
bra,96.21,2020
bra,95.85,2025
bra,95.46,2030
bra,95.06,2035
bra,94.66,2040
bra,94.28,2045
bra,93.94,2050
brn,106.0,1950
brn,106.5,1955
brn,106.6,1960
brn,106.6,1965
brn,106.9,1970
brn,106.7,1975
brn,114.0,1980
brn,112.2,1985
brn,112.2,1990
brn,110.2,1995
brn,108.7,2000
brn,107.5,2005
brn,106.5,2010
brn,105.5,2015
brn,104.5,2020
brn,103.5,2025
brn,102.3,2030
brn,101.2,2035
brn,100.1,2040
brn,99.24,2045
brn,98.6,2050
bgr,99.92,1950
bgr,99.44,1955
bgr,99.67,1960
bgr,99.9,1965
bgr,99.96,1970
bgr,99.7,1975
bgr,99.31,1980
bgr,98.76,1985
bgr,97.22,1990
bgr,95.98,1995
bgr,95.08,2000
bgr,94.26,2005
bgr,93.47,2010
bgr,93.04,2015
bgr,92.8,2020
bgr,92.67,2025
bgr,92.59,2030
bgr,92.54,2035
bgr,92.74,2040
bgr,93.07,2045
bgr,93.4,2050
bfa,110.3,1950
bfa,107.4,1955
bfa,105.0,1960
bfa,102.7,1965
bfa,100.9,1970
bfa,99.34,1975
bfa,97.93,1980
bfa,97.05,1985
bfa,97.22,1990
bfa,97.51,1995
bfa,97.92,2000
bfa,99.35,2005
bfa,99.86,2010
bfa,100.2,2015
bfa,100.5,2020
bfa,100.7,2025
bfa,100.7,2030
bfa,100.8,2035
bfa,100.7,2040
bfa,100.7,2045
bfa,100.6,2050
bdi,91.88,1950
bdi,92.06,1955
bdi,92.31,1960
bdi,92.54,1965
bdi,92.73,1970
bdi,91.83,1975
bdi,92.76,1980
bdi,94.09,1985
bdi,95.12,1990
bdi,94.91,1995
bdi,94.23,2000
bdi,95.39,2005
bdi,96.28,2010
bdi,96.72,2015
bdi,96.98,2020
bdi,97.09,2025
bdi,97.1,2030
bdi,97.02,2035
bdi,96.89,2040
bdi,96.71,2045
bdi,96.5,2050
khm,99.99,1950
khm,100.0,1955
khm,100.0,1960
khm,100.1,1965
khm,100.2,1970
khm,100.2,1975
khm,86.22,1980
khm,89.05,1985
khm,90.92,1990
khm,92.72,1995
khm,93.95,2000
khm,94.97,2005
khm,96.03,2010
khm,96.95,2015
khm,97.71,2020
khm,98.3,2025
khm,98.72,2030
khm,99.03,2035
khm,99.26,2040
khm,99.36,2045
khm,99.32,2050
cmr,96.13,1950
cmr,96.41,1955
cmr,96.72,1960
cmr,97.08,1965
cmr,97.47,1970
cmr,97.87,1975
cmr,98.26,1980
cmr,98.55,1985
cmr,98.82,1990
cmr,98.98,1995
cmr,99.22,2000
cmr,99.63,2005
cmr,100.0,2010
cmr,100.3,2015
cmr,100.5,2020
cmr,100.5,2025
cmr,100.6,2030
cmr,100.5,2035
cmr,100.5,2040
cmr,100.3,2045
cmr,100.2,2050
can,103.0,1950
can,102.8,1955
can,102.8,1960
can,101.2,1965
can,101.0,1970
can,100.1,1975
can,99.23,1980
can,98.61,1985
can,98.33,1990
can,98.0,1995
can,98.09,2000
can,98.12,2005
can,98.15,2010
can,98.98,2015
can,99.74,2020
can,100.4,2025
can,101.0,2030
can,101.4,2035
can,101.8,2040
can,102.2,2045
can,102.6,2050
cpv,83.06,1950
cpv,84.73,1955
cpv,86.46,1960
cpv,88.61,1965
cpv,90.82,1970
cpv,87.74,1975
cpv,84.81,1980
cpv,86.62,1985
cpv,88.26,1990
cpv,89.48,1995
cpv,90.36,2000
cpv,91.09,2005
cpv,91.73,2010
cpv,92.37,2015
cpv,92.95,2020
cpv,93.41,2025
cpv,93.72,2030
cpv,93.87,2035
cpv,93.87,2040
cpv,93.76,2045
cpv,93.58,2050
caf,97.22,1950
caf,96.94,1955
caf,96.76,1960
caf,96.67,1965
caf,96.62,1970
caf,96.56,1975
caf,96.56,1980
caf,96.58,1985
caf,96.45,1990
caf,96.35,1995
caf,96.28,2000
caf,96.36,2005
caf,96.64,2010
caf,96.95,2015
caf,97.25,2020
caf,97.51,2025
caf,97.74,2030
caf,97.93,2035
caf,98.08,2040
caf,98.18,2045
caf,98.2,2050
tcd,97.45,1950
tcd,96.99,1955
tcd,96.75,1960
tcd,96.66,1965
tcd,96.68,1970
tcd,96.8,1975
tcd,97.0,1980
tcd,97.31,1985
tcd,97.64,1990
tcd,97.97,1995
tcd,98.27,2000
tcd,98.58,2005
tcd,98.86,2010
tcd,99.09,2015
tcd,99.27,2020
tcd,99.43,2025
tcd,99.57,2030
tcd,99.68,2035
tcd,99.74,2040
tcd,99.76,2045
tcd,99.72,2050
chanisl,92.36,1950
chanisl,92.82,1955
chanisl,93.31,1960
chanisl,93.67,1965
chanisl,94.01,1970
chanisl,93.63,1975
chanisl,92.75,1980
chanisl,93.47,1985
chanisl,93.72,1990
chanisl,93.95,1995
chanisl,95.24,2000
chanisl,95.75,2005
chanisl,95.9,2010
chanisl,95.83,2015
chanisl,95.62,2020
chanisl,95.31,2025
chanisl,95.0,2030
chanisl,94.74,2035
chanisl,94.6,2040
chanisl,94.62,2045
chanisl,94.83,2050
chl,98.14,1950
chl,97.99,1955
chl,97.8,1960
chl,97.62,1965
chl,97.43,1970
chl,97.32,1975
chl,97.33,1980
chl,97.4,1985
chl,97.59,1990
chl,97.8,1995
chl,97.86,2000
chl,97.88,2005
chl,97.84,2010
chl,97.74,2015
chl,97.55,2020
chl,97.29,2025
chl,96.95,2030
chl,96.55,2035
chl,96.14,2040
chl,95.76,2045
chl,95.45,2050
chn,108.1,1950
chn,106.9,1955
chn,104.4,1960
chn,105.1,1965
chn,105.4,1970
chn,105.9,1975
chn,106.3,1980
chn,106.4,1985
chn,106.6,1990
chn,107.0,1995
chn,107.4,2000
chn,107.7,2005
chn,107.9,2010
chn,108.0,2015
chn,107.8,2020
chn,107.6,2025
chn,107.3,2030
chn,107.0,2035
chn,106.7,2040
chn,106.4,2045
chn,106.3,2050
hkg,105.7,1950
hkg,105.6,1955
hkg,105.4,1960
hkg,103.0,1965
hkg,103.5,1970
hkg,104.8,1975
hkg,108.8,1980
hkg,106.6,1985
hkg,105.0,1990
hkg,98.74,1995
hkg,93.48,2000
hkg,91.69,2005
hkg,89.98,2010
hkg,89.37,2015
hkg,88.74,2020
hkg,88.07,2025
hkg,87.32,2030
hkg,86.52,2035
hkg,85.8,2040
hkg,85.31,2045
hkg,85.21,2050
mac,111.4,1950
mac,104.9,1955
mac,98.42,1960
mac,101.9,1965
mac,105.7,1970
mac,104.6,1975
mac,103.7,1980
mac,98.85,1985
mac,94.34,1990
mac,93.38,1995
mac,92.32,2000
mac,91.55,2005
mac,91.1,2010
mac,90.55,2015
mac,89.9,2020
mac,89.09,2025
mac,88.05,2030
mac,86.84,2035
mac,85.66,2040
mac,84.71,2045
mac,84.14,2050
col,99.11,1950
col,99.15,1955
col,99.17,1960
col,99.2,1965
col,99.23,1970
col,99.18,1975
col,99.18,1980
col,98.86,1985
col,98.49,1990
col,97.78,1995
col,97.41,2000
col,97.14,2005
col,96.9,2010
col,96.68,2015
col,96.47,2020
col,96.28,2025
col,96.09,2030
col,95.94,2035
col,95.84,2040
col,95.74,2045
col,95.66,2050
com,98.83,1950
com,99.04,1955
com,99.19,1960
com,99.42,1965
com,99.7,1970
com,99.71,1975
com,99.84,1980
com,100.0,1985
com,100.2,1990
com,100.4,1995
com,100.5,2000
com,100.7,2005
com,100.7,2010
com,100.7,2015
com,100.7,2020
com,100.6,2025
com,100.4,2030
com,100.3,2035
com,100.1,2040
com,99.9,2045
com,99.69,2050
cog,96.56,1950
cog,97.11,1955
cog,97.53,1960
cog,97.88,1965
cog,98.19,1970
cog,98.47,1975
cog,98.78,1980
cog,99.03,1985
cog,99.16,1990
cog,99.17,1995
cog,99.21,2000
cog,99.44,2005
cog,99.71,2010
cog,99.93,2015
cog,100.1,2020
cog,100.1,2025
cog,100.1,2030
cog,100.2,2035
cog,100.2,2040
cog,100.2,2045
cog,100.2,2050
cri,104.2,1950
cri,103.9,1955
cri,103.6,1960
cri,103.4,1965
cri,103.1,1970
cri,102.7,1975
cri,104.0,1980
cri,103.7,1985
cri,103.5,1990
cri,103.5,1995
cri,103.4,2000
cri,103.4,2005
cri,103.1,2010
cri,102.9,2015
cri,102.6,2020
cri,102.3,2025
cri,101.9,2030
cri,101.4,2035
cri,101.0,2040
cri,100.5,2045
cri,100.1,2050
civ,102.8,1950
civ,103.2,1955
civ,103.8,1960
civ,105.3,1965
civ,106.5,1970
civ,107.7,1975
civ,108.5,1980
civ,108.7,1985
civ,108.0,1990
civ,107.4,1995
civ,106.1,2000
civ,104.7,2005
civ,103.6,2010
civ,102.7,2015
civ,102.1,2020
civ,101.6,2025
civ,101.2,2030
civ,100.8,2035
civ,100.5,2040
civ,100.2,2045
civ,99.95,2050
hrv,91.0,1950
hrv,91.13,1955
hrv,91.38,1960
hrv,91.94,1965
hrv,93.51,1970
hrv,93.6,1975
hrv,93.82,1980
hrv,93.78,1985
hrv,93.72,1990
hrv,93.03,1995
hrv,92.95,2000
hrv,92.85,2005
hrv,93.01,2010
hrv,93.29,2015
hrv,93.58,2020
hrv,93.84,2025
hrv,94.01,2030
hrv,94.11,2035
hrv,94.24,2040
hrv,94.46,2045
hrv,94.8,2050
cub,106.8,1950
cub,105.6,1955
cub,104.5,1960
cub,103.7,1965
cub,103.4,1970
cub,102.8,1975
cub,102.4,1980
cub,101.3,1985
cub,101.2,1990
cub,100.9,1995
cub,100.2,2000
cub,100.6,2005
cub,100.5,2010
cub,100.3,2015
cub,100.1,2020
cub,99.75,2025
cub,99.43,2030
cub,99.12,2035
cub,98.82,2040
cub,98.49,2045
cub,98.19,2050
cyp,97.31,1950
cyp,95.98,1955
cyp,96.7,1960
cyp,96.39,1965
cyp,97.71,1970
cyp,98.9,1975
cyp,99.51,1980
cyp,99.04,1985
cyp,99.38,1990
cyp,99.59,1995
cyp,97.0,2000
cyp,94.8,2005
cyp,95.01,2010
cyp,95.27,2015
cyp,95.55,2020
cyp,95.81,2025
cyp,96.01,2030
cyp,96.2,2035
cyp,96.44,2040
cyp,96.78,2045
cyp,97.21,2050
cze,94.53,1950
cze,94.56,1955
cze,94.19,1960
cze,94.11,1965
cze,93.93,1970
cze,93.9,1975
cze,94.04,1980
cze,94.2,1985
cze,94.31,1990
cze,94.56,1995
cze,94.78,2000
cze,95.17,2005
cze,96.59,2010
cze,96.89,2015
cze,97.09,2020
cze,97.21,2025
cze,97.29,2030
cze,97.39,2035
cze,97.59,2040
cze,97.81,2045
cze,97.94,2050
prk,84.26,1950
prk,85.99,1955
prk,88.64,1960
prk,90.81,1965
prk,92.9,1970
prk,94.21,1975
prk,94.81,1980
prk,95.49,1985
prk,96.08,1990
prk,96.34,1995
prk,96.53,2000
prk,97.11,2005
prk,97.64,2010
prk,98.05,2015
prk,98.33,2020
prk,98.42,2025
prk,98.19,2030
prk,97.68,2035
prk,97.1,2040
prk,96.66,2045
prk,96.47,2050
cod,88.12,1950
cod,89.81,1955
cod,91.32,1960
cod,92.64,1965
cod,93.77,1970
cod,94.81,1975
cod,95.72,1980
cod,96.47,1985
cod,97.07,1990
cod,97.48,1995
cod,97.74,2000
cod,98.06,2005
cod,98.28,2010
cod,98.42,2015
cod,98.49,2020
cod,98.5,2025
cod,98.46,2030
cod,98.39,2035
cod,98.3,2040
cod,98.17,2045
cod,98.01,2050
dnk,98.38,1950
dnk,98.53,1955
dnk,98.4,1960
dnk,98.33,1965
dnk,98.53,1970
dnk,98.09,1975
dnk,97.47,1980
dnk,97.07,1985
dnk,97.14,1990
dnk,97.42,1995
dnk,97.72,2000
dnk,97.9,2005
dnk,98.38,2010
dnk,98.66,2015
dnk,98.76,2020
dnk,98.75,2025
dnk,98.71,2030
dnk,98.72,2035
dnk,98.83,2040
dnk,99.07,2045
dnk,99.38,2050
dji,98.57,1950
dji,98.28,1955
dji,98.2,1960
dji,98.28,1965
dji,98.44,1970
dji,98.65,1975
dji,98.92,1980
dji,99.2,1985
dji,99.43,1990
dji,99.6,1995
dji,99.69,2000
dji,99.8,2005
dji,99.93,2010
dji,100.1,2015
dji,100.2,2020
dji,100.3,2025
dji,100.3,2030
dji,100.3,2035
dji,100.3,2040
dji,100.2,2045
dji,99.99,2050
dom,103.7,1950
dom,103.9,1955
dom,103.7,1960
dom,103.3,1965
dom,103.0,1970
dom,102.8,1975
dom,102.6,1980
dom,102.4,1985
dom,102.1,1990
dom,101.7,1995
dom,101.4,2000
dom,101.2,2005
dom,100.9,2010
dom,100.5,2015
dom,100.1,2020
dom,99.71,2025
dom,99.29,2030
dom,98.87,2035
dom,98.45,2040
dom,98.03,2045
dom,97.64,2050
ecu,98.82,1950
ecu,99.43,1955
ecu,99.97,1960
ecu,100.4,1965
ecu,100.8,1970
ecu,101.0,1975
ecu,101.1,1980
ecu,101.2,1985
ecu,101.1,1990
ecu,101.0,1995
ecu,100.8,2000
ecu,100.6,2005
ecu,100.3,2010
ecu,100.0,2015
ecu,99.73,2020
ecu,99.42,2025
ecu,99.08,2030
ecu,98.74,2035
ecu,98.39,2040
ecu,98.05,2045
ecu,97.73,2050
egy,98.88,1950
egy,99.44,1955
egy,99.92,1960
egy,100.3,1965
egy,100.4,1970
egy,100.5,1975
egy,100.4,1980
egy,100.9,1985
egy,101.3,1990
egy,101.4,1995
egy,101.4,2000
egy,101.3,2005
egy,101.1,2010
egy,100.8,2015
egy,100.5,2020
egy,100.2,2025
egy,99.76,2030
egy,99.39,2035
egy,99.03,2040
egy,98.69,2045
egy,98.39,2050
slv,97.4,1950
slv,97.47,1955
slv,97.6,1960
slv,98.35,1965
slv,98.99,1970
slv,97.87,1975
slv,96.73,1980
slv,95.32,1985
slv,94.73,1990
slv,93.82,1995
slv,92.39,2000
slv,90.53,2005
slv,89.09,2010
slv,88.07,2015
slv,87.44,2020
slv,87.19,2025
slv,87.36,2030
slv,87.49,2035
slv,87.64,2040
slv,87.85,2045
slv,88.14,2050
gnq,96.7,1950
gnq,96.26,1955
gnq,96.01,1960
gnq,95.92,1965
gnq,95.97,1970
gnq,95.03,1975
gnq,94.82,1980
gnq,96.42,1985
gnq,97.02,1990
gnq,97.5,1995
gnq,97.85,2000
gnq,98.15,2005
gnq,98.45,2010
gnq,98.66,2015
gnq,98.8,2020
gnq,98.9,2025
gnq,99.0,2030
gnq,99.09,2035
gnq,99.19,2040
gnq,99.28,2045
gnq,99.36,2050
eri,98.0,1950
eri,98.32,1955
eri,98.44,1960
eri,98.49,1965
eri,98.82,1970
eri,98.87,1975
eri,97.04,1980
eri,96.38,1985
eri,96.26,1990
eri,95.21,1995
eri,95.81,2000
eri,96.25,2005
eri,96.92,2010
eri,97.49,2015
eri,97.98,2020
eri,98.36,2025
eri,98.62,2030
eri,98.78,2035
eri,98.85,2040
eri,98.8,2045
eri,98.67,2050
est,74.35,1950
est,76.95,1955
est,78.17,1960
est,80.03,1965
est,84.27,1970
est,85.66,1975
est,86.06,1980
est,87.0,1985
est,87.97,1990
est,86.37,1995
est,85.68,2000
est,85.49,2005
est,85.62,2010
est,86.08,2015
est,86.77,2020
est,87.5,2025
est,88.19,2030
est,88.8,2035
est,89.47,2040
est,90.33,2045
est,91.28,2050
eth,98.16,1950
eth,98.2,1955
eth,98.25,1960
eth,98.28,1965
eth,98.32,1970
eth,98.39,1975
eth,98.44,1980
eth,98.45,1985
eth,98.51,1990
eth,98.62,1995
eth,98.72,2000
eth,98.86,2005
eth,99.03,2010
eth,99.17,2015
eth,99.27,2020
eth,99.34,2025
eth,99.37,2030
eth,99.36,2035
eth,99.31,2040
eth,99.22,2045
eth,99.09,2050
fji,109.4,1950
fji,103.6,1955
fji,106.3,1960
fji,104.2,1965
fji,103.5,1970
fji,102.3,1975
fji,102.5,1980
fji,102.7,1985
fji,103.2,1990
fji,103.3,1995
fji,103.2,2000
fji,103.0,2005
fji,103.0,2010
fji,103.0,2015
fji,103.0,2020
fji,102.9,2025
fji,102.8,2030
fji,102.8,2035
fji,102.8,2040
fji,102.8,2045
fji,102.8,2050
fin,91.54,1950
fin,92.06,1955
fin,92.94,1960
fin,93.31,1965
fin,93.45,1970
fin,93.61,1975
fin,93.6,1980
fin,93.86,1985
fin,94.25,1990
fin,94.87,1995
fin,95.37,2000
fin,95.88,2005
fin,96.18,2010
fin,96.45,2015
fin,96.6,2020
fin,96.56,2025
fin,96.38,2030
fin,96.19,2035
fin,96.15,2040
fin,96.3,2045
fin,96.59,2050
fra,92.57,1950
fra,93.35,1955
fra,94.16,1960
fra,94.81,1965
fra,95.36,1970
fra,95.84,1975
fra,95.31,1980
fra,94.94,1985
fra,94.67,1990
fra,94.39,1995
fra,94.32,2000
fra,94.51,2005
fra,94.67,2010
fra,94.96,2015
fra,95.28,2020
fra,95.61,2025
fra,95.85,2030
fra,95.99,2035
fra,96.1,2040
fra,96.29,2045
fra,96.62,2050
guf,107.8,1950
guf,105.4,1955
guf,103.3,1960
guf,111.6,1965
guf,110.5,1970
guf,100.4,1975
guf,108.1,1980
guf,110.1,1985
guf,108.7,1990
guf,107.5,1995
guf,106.6,2000
guf,99.85,2005
guf,99.59,2010
guf,99.37,2015
guf,99.15,2020
guf,98.9,2025
guf,98.66,2030
guf,98.46,2035
guf,98.32,2040
guf,98.28,2045
guf,98.34,2050
pyf,105.2,1950
pyf,105.3,1955
pyf,105.3,1960
pyf,105.4,1965
pyf,105.5,1970
pyf,109.1,1975
pyf,109.8,1980
pyf,108.8,1985
pyf,108.5,1990
pyf,108.1,1995
pyf,106.6,2000
pyf,105.1,2005
pyf,104.4,2010
pyf,103.7,2015
pyf,103.1,2020
pyf,102.5,2025
pyf,101.9,2030
pyf,101.3,2035
pyf,100.7,2040
pyf,100.3,2045
pyf,99.91,2050
gab,95.04,1950
gab,95.06,1955
gab,95.14,1960
gab,95.28,1965
gab,95.59,1970
gab,96.19,1975
gab,96.8,1980
gab,97.45,1985
gab,98.04,1990
gab,98.42,1995
gab,98.56,2000
gab,99.32,2005
gab,99.9,2010
gab,100.3,2015
gab,100.7,2020
gab,101.1,2025
gab,101.4,2030
gab,101.6,2035
gab,101.9,2040
gab,102.1,2045
