geo,literacy_rate_adult_total_percent_of_people_ages_15_and_above,time
rou,97.3,2002
rou,97.7,2011
rus,97.99,1989
rus,99.44,2002
rus,99.68,2010
rwa,38.24,1978
rwa,57.85,1991
rwa,64.89,2000
rwa,65.85,2010
wsm,97.94,1991
wsm,98.55,2004
wsm,98.83,2011
stp,57.32,1981
stp,73.24,1991
stp,84.91,2001
stp,69.54,2008
sau,70.82,1992
sau,79.35,2000
sau,82.86,2004
sau,87.16,2011
sen,26.87,1988
sen,39.28,2002
sen,41.89,2006
sen,49.7,2009
srb,98.01,2011
syc,84.23,1987
syc,87.81,1994
syc,91.84,2002
syc,91.84,2011
sle,34.83,2004
sle,43.28,2011
sgp,82.91,1980
sgp,89.1,1990
sgp,92.55,2000
sgp,95.86,2010
svn,99.52,1991
svn,99.65,2004
svn,99.69,2011
zaf,76.2,1980
zaf,82.4,1996
zaf,88.72,2007
zaf,92.98,2011
esp,92.81,1981
esp,96.49,1991
esp,97.75,2005
esp,97.94,2007
esp,97.63,2008
esp,97.68,2009
esp,97.75,2010
lka,86.78,1981
lka,90.68,2001
lka,90.81,2006
lka,90.56,2008
lka,91.18,2010
sdn,61.35,2000
sdn,71.94,2011
sur,89.6,2004
sur,94.62,2008
sur,94.68,2010
swz,55.33,1976
swz,67.24,1986
swz,81.66,2000
swz,87.84,2011
syr,55.65,1981
syr,82.89,2002
syr,80.84,2004
syr,84.06,2011
tjk,97.69,1989
tjk,99.45,2000
tjk,99.71,2011
tza,59.11,1988
tza,69.43,2002
tza,67.8,2010
tha,87.98,1980
tha,92.65,2000
tha,93.51,2005
tls,37.6,2001
tls,50.6,2007
tls,58.31,2010
tgo,53.18,2000
tgo,56.89,2006
tgo,57.09,2009
tgo,60.41,2011
ton,99.59,1976
ton,98.91,1996
ton,99.02,2006
tto,94.97,1980
tto,96.94,1990
tto,98.39,2004
tto,98.83,2011
tun,48.19,1984
tun,59.23,1994
tun,74.3,2004
tun,77.19,2007
tun,77.56,2008
tun,79.13,2010
tur,61.63,1975
tur,65.69,1980
tur,75.97,1985
tur,79.23,1990
tur,87.37,2004
tur,88.23,2005
tur,88.12,2006
tur,88.66,2007
tur,90.82,2009
tur,92.66,2010
tur,94.11,2011
tkm,98.78,1995
tkm,99.61,2011
uga,56.11,1991
uga,68.14,2002
uga,71.37,2006
uga,73.21,2010
ukr,99.43,2001
ukr,99.72,2011
are,53.51,1975
are,71.24,1985
are,90.03,2005
ury,93.86,1975
ury,95.38,1985
ury,96.78,1996
ury,97.79,2006
ury,97.86,2007
ury,98.16,2008
ury,98.27,2009
ury,98.07,2010
uzb,98.64,2000
uzb,99.43,2011
vut,52.87,1979
vut,68.45,1994
vut,74.0,1999
vut,78.12,2004
vut,83.22,2011
ven,84.73,1981
ven,89.83,1990
ven,92.98,2001
ven,95.15,2007
ven,95.51,2009
pse,86.06,1997
pse,92.28,2004
pse,93.45,2006
pse,93.88,2007
pse,94.06,2008
pse,94.6,2009
pse,94.93,2010
pse,95.27,2011
vnm,83.83,1979
vnm,87.6,1989
vnm,90.28,1999
vnm,90.16,2000
vnm,93.36,2011
yem,37.09,1994
yem,54.75,2004
yem,65.26,2011
zmb,65.0,1990
zmb,68.0,1999
zmb,69.15,2002
zmb,61.43,2007
zwe,77.79,1982
zwe,83.51,1992
zwe,83.58,2011
