geo,time,cars_trucks_and_buses_per_1000_persons
kaz,2004,100.0
kaz,2005,116.0
kaz,2006,139.0
kaz,2007,169.6
ken,2002,17.0
ken,2003,17.0
ken,2004,18.0
ken,2007,21.14
kir,2007,144.2
kwt,2003,397.0
kwt,2004,422.0
kwt,2007,502.3
kgz,2007,59.12
lao,2002,57.0
lao,2007,20.79
lva,2002,339.0
lva,2003,329.0
lva,2004,348.0
lva,2005,377.0
lva,2006,414.7
lva,2007,459.2
lbr,2007,2.866
lby,2005,257.0
lby,2007,290.8
ltu,2002,375.0
ltu,2003,401.0
ltu,2004,421.0
ltu,2005,467.0
ltu,2006,512.8
ltu,2007,479.0
lux,2002,712.0
lux,2003,718.0
lux,2004,729.0
lux,2007,511.6
mac,2002,130.0
mac,2003,138.0
mac,2004,147.0
mac,2007,181.4
mkd,2002,163.0
mkd,2007,136.3
mwi,2007,8.592
mys,2002,258.0
mys,2003,272.0
mdv,2003,11.0
mdv,2004,12.0
mdv,2007,19.66
mli,2007,9.22
mlt,2002,617.0
mlt,2003,633.0
mlt,2004,636.0
mlt,2007,557.6
mus,2002,116.0
mus,2003,122.0
mus,2004,130.0
mus,2006,137.8
mus,2007,150.2
mex,2002,194.0
mex,2003,203.0
mex,2004,200.0
mex,2005,208.0
mex,2006,222.3
mex,2007,244.0
fsm,2007,36.48
mda,2002,81.0
mda,2003,78.0
mda,2004,87.0
mda,2005,94.0
mda,2007,119.6
mco,2007,871.5
mng,2002,42.0
mng,2003,43.0
mng,2007,61.48
mar,2003,59.0
mar,2007,71.05
moz,2007,9.925
mmr,2003,5.0
mmr,2005,5.0
mmr,2006,5.793
mmr,2007,7.07
nam,2002,85.0
nam,2007,108.8
npl,2007,5.271
nld,2002,486.0
nld,2007,502.8
ant,2002,472.0
ant,2003,400.0
ant,2004,445.0
ant,2007,1214.0
nzl,2002,738.0
nzl,2003,681.0
nzl,2004,701.0
nzl,2005,720.0
nzl,2006,721.7
nzl,2007,729.3
nic,2002,39.0
nic,2003,42.0
nic,2004,46.0
nic,2007,47.8
ner,2002,5.0
ner,2003,5.0
ner,2004,5.0
ner,2005,5.0
nga,2007,30.81
nor,2002,521.0
nor,2003,525.0
nor,2004,535.0
nor,2005,546.0
nor,2007,571.9
omn,2007,225.3
pak,2002,8.0
pak,2004,14.0
pak,2007,11.06
pan,2002,103.0
pan,2007,187.8
png,2007,8.866
pry,2007,81.96
per,2002,47.0
per,2003,47.0
per,2004,47.0
per,2007,51.7
phl,2002,35.0
phl,2005,34.0
phl,2007,32.0
pol,2002,347.0
pol,2003,357.0
pol,2004,386.0
pol,2005,386.0
pol,2006,416.3
pol,2007,451.1
prt,2003,507.0
pri,2007,641.9
qat,2002,508.0
qat,2007,724.4
rou,2003,177.0
rou,2004,185.0
rou,2005,180.5
rus,2006,228.4
rus,2007,245.2
rwa,2007,3.885
wsm,2005,59.02
stp,2007,2.158
sen,2007,20.35
srb,2006,243.6
srb,2007,223.3
syc,2002,114.0
syc,2003,121.0
syc,2007,173.2
sle,2002,4.0
sle,2007,5.207
sgp,2002,133.0
sgp,2003,133.0
sgp,2004,134.0
sgp,2005,137.0
sgp,2006,140.7
sgp,2007,148.7
svk,2002,280.0
svk,2003,288.0
svk,2004,256.0
svk,2006,287.1
svk,2007,281.5
svn,2002,483.7
svn,2003,492.2
svn,2004,505.0
svn,2005,518.3
svn,2006,530.7
svn,2007,547.0
zaf,2002,144.0
zaf,2004,136.0
zaf,2005,143.0
zaf,2006,151.1
zaf,2007,158.9
kor,2002,293.0
kor,2003,303.0
kor,2004,311.0
kor,2005,319.0
kor,2006,328.4
kor,2007,338.3
esp,2002,559.0
esp,2003,550.0
esp,2007,600.8
lka,2002,42.0
lka,2005,51.24
lka,2006,54.67
lka,2007,57.94
vct,2002,126.0
vct,2003,138.0
vct,2007,204.1
sdn,2007,28.01
sur,2003,227.0
sur,2004,238.0
swz,2002,82.0
swz,2003,84.0
swz,2007,88.99
swe,2002,501.0
swe,2004,508.0
swe,2005,513.0
swe,2006,516.0
swe,2007,522.6
che,2002,550.0
che,2003,554.0
che,2004,559.0
che,2005,563.0
che,2006,564.3
che,2007,569.3
syr,2002,34.71
syr,2003,36.22
syr,2004,37.63
syr,2005,42.46
syr,2006,47.89
syr,2007,51.55
tjk,2007,38.17
tza,2007,11.72
tgo,2007,1.979
tto,2007,351.3
tun,2002,89.0
tun,2004,95.0
tun,2007,103.4
tur,2002,90.0
tur,2003,91.0
tur,2004,108.0
tur,2005,117.0
tur,2006,124.0
tur,2007,130.7
tkm,2007,106.3
uga,2007,6.504
ukr,2002,135.0
ukr,2003,139.0
ukr,2004,125.0
ukr,2005,128.0
ukr,2007,140.4
are,2007,313.1
gbr,2002,505.0
gbr,2003,496.0
gbr,2004,510.0
gbr,2005,517.0
gbr,2007,526.6
usa,2003,796.0
usa,2004,808.0
usa,2005,675.0
usa,2007,819.8
ury,2005,176.0
ven,2007,147.1
pse,2003,30.0
pse,2004,35.0
pse,2005,36.0
pse,2007,16.07
vnm,2002,8.0
vnm,2007,13.46
yem,2007,34.75
zmb,2007,17.71
zwe,2007,105.7
