primary_school_completion_percent_of_girls,geo,time
24.85,btn,1994
41.76,btn,1998
46.27,btn,1999
47.75,btn,2000
48.38,btn,2001
64.47,btn,2005
72.78,btn,2006
85.86,btn,2008
90.76,btn,2009
100.8,btn,2010
98.09,btn,2011
64.37,bol,1990
93.6,bol,1999
95.63,bol,2000
95.4,bol,2001
98.5,bol,2002
98.36,bol,2003
98.6,bol,2004
100.6,bol,2006
98.23,bol,2007
98.82,bol,2008
94.2,bol,2009
95.22,bol,2010
70.68,bih,2010
76.2,bih,2011
38.17,bwa,1970
44.48,bwa,1971
51.52,bwa,1972
76.95,bwa,1979
90.83,bwa,1981
93.76,bwa,1982
84.7,bwa,1983
84.49,bwa,1984
91.17,bwa,1985
100.4,bwa,1986
102.1,bwa,1987
97.55,bwa,1988
96.29,bwa,1989
97.42,bwa,1990
97.33,bwa,1991
97.13,bwa,1992
95.67,bwa,1993
100.9,bwa,1994
95.57,bwa,1995
96.51,bwa,1996
94.32,bwa,1998
92.28,bwa,1999
91.51,bwa,2000
94.45,bwa,2001
95.16,bwa,2002
95.58,bwa,2003
95.69,bwa,2004
97.48,bwa,2005
100.6,bwa,2006
96.12,bwa,2007
97.15,bwa,2008
97.85,bwa,2009
82.52,bra,1971
64.35,bra,1972
66.93,bra,1973
69.76,bra,1974
112.1,brn,1972
109.3,brn,1973
115.9,brn,1974
98.17,brn,1975
114.7,brn,1976
112.3,brn,1977
120.7,brn,1978
114.7,brn,1979
99.05,brn,1980
100.4,brn,1981
81.86,brn,1982
88.27,brn,1983
54.27,brn,1984
128.9,brn,1986
114.3,brn,1997
117.5,brn,1998
117.9,brn,1999
116.5,brn,2000
119.3,brn,2001
117.4,brn,2002
120.7,brn,2003
117.2,brn,2004
118.8,brn,2005
118.1,brn,2006
119.3,brn,2007
118.8,brn,2008
116.0,brn,2009
117.6,brn,2010
119.5,brn,2011
101.7,bgr,1986
103.2,bgr,1987
103.8,bgr,1988
103.0,bgr,1989
99.8,bgr,1990
91.65,bgr,1991
87.64,bgr,1992
86.28,bgr,1993
88.73,bgr,1994
88.16,bgr,1995
90.77,bgr,1996
94.65,bgr,1997
93.88,bgr,1998
95.63,bgr,1999
96.73,bgr,2000
101.9,bgr,2001
96.99,bgr,2002
97.81,bgr,2003
99.21,bgr,2004
99.31,bgr,2005
98.1,bgr,2006
97.85,bgr,2007
89.67,bgr,2008
95.68,bgr,2009
106.4,bgr,2010
4.597,bfa,1971
4.439,bfa,1972
4.73,bfa,1973
4.8,bfa,1974
5.283,bfa,1975
5.162,bfa,1976
5.99,bfa,1977
5.962,bfa,1978
6.414,bfa,1979
6.263,bfa,1980
6.773,bfa,1981
6.965,bfa,1982
7.576,bfa,1983
8.736,bfa,1984
9.305,bfa,1985
10.65,bfa,1987
11.41,bfa,1988
11.18,bfa,1989
13.07,bfa,1990
13.91,bfa,1991
20.04,bfa,1992
18.07,bfa,1993
19.1,bfa,1994
14.3,bfa,1995
16.93,bfa,1996
18.0,bfa,1999
19.53,bfa,2000
20.21,bfa,2001
21.4,bfa,2002
23.29,bfa,2003
24.62,bfa,2004
25.87,bfa,2005
27.24,bfa,2006
29.07,bfa,2007
32.64,bfa,2008
38.58,bfa,2009
42.28,bfa,2010
2.898,bdi,1971
6.517,bdi,1973
7.247,bdi,1974
7.913,bdi,1975
7.703,bdi,1976
7.688,bdi,1977
7.896,bdi,1978
8.152,bdi,1979
8.234,bdi,1980
8.268,bdi,1981
9.952,bdi,1982
13.49,bdi,1983
18.38,bdi,1984
18.71,bdi,1985
20.03,bdi,1986
19.72,bdi,1987
28.58,bdi,1988
26.12,bdi,1989
33.43,bdi,1990
42.56,bdi,1991
43.03,bdi,1992
46.71,bdi,1993
22.22,bdi,1999
23.93,bdi,2000
24.0,bdi,2001
24.15,bdi,2002
27.26,bdi,2003
27.88,bdi,2004
32.14,bdi,2005
38.42,bdi,2007
41.87,bdi,2008
50.66,bdi,2009
54.89,bdi,2010
62.19,bdi,2011
30.37,khm,1995
11.79,khm,1997
25.71,khm,1998
35.35,khm,1999
45.96,khm,2001
54.26,khm,2002
61.03,khm,2003
72.73,khm,2004
84.71,khm,2005
89.39,khm,2006
90.71,khm,2007
86.02,khm,2008
84.04,khm,2009
86.92,khm,2010
89.7,khm,2011
36.77,cmr,1973
36.81,cmr,1974
38.81,cmr,1975
40.59,cmr,1976
42.1,cmr,1977
51.44,cmr,1978
43.78,cmr,1979
43.16,cmr,1980
43.55,cmr,1981
43.13,cmr,1982
43.7,cmr,1983
45.28,cmr,1984
46.77,cmr,1985
47.18,cmr,1986
48.83,cmr,1987
47.77,cmr,1988
52.4,cmr,1990
49.45,cmr,1991
45.29,cmr,1999
47.44,cmr,2000
50.91,cmr,2002
53.57,cmr,2003
54.75,cmr,2004
48.58,cmr,2005
48.57,cmr,2006
51.75,cmr,2007
68.44,cmr,2008
69.15,cmr,2009
72.39,cmr,2010
72.15,cmr,2011
94.94,can,1998
96.47,can,1999
97.74,can,2000
95.51,can,2006
12.12,cpv,1974
13.81,cpv,1975
15.65,cpv,1977
13.74,cpv,1978
15.12,cpv,1979
15.12,cpv,1980
25.36,cpv,1981
24.19,cpv,1982
19.77,cpv,1983
30.09,cpv,1984
30.55,cpv,1985
35.57,cpv,1986
39.53,cpv,1987
44.83,cpv,1988
56.21,cpv,1990
71.83,cpv,1994
103.1,cpv,1998
110.8,cpv,1999
108.5,cpv,2000
101.6,cpv,2001
102.9,cpv,2002
105.6,cpv,2003
101.9,cpv,2004
89.55,cpv,2005
102.3,cpv,2006
95.45,cpv,2007
101.5,cpv,2008
94.85,cpv,2009
97.66,cpv,2010
96.05,cpv,2011
114.4,cym,1999
10.96,caf,1971
12.86,caf,1972
15.33,caf,1973
14.34,caf,1974
16.95,caf,1975
18.49,caf,1976
19.26,caf,1978
18.3,caf,1981
17.82,caf,1982
15.57,caf,1983
26.63,caf,1986
19.42,caf,1987
20.44,caf,1988
19.03,caf,1989
18.79,caf,1990
19.42,caf,1991
15.29,caf,1992
17.73,caf,2004
19.84,caf,2005
20.63,caf,2006
24.61,caf,2007
26.76,caf,2008
29.46,caf,2009
30.1,caf,2010
32.84,caf,2011
4.926,tcd,1976
4.583,tcd,1977
3.875,tcd,1988
4.743,tcd,1989
6.28,tcd,1990
7.031,tcd,1991
8.321,tcd,1994
6.566,tcd,1995
7.189,tcd,1996
7.772,tcd,1997
11.5,tcd,1999
13.07,tcd,2000
14.98,tcd,2001
17.31,tcd,2002
21.47,tcd,2003
24.15,tcd,2004
21.87,tcd,2005
22.11,tcd,2006
25.16,tcd,2009
25.83,tcd,2010
29.24,tcd,2011
78.2,chl,1970
84.77,chl,1971
88.27,chl,1972
89.13,chl,1973
87.02,chl,1974
88.06,chl,1975
91.79,chl,1976
89.9,chl,1977
97.9,chl,1983
91.04,chl,1998
96.34,chl,1999
97.52,chl,2000
99.34,chl,2002
96.43,chl,2003
94.13,chl,2004
89.15,chl,2007
98.57,chl,2010
90.81,chn,1996
92.59,chn,1997
37.39,col,1970
55.87,col,1971
57.03,col,1972
60.6,col,1973
61.56,col,1974
74.37,col,1982
77.68,col,1983
77.39,col,1984
71.69,col,1985
69.76,col,1986
73.65,col,1987
72.92,col,1988
72.68,col,1989
85.52,col,1990
76.57,col,1991
88.69,col,1992
86.99,col,1993
85.33,col,1994
89.24,col,1995
90.17,col,1996
96.06,col,1998
97.74,col,1999
97.68,col,2000
94.84,col,2001
95.27,col,2002
102.5,col,2004
106.0,col,2005
111.8,col,2006
113.5,col,2007
112.5,col,2008
117.0,col,2009
115.2,col,2010
111.5,col,2011
49.57,com,1986
43.28,com,1987
36.52,com,1992
47.25,com,1999
59.3,com,2002
58.64,com,2003
66.0,com,2004
66.5,com,2005
64.22,com,2007
65.46,com,2008
20.61,cod,1971
22.57,cod,1972
33.83,cod,1976
37.39,cod,1977
40.84,cod,1978
42.34,cod,1980
45.44,cod,1981
47.02,cod,1982
50.37,cod,1983
53.84,cod,1984
34.9,cod,1988
36.8,cod,1991
34.03,cod,1992
42.36,cod,1993
34.67,cod,1994
29.35,cod,1999
31.06,cod,2002
40.73,cod,2007
45.3,cod,2008
47.41,cod,2009
50.4,cod,2010
49.71,cog,1972
58.6,cog,1973
47.49,cog,1974
57.49,cog,1975
61.85,cog,1976
64.69,cog,1977
66.37,cog,1978
72.96,cog,1979
75.1,cog,1980
75.92,cog,1981
74.78,cog,1982
71.76,cog,1983
73.2,cog,1984
72.12,cog,1985
74.38,cog,1986
75.9,cog,1987
75.27,cog,1988
69.08,cog,1989
59.97,cog,1990
51.02,cog,1991
63.29,cog,1992
63.25,cog,1993
53.29,cog,1994
50.02,cog,1996
57.28,cog,2001
59.46,cog,2002
55.09,cog,2003
78.27,cog,2004
69.03,cog,2005
74.07,cog,2006
73.76,cog,2007
69.13,cog,2008
68.09,cog,2009
68.81,cog,2010
77.07,cri,1970
77.22,cri,1971
86.34,cri,1972
88.83,cri,1973
86.98,cri,1974
87.52,cri,1975
83.54,cri,1976
92.11,cri,1977
89.76,cri,1978
86.47,cri,1979
86.79,cri,1980
90.07,cri,1981
90.34,cri,1982
79.26,cri,1985
79.08,cri,1986
76.29,cri,1987
77.14,cri,1988
76.85,cri,1989
81.37,cri,1991
83.35,cri,1992
84.84,cri,1993
83.8,cri,1994
82.26,cri,1995
84.31,cri,1996
83.83,cri,1999
88.81,cri,2000
92.48,cri,2001
94.15,cri,2002
95.95,cri,2004
95.11,cri,2005
92.11,cri,2006
93.91,cri,2007
95.95,cri,2008
97.22,cri,2009
97.35,cri,2010
100.9,cri,2011
22.15,civ,1973
22.71,civ,1974
29.69,civ,1976
32.45,civ,1977
33.9,civ,1978
35.07,civ,1979
37.62,civ,1980
41.18,civ,1981
38.9,civ,1983
37.6,civ,1984
34.1,civ,1985
33.28,civ,1986
33.84,civ,1987
33.29,civ,1988
32.43,civ,1989
30.35,civ,1990
31.8,civ,1991
29.75,civ,1992
30.79,civ,1993
31.58,civ,1994
30.46,civ,1995
31.6,civ,1996
32.04,civ,1997
33.01,civ,2000
38.84,civ,2001
34.67,civ,2006
38.87,civ,2007
41.44,civ,2009
52.22,civ,2011
80.57,hrv,1995
84.91,hrv,1996
86.14,hrv,1997
92.02,hrv,1998
91.02,hrv,1999
91.66,hrv,2000
94.49,hrv,2001
93.87,hrv,2002
91.09,hrv,2003
95.87,hrv,2005
95.63,hrv,2006
100.8,hrv,2007
98.91,hrv,2008
95.34,hrv,2009
93.15,hrv,2010
70.58,cub,1971
62.99,cub,1972
95.62,cub,1999
96.37,cub,2000
96.09,cub,2001
100.7,cub,2002
95.64,cub,2003
91.67,cub,2004
91.22,cub,2005
90.14,cub,2006
91.75,cub,2007
88.69,cub,2008
97.48,cub,2009
98.92,cub,2010
99.04,cub,2011
100.6,cyp,1993
104.5,cyp,1994
99.81,cyp,1995
96.13,cyp,1996
99.21,cyp,1997
99.83,cyp,1999
97.27,cyp,2000
98.58,cyp,2001
100.9,cyp,2002
103.2,cyp,2003
87.0,cyp,2004
99.85,cyp,2005
101.4,cyp,2006
99.96,cyp,2007
99.68,cyp,2008
103.3,cyp,2009
104.7,cyp,2010
96.0,cze,1993
102.2,cze,1994
106.4,cze,1996
99.25,cze,1999
99.49,cze,2000
98.86,cze,2001
103.2,cze,2002
96.75,cze,2003
98.05,cze,2004
96.5,cze,2005
91.21,cze,2006
92.45,cze,2007
95.32,cze,2008
100.7,cze,2009
104.6,cze,2010
96.78,dnk,1971
93.81,dnk,1972
95.58,dnk,1973
94.38,dnk,1974
93.05,dnk,1981
91.03,dnk,1982
92.37,dnk,1983
97.2,dnk,1984
100.4,dnk,1985
96.84,dnk,1986
98.4,dnk,1987
102.8,dnk,1988
96.86,dnk,1989
95.34,dnk,1990
97.61,dnk,1991
96.95,dnk,1992
99.37,dnk,1993
97.26,dnk,1994
101.7,dnk,1998
101.1,dnk,1999
99.51,dnk,2000
101.1,dnk,2001
105.6,dnk,2002
100.7,dnk,2004
100.3,dnk,2005
102.2,dnk,2006
101.7,dnk,2007
97.62,dnk,2009
98.71,dnk,2010
10.93,dji,1972
11.92,dji,1973
11.71,dji,1974
13.57,dji,1975
11.7,dji,1976
19.69,dji,1999
22.56,dji,2000
21.72,dji,2001
27.73,dji,2003
27.05,dji,2004
26.63,dji,2005
31.42,dji,2006
37.31,dji,2008
34.04,dji,2009
44.87,dji,2011
112.4,dma,1988
137.8,dma,1999
124.3,dma,2000
120.3,dma,2001
106.7,dma,2002
98.99,dma,2003
104.1,dma,2004
106.6,dma,2005
95.02,dma,2006
97.49,dma,2007
93.11,dma,2008
85.56,dma,2009
82.59,dma,2010
101.4,dma,2011
36.49,dom,1971
76.52,dom,1999
81.78,dom,2000
94.58,dom,2002
88.61,dom,2004
87.28,dom,2006
93.68,dom,2007
93.01,dom,2009
91.46,dom,2010
92.92,dom,2011
55.15,ecu,1971
55.33,ecu,1972
59.0,ecu,1973
61.0,ecu,1974
64.99,ecu,1975
69.47,ecu,1976
71.49,ecu,1977
70.89,ecu,1978
73.79,ecu,1979
76.75,ecu,1980
89.87,ecu,1987
92.5,ecu,1988
92.11,ecu,1994
90.47,ecu,1995
90.64,ecu,1996
94.54,ecu,1997
98.34,ecu,1999
99.15,ecu,2000
100.8,ecu,2001
101.1,ecu,2002
101.4,ecu,2003
101.7,ecu,2004
106.8,ecu,2005
106.1,ecu,2006
106.2,ecu,2007
105.4,ecu,2010
37.12,egy,1971
35.14,egy,1972
37.61,egy,1973
39.85,egy,1974
41.55,egy,1975
42.88,egy,1976
43.01,egy,1977
33.81,egy,1978
21.74,egy,1979
33.73,egy,1980
40.42,egy,1981
57.13,egy,1986
83.76,egy,1997
91.42,egy,1999
90.61,egy,2000
89.58,egy,2001
91.07,egy,2002
90.69,egy,2003
92.9,egy,2004
92.36,egy,2005
90.13,egy,2006
93.27,egy,2007
96.72,egy,2009
36.83,slv,1971
40.79,slv,1972
45.72,slv,1973
47.32,slv,1974
46.52,slv,1976
47.8,slv,1977
43.93,slv,1981
46.53,slv,1982
48.02,slv,1983
46.82,slv,1984
60.07,slv,1987
64.07,slv,1988
62.27,slv,1989
64.71,slv,1991
65.86,slv,1992
67.88,slv,1993
69.21,slv,1995
72.46,slv,1996
75.51,slv,1998
82.63,slv,1999
81.97,slv,2000
82.8,slv,2001
82.51,slv,2002
82.63,slv,2003
84.16,slv,2004
85.8,slv,2005
85.41,slv,2006
90.53,slv,2007
91.86,slv,2008
94.69,slv,2009
95.73,slv,2010
100.6,slv,2011
50.0,gnq,1994
44.36,gnq,1999
31.67,gnq,2003
45.85,gnq,2005
44.14,gnq,2008
48.15,gnq,2009
52.52,gnq,2010
52.16,gnq,2011
15.82,eri,1994
20.3,eri,1995
26.13,eri,1996
28.74,eri,1997
29.93,eri,1999
32.5,eri,2000
33.4,eri,2001
30.26,eri,2002
32.36,eri,2003
34.97,eri,2004
44.22,eri,2005
41.85,eri,2006
41.15,eri,2007
41.32,eri,2008
43.04,eri,2009
36.37,eri,2010
34.33,eri,2011
81.38,est,1995
92.3,est,1996
88.43,est,1998
91.6,est,1999
91.98,est,2000
96.48,est,2001
99.41,est,2002
102.5,est,2003
101.6,est,2004
104.5,est,2005
98.04,est,2006
98.16,est,2007
97.21,est,2008
97.67,est,2009
95.06,est,2010
11.18,eth,1982
19.17,eth,1987
18.53,eth,1988
18.09,eth,1989
12.72,eth,1994
12.06,eth,1995
12.64,eth,1996
13.32,eth,1998
14.59,eth,1999
16.2,eth,2000
19.88,eth,2001
22.41,eth,2002
25.21,eth,2003
28.78,eth,2004
35.74,eth,2005
41.94,eth,2006
43.08,eth,2007
47.65,eth,2008
52.73,eth,2009
66.56,eth,2010
60.46,eth,2011
97.83,fji,1980
98.69,fji,1981
96.16,fji,1983
92.67,fji,1984
94.55,fji,1985
95.43,fji,1986
106.4,fji,1998
100.3,fji,1999
94.2,fji,2000
98.98,fji,2001
104.3,fji,2002
108.0,fji,2003
109.2,fji,2004
111.1,fji,2006
103.5,fji,2007
105.6,fji,2008
105.1,fji,2009
104.6,fin,1987
105.5,fin,1988
105.5,fin,1989
101.9,fin,1990
96.94,fin,1991
97.33,fin,1992
96.33,fin,1993
97.12,fin,1994
100.1,fin,1995
102.5,fin,1996
98.45,fin,1998
95.79,fin,1999
96.58,fin,2000
102.7,fin,2001
101.0,fin,2002
101.8,fin,2003
100.6,fin,2004
99.69,fin,2005
96.86,fin,2006
98.42,fin,2007
98.0,fin,2008
97.39,fin,2009
98.76,fin,2010
94.77,fra,1971
94.54,fra,1972
62.05,pyf,1983
58.32,gab,1972
56.58,gab,1973
85.35,gab,1975
86.52,gab,1976
82.23,gab,1977
81.6,gab,1978
89.49,gab,1979
87.77,gab,1980
89.46,gab,1981
90.71,gab,1982
91.1,gab,1983
78.36,gab,1984
71.11,gab,1987
69.68,gab,1988
69.4,gab,1989
64.59,gab,1992
67.12,gab,1995
69.24,gab,1996
70.11,gab,1997
73.12,gab,2002
70.26,gab,2003
14.04,gmb,1971
14.74,gmb,1972
14.23,gmb,1973
14.57,gmb,1974
17.46,gmb,1975
15.69,gmb,1976
12.55,gmb,1977
18.16,gmb,1978
16.71,gmb,1979
17.53,gmb,1980
17.41,gmb,1981
18.11,gmb,1982
19.44,gmb,1983
23.74,gmb,1984
26.6,gmb,1985
30.29,gmb,1986
33.55,gmb,1987
29.49,gmb,1989
29.22,gmb,1992
29.11,gmb,1993
27.25,gmb,1994
30.95,gmb,1995
38.29,gmb,1996
57.87,gmb,1999
59.24,gmb,2000
62.15,gmb,2001
60.91,gmb,2002
66.45,gmb,2003
66.68,gmb,2004
65.92,gmb,2005
64.99,gmb,2006
73.27,gmb,2007
81.18,gmb,2008
67.23,gmb,2011
83.7,geo,1999
97.65,geo,2000
101.2,geo,2001
98.06,geo,2002
86.31,geo,2003
93.73,geo,2004
82.76,geo,2005
83.25,geo,2006
92.07,geo,2007
99.79,geo,2008
108.0,geo,2009
116.3,geo,2010
101.0,deu,1993
96.97,deu,1994
95.65,deu,1995
95.16,deu,1996
95.84,deu,1997
97.47,deu,1999
101.9,deu,2000
105.5,deu,2001
103.1,deu,2002
103.6,deu,2003
102.4,deu,2004
98.91,deu,2005
99.24,deu,2006
103.1,deu,2007
100.3,deu,2008
100.3,deu,2009
100.6,deu,2010
58.22,gha,1971
53.07,gha,1972
47.94,gha,1974
48.39,gha,1975
49.95,gha,1976
51.86,gha,1977
52.46,gha,1978
52.84,gha,1979
54.73,gha,1980
56.99,gha,1981
56.76,gha,1991
58.88,gha,1992
63.68,gha,1999
66.79,gha,2000
63.98,gha,2001
65.45,gha,2002
70.91,gha,2003
63.45,gha,2004
71.75,gha,2005
69.71,gha,2006
75.48,gha,2007
82.29,gha,2008
82.97,gha,2009
91.36,gha,2011
103.0,grc,1971
101.6,grc,1972
99.27,grc,1973
98.43,grc,1974
99.07,grc,1975
99.43,grc,1976
100.3,grc,1977
101.7,grc,1978
101.3,grc,1979
98.0,grc,1980
96.91,grc,1981
96.85,grc,1982
99.21,grc,1983
101.7,grc,1984
104.2,grc,1985
109.2,grc,1986
100.7,grc,1987
101.4,grc,1988
98.45,grc,1989
99.34,grc,1992
100.4,grc,2004
100.2,grc,2005
102.6,grc,2006
100.5,grc,2007
98.51,grc,2010
89.62,grd,1978
91.89,grd,1979
95.19,grd,1983
86.93,grd,1984
88.06,grd,2002
99.84,grd,2003
98.23,grd,2007
106.1,grd,2008
113.2,grd,2009
103.3,grd,2010
28.31,gtm,1976
28.46,gtm,1977
29.42,gtm,1978
43.36,gtm,1996
47.62,gtm,1999
52.38,gtm,2000
55.08,gtm,2001
59.22,gtm,2002
60.55,gtm,2003
65.17,gtm,2004
69.17,gtm,2005
72.8,gtm,2006
74.04,gtm,2007
77.01,gtm,2008
80.51,gtm,2009
82.95,gtm,2010
12.01,gin,1984
10.45,gin,1985
9.933,gin,1986
8.951,gin,1987
6.93,gin,1988
6.969,gin,1989
9.492,gin,1990
9.774,gin,1991
9.577,gin,1992
10.37,gin,1993
11.04,gin,1994
10.08,gin,1995
14.24,gin,1998
16.9,gin,1999
20.24,gin,2000
22.94,gin,2001
27.29,gin,2002
30.34,gin,2003
39.87,gin,2004
46.6,gin,2005
52.85,gin,2006
54.53,gin,2007
47.92,gin,2008
54.01,gin,2009
52.97,gin,2010
59.43,gin,2011
8.888,gnb,1979
5.264,gnb,1980
9.974,gnb,1981
9.284,gnb,1982
7.127,gnb,1983
7.33,gnb,1984
4.997,gnb,1987
3.753,gnb,1988
20.98,gnb,1999
21.43,gnb,2000
59.96,gnb,2010
95.23,guy,1971
94.22,guy,1972
88.2,guy,1973
85.82,guy,1974
82.86,guy,1976
90.48,guy,1977
88.39,guy,1978
86.97,guy,1979
82.7,guy,1980
91.38,guy,1982
93.59,guy,1987
97.47,guy,1992
97.41,guy,1993
77.43,guy,1995
83.22,guy,1996
87.76,guy,1997
102.1,guy,1999
105.2,guy,2000
80.29,guy,2001
75.23,guy,2003
79.61,guy,2004
106.8,guy,2005
106.7,guy,2006
102.0,guy,2007
96.22,guy,2008
94.27,guy,2009
84.57,guy,2010
86.74,guy,2011
24.84,hti,1979
25.33,hti,1980
26.62,hti,1982
28.59,hti,1983
31.52,hti,1985
33.25,hti,1986
35.49,hti,1987
46.33,hti,1997
47.64,hnd,1980
52.74,hnd,1982
58.14,hnd,1984
61.4,hnd,1991
73.84,hnd,1993
84.48,hnd,2005
91.73,hnd,2006
93.15,hnd,2008
96.02,hnd,2009
101.6,hnd,2010
104.6,hnd,2011
104.0,hkg,1980
101.0,hkg,1981
98.97,hkg,1982
98.2,hkg,1983
102.7,hkg,1984
104.2,hkg,1985
97.75,hkg,2003
98.61,hkg,2004
98.18,hkg,2005
99.54,hkg,2006
101.2,hkg,2007
97.46,hkg,2008
96.12,hkg,2009
92.4,hkg,2011
96.93,hun,1976
99.87,hun,1977
105.3,hun,1978
99.96,hun,1979
98.54,hun,1980
93.09,hun,1981
92.03,hun,1982
92.48,hun,1983
100.8,hun,1984
112.4,hun,1985
