concept,name,concept_type,tooltip,indicator_url,drill_up,domain
mean_years_in_school_women_25_to_34_years,Mean years in school (women 25 to 34 years),measure,"The average number of years of school attended by all people in the age and gender group specified, including primary, secondary and tertiary education. ",http://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdC1MYzAtY2xPQ2xOR1lMeGhYSWlpR0E,,
mean_years_in_school_men_25_to_34_years,Mean years in school (men 25 to 34 years),measure,"The average number of years of school attended by all people in the age and gender group specified, including primary, secondary and tertiary education. ",http://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdHlYZHNWN1YtWVNudU9UbWJOd19nUVE,,
mean_years_in_school_women_of_reproductive_age_15_to_44,Mean years in school (women of reproductive age 15 to 44),measure,"The average number of years of school attended by all people in the age and gender group specified, including primary, secondary and tertiary education. ",http://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdEttYjNNUTlkUTdrMUQ0c3BTR0dINlE,,
mean_years_in_school_women_percent_men_25_to_34_years,"Mean years in school (women % men, 25 to 34 years)",measure,"The ratio of female to male number of years in school, among 25- to 34-year-olds, including primary, secondary and tertiary education. ",http://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdG5JUDZjTHR5SzZFZjBqa2JYYUxBclE,,
energy_use_total,"Energy use, total",measure,"Energy use refers to use of primary energy before transformation to other end-use fuels, which is equal to indigenous production plus imports and stock changes, minus exports and fuels supplied to ships and aircraft engaged in international transport, counted in tonnes of oil equivalent (toe).",https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdHd2Nld0NEVFOGRiSTc0V3ZoekNuS1E,,
energy_use_per_person,"Energy use, per person",measure,"Energy use refers to use of primary energy before transformation to other end-use fuels, which is equal to indigenous production plus imports and stock changes, minus exports and fuels supplied to ships and aircraft engaged in international transport, counted in tonnes of oil equivalent (toe).",https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdHRmYjJWLVF0SjlQY1N5Vm9yU0xxaGc,,
energy_production_total,"Energy production, total",measure,"Energy production refers to forms of primary energy--petroleum (crude oil, natural gas liquids, and oil from nonconventional sources), natural gas, solid fuels (coal, lignite, and other derived fuels), and combustible renewables and waste--and primary electricity, all converted into tonnes of oil equivalents, counted in tonnes of oil equivalent (toe).",https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdFNZMXZwcjNPY2c3MWwxbWIwVFgyd0E,,
energy_production_per_person,"Energy production, per person",measure,"Energy production refers to forms of primary energy--petroleum (crude oil, natural gas liquids, and oil from nonconventional sources), natural gas, solid fuels (coal, lignite, and other derived fuels), and combustible renewables and waste--and primary electricity, all converted into tonnes of oil equivalents, calculated by dividing with the population of each country during the given year, counted in tonnes of oil equivalent (toe).",https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdHJ6UTV4MkEyN0NYdnJJOG1oYUxmTWc,,
pump_price_for_gasoline_us_per_liter,Pump price for gasoline (US$ per liter),measure,Fuel prices refer to the pump prices of the most widely sold grade of gasoline. ,http://spreadsheets.google.com/pub?key=pyj6tScZqmEdz8B4njtoHPA,,
coal_consumption_total,"Coal consumption, total",measure,Total amount of coal consumption (tonnes oil equivalent),http://spreadsheets.google.com/pub?key=0Auk0ddvGIrGqcHlqNnRTY1pxbUVjMVRtTWlGZG1PVmc,,
coal_consumption_per_cap,"Coal consumption, per person",measure,Coal consumption per person (tonnes oil equivalent),http://spreadsheets.google.com/pub?key=0Auk0ddvGIrGqcHlqNnRTY1pxbUVka1hObHlPbTlmUUE,,
electricity_use_per_person,"Electricity use, per person",measure,"The amount of electricity consumed per person during the given year, counted in kilowatt-hours (kWh).",http://spreadsheets.google.com/pub?key=tiVeyAJd7iRWorOwl_ARWEQ,,
electricity_use_total,"Electricity use, total",measure,"The total amount of electricity consumed during the given year, counted in kilowatt-hours (kWh).",http://spreadsheets.google.com/pub?key=tEu78F4acf0u6MRyhg5-9qQ,,
residential_electricity_use_per_person,"Residential electricity use, per person",measure,"The amount of residential electricity consumed per person during the given year, counted in kilowatt-hours (kWh).",http://spreadsheets.google.com/pub?key=t7SFNscT9Ex0s9i3av7PxRQ,,
residential_electricity_use_total,"Residential electricity use, total",measure,"The total amount of residential electricity consumed during the given year, counted in kilowatt-hours (kWh).",http://spreadsheets.google.com/pub?key=teUZEfKw52HewO3D0YrQ5HA,,
electricity_generation_total,"Electricity generation, total",measure,Electricity generation (kilowatt-hours),http://spreadsheets.google.com/pub?key=pyj6tScZqmEehRG-9mMHYdg,,
electricity_generation_per_person,"Electricity generation, per person",measure,Electricity generation per person (kilowatt-hours),http://spreadsheets.google.com/pub?key=pyj6tScZqmEeMtYNdMyLKOw,,
hydro_power_generation_total,"Hydroelectric electricity production, total",measure,"The amount of hydro power generated during the given year, counted in tonnes of oil equivalent (toe).",http://spreadsheets.google.com/pub?key=t1MShlv870O6LmFNEHazdEg,,
hydro_power_generation_per_person,"Hydroelectric electricity production, per person",measure,"The amount of hydro power generated per person during the given year, counted in tonnes of oil equivalent (toe).",http://spreadsheets.google.com/pub?key=tSjVrGemv30eCh3jPZkXYCQ,,
nuclear_power_generation_total,"Nuclear electricity production, total",measure,"The amount of electricity produced by nuclear power plants in a given year, counted in tonnes of oil equivalent (toe).",http://spreadsheets.google.com/pub?key=trRb8ZIaBOD4KzikShshZ2g,,
nuclear_power_generation_per_person,"Nuclear electricity production, per person",measure,"The amount of electricity produced by nuclear power plants per person in a given year, counted in tonnes of oil equivalent (toe).",http://spreadsheets.google.com/pub?key=t28UhT9IaWINamciSiJIS7w,,
natural_gas_production_total,"Natural gas production, total",measure,Natural gas production (tonnes oil equivalent),http://spreadsheets.google.com/pub?key=pyj6tScZqmEfv2K6dZmskWg,,
natural_gas_production_per_person,"Natural gas production, per person",measure,Natural gas production per person (tonnes oil equivalent),http://spreadsheets.google.com/pub?key=pyj6tScZqmEf0IBo_AGrgKA,,
natural_gas_proven_reserves_per_person,"Natural gas proven reserves, per person",measure,Natural gas proven reserves per person (tonnes oil equivalent),http://spreadsheets.google.com/pub?key=pyj6tScZqmEfZd6DbNF1MKA,,
natural_gas_proved_reserves_total,"Natural gas proved reserves, total",measure,Proven reserves of natural gas (tonnes oil equivalent),http://spreadsheets.google.com/pub?key=pyj6tScZqmEc5qiv87tr3NA,,
oil_production_per_person,"Oil production, per person",measure,Crude oil production per person (tonnes oil equivalent),http://spreadsheets.google.com/pub?key=pyj6tScZqmEeUgUuvuJTONQ,,
oil_production_total,"Oil production, total",measure,Total amount of crude oil production (tonnes oil equivalent),http://spreadsheets.google.com/pub?key=pyj6tScZqmEdNIa3ckVXaCQ,,
oil_proven_reserves_per_person,"Oil proven reserves, per person",measure,Oil proven reserves per person (tonnes oil equivalent),http://spreadsheets.google.com/pub?key=pyj6tScZqmEfrI4YlDJDUag,,
oil_proved_reserves_total,"Oil proved reserves, total",measure,Proven reserves of oil (tonnes oil equivalent),http://spreadsheets.google.com/pub?key=pyj6tScZqmEfJfS1WYrLeBA,,
oil_consumption_total,"Oil consumption, total",measure,Total amount of crude oil consumption (tonnes oil equivalent),http://spreadsheets.google.com/pub?key=pyj6tScZqmEcm0fIa0IVtKw,,
oil_consumption_per_cap,"Oil consumption, per person",measure,Oil Consumption per capita (tonnes per year per person),http://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdERNZmlfUGM5YVE3bmEwODdlRDFqSkE,,
drought___deaths_annual_number,Drought - deaths annual number,measure,Number of people killed in drought during the given year.,http://spreadsheets.google.com/pub?key=rvRwTPi0n_94EScVA3YjLeg,,
earthquake___deaths_annual_number,Earthquake - deaths annual number,measure,Number of people killed in earthquake during the given year.,http://spreadsheets.google.com/pub?key=rvbbs7uxQc7swJ4RR2BcQfA,,
epidemic___deaths_annual_number,Epidemic - deaths annual number,measure,Number of people killed in epidemic during the given year.,http://spreadsheets.google.com/pub?key=rvtZF_JC0OI27tL66o6hiMQ,,
extreme_temperature___deaths_annual_number,Extreme temperature - deaths annual number,measure,Number of people killed in extreme temperature during the given year.,http://spreadsheets.google.com/pub?key=r4WUTsck3NfccM6UsKlGF7g,,
flood___deaths_annual_number,Flood - deaths annual number,measure,Number of people killed in flood during the given year.,http://spreadsheets.google.com/pub?key=rtESPUlrTyLEoHpURqE8RAg,,
storm___deaths_annual_number,Storm - deaths annual number,measure,Number of people killed in storm during the given year.,http://spreadsheets.google.com/pub?key=r0JePjBgBQqtuh5wh1Wz9CA,,
tsunami___deaths_annual_number,Tsunami - deaths annual number,measure,Number of people killed in tsunami during the given year.,http://spreadsheets.google.com/pub?key=rdBew79hTeXcIXhB1VCTPfg,,
plane_crash___deaths_annual_number,Plane crash - deaths annual number,measure,Number of people killed in air accidents during the given year.,http://spreadsheets.google.com/pub?key=rSv5aMDwESiKg-yA__-tRFg,,
drought___affected_annual_number,Drought - affected annual number,measure,"Total number of people getting affected, injured or killed in drought during the given year.",http://spreadsheets.google.com/pub?key=rAYA0bjnfYwzXnir0cigijQ,,
earthquake___affected_annual_number,Earthquake - affected annual number,measure,"Total number of people getting affected, injured or killed in earthquake during the given year.",http://spreadsheets.google.com/pub?key=rG_BjsDwyS2n7DANNH3i5vQ,,
epidemic___affected_annual_number,Epidemic - affected annual number,measure,"Total number of people getting affected, injured or killed in epidemic during the given year.",http://spreadsheets.google.com/pub?key=r6H8dfVPu2CJ2nzI8X0jurw,,
extreme_temperature___affected_annual_number,Extreme temperature - affected annual number,measure,"Total number of people getting affected, injured or killed in extreme temperature during the given year.",http://spreadsheets.google.com/pub?key=ryPd-H6Kn3wcHC50zyImqUg,,
flood___affected_annual_number,Flood - affected annual number,measure,"Total number of people getting affected, injured or killed in flood during the given year.",http://spreadsheets.google.com/pub?key=rsCDusOObseaoBUdarzw7Kw,,
storm___affected_annual_number,Storm - affected annual number,measure,"Total number of people getting affected, injured or killed in storm during the given year.",http://spreadsheets.google.com/pub?key=rAxnmm4ZL2HrYjIqJX0Ch-w,,
tsunami___affected_annual_number,Tsunami - affected annual number,measure,"Total number of people getting affected, injured or killed in tsunami during the given year.",http://spreadsheets.google.com/pub?key=rskN46tpbe6Iy3K_ULk1_cQ,,
plane_crash___affected_annual_number,Plane crash - affected annual number,measure,"Total number of people getting affected, injured or killed in air accidents during the given year.",http://spreadsheets.google.com/pub?key=rhbS3kWOfMzvY4ofUFoeFJg,,
co2_intensity_of_economic_output_kg_co2_per_2005_ppp__of_gdp,CO2 intensity of economic output (kg CO2 per 2005 PPP $ of GDP),measure,Measures the amount of CO2 (kg) emitted for every dollar of GDP (constant purchasing power parity-adjusted) produced.,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdEVUcEJVRzlFWWRRcjhveGlrQzdwdUE,,
cumulative_co2_emissions_tonnes,Cumulative CO2 emissions (tonnes),measure,Total CO2 emissions from fossil fuel for the period between 1751 and the relevant year in metric tonnes. ,http://spreadsheets.google.com/pub?key=pyj6tScZqmEed4UamoiNCFA,,
sulfur_emissions_per_person_kg,Sulfur emissions per person (kg),measure,Sulfur emissions per person. Associated with acid rain. (Kilograms of sulfur per person and year). ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj0uBndTxZAXNQ,,
yearly_co2_emissions_tonnes,Yearly CO2 emissions (2012 version),measure,Total carbon dioxide emissions from the burning of fossil fuels during the given year (1000 metric tonnes of CO2).,http://spreadsheets.google.com/pub?key=phAwcNAVuyj1NHPC9MyZ9SQ,,
total_sulfur_emission_kilotonnes,Total sulfur emission (kilotonnes),measure,Total sulfur emissions per year. Associated with acid rain. 1000 tonnes of sulfur per year. ,http://spreadsheets.google.com/pub?key=t9SYWh7siLJDzyZYN1R4HfQ,,
forest_land_total_area_ha,"Forest land, total area (ha)",measure,"Total area of land (hectares) which is spanning more than 0.5 hectares with trees higher than 5 meters and a canopy cover of more than 10%, or trees able to reach these thresholds in situ. It does not include land that is predominantly under agricultural or urban land use.",http://spreadsheets.google.com/pub?key=pp59adS3CHWeB1N1HlpFQVQ,,
primary_forest_area_ha,Primary forest area (ha),measure,"Total area of forest land (hectares) with native species, where there are no clearly visible indications of human activities and the ecological processes are not significantly disturbed.",http://spreadsheets.google.com/pub?key=pp59adS3CHWeECA6Gf__BNQ,,
planted_forest_area_ha,Planted forest area (ha),measure,"Total area of forest land (hectares) established through planting or seeding, basically of introduced species and in some cases native species.",http://spreadsheets.google.com/pub?key=pp59adS3CHWc4aJd9fV8zZg,,
wood_removal_cubic_meters,Wood removal (cubic meters),measure,"The wood removed (volume of round wood over bark) for production of goods and services other than energy production (wood fuel), excluding felled trees left in the forest. ",http://spreadsheets.google.com/pub?key=pp59adS3CHWe8O-N9RgxzDw,,
forest_coverage_percent,Forest coverage (%),measure,"Percentage of total land area that has been covered with forest during the given year; excluding other wooded land, which is spanning more than 0.5 hectares, with trees higher than 5 meters and a canopy cover of 5-10 percent, or trees able to reach these thresholds in situ, or with a combined cover of shrubs, bushes and trees above 10 percent.",http://spreadsheets.google.com/pub?key=pp59adS3CHWfRGgfhjf8FBQ,,
biomass_stock_in_forest_tons,Biomass stock in forest (tons),measure,"Biomass stock refers to organic material both above-ground and below-ground, and both living and dead, e.g., trees, crops, grasses, tree litter, roots etc.; including the pool definition for above- and below-ground biomass in forest; other wooded land not included. ",http://spreadsheets.google.com/pub?key=pp59adS3CHWcsSl830EklJA,,
privately_owned_forest_land_percent,Privately owned forest land (%),measure,"Percentage of forest land that is owned by individuals, families, private co-operatives, corporations, industries, private religious and educational institutions, pension or investment funds, and other private institutions.",http://spreadsheets.google.com/pub?key=pp59adS3CHWdFemmS_iN5fw,,
privately_owned_other_wooded_land_percent,Privately owned other wooded land (%),measure,"Percentage of other wooded land that is owned by individuals, families, private co-operatives, corporations, industries, private religious and educational institutions, pension or investment funds, and other private institutions.",http://spreadsheets.google.com/pub?key=pp59adS3CHWdtCylhQOQiXw,,
forest_products_removal_total_,"Forest products removal, total ($)",measure,"Total annual value of forest products in current USD, including both wood and non-wood removal during that year.",http://spreadsheets.google.com/pub?key=pp59adS3CHWf66stZ2oNUAA,,
forest_products_removal_per_ha_,"Forest products removal, per ha ($)",measure,"Total annual value of forest products in current USD per hectares, including both wood and non-wood removal during that year.",http://spreadsheets.google.com/pub?key=pp59adS3CHWd9CVdfFx1dEw,,
agricultural_land_percent_of_land_area,Agricultural land (% of land area),measure,"Agricultural land refers to the share of land area that is arable, under permanent crops, and under permanent pastures. Includes land under temporary crops, temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. It excludes land under trees grown for wood or timber.",https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdEF3alRGS0JQZVgwSW1FWUxUQmZoWXc,,
forest_area_sq_km,Forest area (sq. km),measure,"Forest area is land under natural or planted stands of trees, whether productive or not.",https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdFRuaV91Mm9JeUhwR1hHRXJhV3ZBQkE,,
surface_area_sq_km,Surface area (sq. km),measure,"A country's total area, including areas under inland bodies of water and some coastal waterways.",https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdFFWcWdEM0RXT1lRZ0wwRVNsakZCaWc,,
renewable_water_cu_meters_per_person,Renewable water (cu meters per person),measure,"Actual quantity of renewable water resources per person per year in cubic meters. Renewable water resources refer to the average annual flow of rivers and recharge of groundwater generated from perecipitation, which corresponds to the maximum theoretical yearly amount of water actually available for a country at a given moment. and the resources shared with neighboring countries (geopolitical constraints) have been taken into account. ",http://spreadsheets.google.com/pub?key=rPN9VekxwpUzwowMaxg9Ybw,,
internal_renewable_water_cu_meters_per_person,Internal renewable water (cu meters per person),measure,Quantity of internal renewable water resources per person per year in cubic meters. Internal Renewable Water Resources (IRWR): Long-term average annual flow of rivers and recharge of aquifers generated from endogenous precipitation. Double counting of surface water and groundwater resources is avoided by deducting the overlap from the sum of the surface water and groundwater resources. ,http://spreadsheets.google.com/pub?key=riLRFECHMsTq7OTa2KYZCWA,,
water_withdrawal_cu_meters_per_person,Water withdrawal (cu meters per person),measure,"Total annual quantity of freshwater withdrawn per person per year, counted in cubic meters. It includes renewable freshwater resources as well as potential over-abstraction of renewable groundwater or withdrawal of fossil groundwater and eventual use of desalinated water or treated wastewater. It does not include other categories of water use, such as for cooling of power plants, mining, recreation, navigation, fisheries, etc., which are sectors that are characterized by a very low net consumption rate.",http://spreadsheets.google.com/pub?key=rezAT4nYhKc2Loe6CxWSPWw,,
municipal_water_withdrawal_cu_meters_per_person,Municipal water withdrawal (cu meters per person),measure,"Volume of water withdrawal per person per year directly used by the population, counted in cubic meters. It includes renewable freshwater resources as well as potential over-abstraction of renewable groundwater or withdrawal of fossil groundwater and the potential use of desalinated water or treated wastewater. It is usually computed as the total water withdrawn by the public distribution network. It can include that part of the industries, which is connected to the municipal network. The ratio between the net consumption and the water withdrawn can vary from 5 to 15% in urban areas and from 10 to 50% in rural areas.",http://spreadsheets.google.com/pub?key=ruUmTRBZ5xYjpOAhOT9VQbw,,
agricultural_water_withdrawal_percent_of_total,Agricultural water withdrawal (% of total),measure,"Percentage of the total water withdrawal used in agriculture, including renewable freshwater resources as well as potential over-abstraction of renewable groundwater or withdrawal of fossil groundwater, use of agricultural drainage water, desalinated water and treated wastewater. It also includes water withdrawn for irrigation purposes and for livestock watering, although depending on the country this last category sometimes is included in municipal water withdrawal. As far as the water withdrawn for irrigation is concerned, the value far exceeds the consumptive use of irrigation because of water lost in its distribution from its source to the crops. ",http://spreadsheets.google.com/pub?key=rab3jHe_JZrU1pqlX0xnQEw,,
industrial_water_withdrawal_percent_of_total,Industrial water withdrawal (% of total),measure,"Percentage of the total water withdrawal used in industry, including renewable water resources as well as potential over-abstraction of renewable groundwater or withdrawal of fossil groundwater and potential use of desalinated water or treated wastewater. Usually, this sector refers to self-supplied industries not connected to any distribution network. The ratio between net consumption and withdrawal is estimated at less than 5%.",http://spreadsheets.google.com/pub?key=rGKP-BBylLOM11iGahW1lxA,,
municipal_water_withdrawal_percent_of_total,Municipal water withdrawal (% of total),measure,"Percentage of the total water withdrawal directly used by the population, including renewable freshwater resources as well as potential over-abstraction of renewable groundwater or withdrawal of fossil groundwater and the potential use of desalinated water or treated wastewater. It is usually computed as the total water withdrawn by the public distribution network. It can include that part of the industries, which is connected to the municipal network. The ratio between the net consumption and the water withdrawn can vary from 5 to 15% in urban areas and from 10 to 50% in rural areas.",http://spreadsheets.google.com/pub?key=r58mA3XNUvBov6M_1T_FiUg,,
desalinated_water_produced_billion_cu_meters,Desalinated water produced (billion cu meters),measure,"Total quantity of the production of freshwater by desalination of brackish or saltwater (mostly for domestic purposes) during the given year, counted in billion cubic meters.",http://spreadsheets.google.com/pub?key=rt3BaikcRwJBNC0CvQsjDCA,,
total_water_withdrawal_billion_cu_meters,Total water withdrawal (billion cu meters),measure,"Annual quantity of freshwater withdrawn for agricultural, industrial and municipal purposes, counted in billion cubic meters. It includes renewable freshwater resources as well as potential over-abstraction of renewable groundwater or withdrawal of fossil groundwater and eventual use of desalinated water or treated wastewater. It does not include other categories of water use, such as for cooling of power plants, mining, recreation, navigation, fisheries, etc., which are sectors that are characterized by a very low net consumption rate.",http://spreadsheets.google.com/pub?key=rIG3ZWxv381t2bIL2BNaIVw,,
infant_mortality_rate_per_1000_births,"Infant mortality (rate per 1,000 births)",measure,Deaths of children during first year of life (per 1000 live births). ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj0NpF2PTov2Cw,,
underweight_children,Underweight children,measure,Percent of children under five who are more than two standard deviations below average weight for age. ,http://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdDdTQUtvNEJhb0RjRjU0WUtET1R0Vnc,,
all_causes_deaths_in_newborn_per_1000_births,"All causes deaths in newborn (per 1,000 births)",measure,"All causes deaths in newborn (per 1,000 births)",http://spreadsheets.google.com/pub?key=tbpc_fYEqPzaE7pDWBG84Rw,,
birth_asphyxia_deaths_in_newborn_per_1000_births,"Birth asphyxia deaths in newborn (per 1,000 births)",measure,"Birth asphyxia deaths in newborn (per 1,000 births)",http://spreadsheets.google.com/pub?key=t_0WcTuc94YT9cJVvy1tmUg,,
congenital_deaths_in_newborn_per_1000_births,"Congenital deaths in newborn (per 1,000 births)",measure,"Congenital deaths in newborn (per 1,000 births)",http://spreadsheets.google.com/pub?key=tneegXfZGHA0-nLG25ypnyg,,
diarrhoeal_deaths_in_newborn_per_1000_births,"Diarrhoeal deaths in newborn (per 1,000 births)",measure,"Diarrhoeal deaths in newborn (per 1,000 births)",http://spreadsheets.google.com/pub?key=tX7NQAP_5H4TOS1OEnxdxYw,,
pneumonia_deaths_in_newborn_per_1000_births,"Pneumonia deaths in newborn (per 1,000 births)",measure,"Pneumonia deaths in newborn (per 1,000 births)",http://spreadsheets.google.com/pub?key=tOXHWd6PcUGK3Dg-k2N8Clw,,
prematurity_deaths_in_newborn_per_1000_births,"Prematurity deaths in newborn (per 1,000 births)",measure,"Prematurity deaths in newborn (per 1,000 births)",http://spreadsheets.google.com/pub?key=tVMPnbOfGdvTRrtbuIbRw5w,,
sepsis_deaths_in_newborn_per_1000_births,"Sepsis deaths in newborn (per 1,000 births)",measure,"Sepsis deaths in newborn (per 1,000 births)",http://spreadsheets.google.com/pub?key=tGVRSoAJtdwQ30CqCSexKJA,,
tetanus_deaths_in_newborn_per_1000_births,"Tetanus deaths in newborn (per 1,000 births)",measure,"Tetanus deaths in newborn (per 1,000 births)",http://spreadsheets.google.com/pub?key=t1E7e32tlIxtJU9UhnR9nJg,,
other_deaths_in_newborn_per_1000_births,"Other deaths in newborn (per 1,000 births)",measure,"Other deaths in newborn (per 1,000 births)",http://spreadsheets.google.com/pub?key=tiYIen5OQP0fKiQbg6g8VyA,,
all_causes_deaths_in_newborn_total_deaths,All causes deaths in newborn (total deaths),measure,All causes deaths in newborn (total deaths),http://spreadsheets.google.com/pub?key=tBVcAKWEbc2s687q6D9yuYg,,
birth_asphyxia_deaths_in_newborn_total_deaths,Birth asphyxia deaths in newborn (total deaths),measure,Birth asphyxia deaths in newborn (total deaths),http://spreadsheets.google.com/pub?key=twrll6eL8GeIU4P71aTakmg,,
congenital_deaths_in_newborn_total_deaths,Congenital deaths in newborn (total deaths),measure,Congenital deaths in newborn (total deaths),http://spreadsheets.google.com/pub?key=tUvFsKz2lGL-GtPmw47VLdg,,
diarrhoeal_deaths_in_newborn_total_deaths,Diarrhoeal deaths in newborn (total deaths),measure,Diarrhoeal deaths in newborn (total deaths),http://spreadsheets.google.com/pub?key=tKZcnGP_XImMXRZ4tZqtjMg,,
pneumonia_deaths_in_newborn_total_deaths,Pneumonia deaths in newborn (total deaths),measure,Pneumonia deaths in newborn (total deaths),http://spreadsheets.google.com/pub?key=tjvbVGhVx7YCk1uguLrkaag,,
prematurity_deaths_in_newborn_total_deaths,Prematurity deaths in newborn (total deaths),measure,Prematurity deaths in newborn (total deaths),http://spreadsheets.google.com/pub?key=tVyFL3CyRTuGEnRQErDeSLQ,,
sepsis_deaths_in_newborn_total_deaths,Sepsis deaths in newborn (total deaths),measure,Sepsis deaths in newborn (total deaths),http://spreadsheets.google.com/pub?key=tRA1VmW2ZQ7sCsoD7AHIilg,,
tetanus_deaths_in_newborn_total_deaths,Tetanus deaths in newborn (total deaths),measure,Tetanus deaths in newborn (total deaths),http://spreadsheets.google.com/pub?key=tB6Gkh4rLC9yB2TXfHSApIA,,
other_deaths_in_newborn_total_deaths,Other deaths in newborn (total deaths),measure,Other deaths in newborn (total deaths),http://spreadsheets.google.com/pub?key=tyPO4OLCIZtK5zcdkafcHMA,,
all_causes_deaths_in_children_1_59_months_per_1000_births,"All causes deaths in children 1-59 months (per 1,000 births)",measure,"All causes deaths in children 1-59 months (per 1,000 births)",http://spreadsheets.google.com/pub?key=t9FP3_OPrE2ug_I_iNsbePg,,
diarrhoeal_deaths_in_children_1_59_months_per_1000_births,"Diarrhoeal deaths in children 1-59 months (per 1,000 births)",measure,"Diarrhoeal deaths in children 1-59 months (per 1,000 births)",http://spreadsheets.google.com/pub?key=tADSStUzP0ADEPYqsIfVHMQ,,
hiv_deaths_in_children_1_59_months_per_1000_births,"HIV deaths in children 1-59 months (per 1,000 births)",measure,"HIV deaths in children 1-59 months (per 1,000 births)",http://spreadsheets.google.com/pub?key=t4C4M_ynK9Ho8tGRj6a5U5w,,
injury_deaths_in_children_1_59_months_per_1000_births,"Injury deaths in children 1-59 months (per 1,000 births)",measure,"Injury deaths in children 1-59 months (per 1,000 births)",http://spreadsheets.google.com/pub?key=tfOi0Ji7pJDJbxJVqwJXj9g,,
malaria_deaths_in_children_1_59_months_per_1000_births,"Malaria deaths in children 1-59 months (per 1,000 births)",measure,"Malaria deaths in children 1-59 months (per 1,000 births)",http://spreadsheets.google.com/pub?key=tunqKEwokfnJMDA1g7W8KwA,,
measles_deaths_in_children_1_59_months_per_1000_births,"Measles deaths in children 1-59 months (per 1,000 births)",measure,"Measles deaths in children 1-59 months (per 1,000 births)",http://spreadsheets.google.com/pub?key=tfyKUbGu10P_WOgHSOHhCJg,,
meningitis_deaths_in_children_1_59_months_per_1000_births,"Meningitis deaths in children 1-59 months (per 1,000 births)",measure,"Meningitis deaths in children 1-59 months (per 1,000 births)",http://spreadsheets.google.com/pub?key=tZhYsw0sliDInwowT0iWTLQ,,
ncd_deaths_in_children_1_59_months_per_1000_births,"NCD deaths in children 1-59 months (per 1,000 births)",measure,"NCD deaths in children 1-59 months (per 1,000 births)",http://spreadsheets.google.com/pub?key=tqAEpy6pMtN7ULlF6uIzEog,,
pertussis_deaths_in_children_1_59_months_per_1000_births,"Pertussis deaths in children 1-59 months (per 1,000 births)",measure,"Pertussis deaths in children 1-59 months (per 1,000 births)",http://spreadsheets.google.com/pub?key=t4RbfeK6Dtt2srxw4REoXxQ,,
pneumonia_deaths_in_children_1_59_months_per_1000_births,"Pneumonia deaths in children 1-59 months (per 1,000 births)",measure,"Pneumonia deaths in children 1-59 months (per 1,000 births)",http://spreadsheets.google.com/pub?key=tCe8N5KXAYCJteQokAqVM_A,,
other_infections_deaths_in_children_1_59_months_per_1000_birt,"Other infections deaths in children 1-59 months (per 1,000 births)",measure,"Other infections deaths in children 1-59 months (per 1,000 births)",http://spreadsheets.google.com/pub?key=tVAqgYwCDZfcq9jSCI87SAw,,
all_causes_deaths_in_children_1_59_months_total_deaths,All causes deaths in children 1-59 months (total deaths),measure,All causes deaths in children 1-59 months (total deaths),http://spreadsheets.google.com/pub?key=taYeez4Mkk8OvdH-q4QAxxQ,,
diarrhoeal_deaths_in_children_1_59_months_total_deaths,Diarrhoeal deaths in children 1-59 months (total deaths),measure,Diarrhoeal deaths in children 1-59 months (total deaths),http://spreadsheets.google.com/pub?key=tDzIq4iIDwNtYthN_QYZwZg,,
hiv_deaths_in_children_1_59_months_total_deaths,HIV deaths in children 1-59 months (total deaths),measure,HIV deaths in children 1-59 months (total deaths),http://spreadsheets.google.com/pub?key=tQe6yinBBauXLvBFroZEL3Q,,
injury_deaths_in_children_1_59_months_total_deaths,Injury deaths in children 1-59 months (total deaths),measure,Injury deaths in children 1-59 months (total deaths),http://spreadsheets.google.com/pub?key=tnRIpcH0InZUFz7f2ziXKog,,
malaria_deaths_in_children_1_59_months_total_deaths,Malaria deaths in children 1-59 months (total deaths),measure,Malaria deaths in children 1-59 months (total deaths),http://spreadsheets.google.com/pub?key=t1Vf-4rkGlG20pYzuGib3hw,,
measles_deaths_in_children_1_59_months_total_deaths,Measles deaths in children 1-59 months (total deaths),measure,Measles deaths in children 1-59 months (total deaths),http://spreadsheets.google.com/pub?key=tYZAce4wGXEp5Jve3AI7yWQ,,
meningitis_deaths_in_children_1_59_months_total_deaths,Meningitis deaths in children 1-59 months (total deaths),measure,Meningitis deaths in children 1-59 months (total deaths),http://spreadsheets.google.com/pub?key=tX-vHLzEZ7mqfk1vf6SbUXA,,
