gwid,geo,geographic_regions,income_groups,landlocked,g77_and_oecd_countries,geographic_regions_in_4_colors,main_religion_2008,is--country,name
i110,jpn,east_asia_pacific,high_income,coastline,oecd,asia,eastern_religions,TRUE,jpn
i111,jey,europe_central_asia,,coastline,others,europe,,TRUE,jey
i112,jor,middle_east_north_africa,upper_middle_income,coastline,g77,asia,muslim,TRUE,jor
i113,kaz,europe_central_asia,upper_middle_income,landlocked,others,asia,muslim,TRUE,kaz
i114,ken,sub_saharan_africa,low_income,coastline,g77,africa,christian,TRUE,ken
i115,kir,east_asia_pacific,lower_middle_income,coastline,others,asia,christian,TRUE,kir
i116,prk,east_asia_pacific,low_income,coastline,g77,asia,,TRUE,prk
i117,kor,east_asia_pacific,high_income,coastline,oecd,asia,,TRUE,kor
,_kou,,,,,,,TRUE,_kou
i118,_unk,europe_central_asia,lower_middle_income,landlocked,others,europe,muslim,TRUE,_unk
i119,kwt,middle_east_north_africa,high_income,coastline,g77,asia,muslim,TRUE,kwt
i120,kgz,europe_central_asia,low_income,landlocked,others,asia,muslim,TRUE,kgz
i121,lao,east_asia_pacific,lower_middle_income,landlocked,g77,asia,eastern_religions,TRUE,lao
i122,lva,europe_central_asia,high_income,coastline,others,europe,christian,TRUE,lva
i123,lbn,middle_east_north_africa,upper_middle_income,coastline,g77,asia,,TRUE,lbn
i124,lso,sub_saharan_africa,lower_middle_income,landlocked,g77,africa,christian,TRUE,lso
i125,lbr,sub_saharan_africa,low_income,coastline,g77,africa,,TRUE,lbr
i126,lby,middle_east_north_africa,upper_middle_income,coastline,g77,africa,muslim,TRUE,lby
i127,lie,europe_central_asia,high_income,landlocked,others,europe,christian,TRUE,lie
i128,ltu,europe_central_asia,high_income,coastline,others,europe,christian,TRUE,ltu
i129,lux,europe_central_asia,high_income,landlocked,oecd,europe,christian,TRUE,lux
i130,mac,east_asia_pacific,high_income,coastline,others,asia,eastern_religions,TRUE,mac
i131,mkd,europe_central_asia,upper_middle_income,landlocked,others,europe,christian,TRUE,mkd
i132,mdg,sub_saharan_africa,low_income,coastline,g77,africa,,TRUE,mdg
i133,mwi,sub_saharan_africa,low_income,landlocked,g77,africa,christian,TRUE,mwi
i134,mys,east_asia_pacific,upper_middle_income,coastline,g77,asia,muslim,TRUE,mys
i135,mdv,south_asia,upper_middle_income,coastline,g77,asia,muslim,TRUE,mdv
i136,mli,sub_saharan_africa,low_income,landlocked,g77,africa,muslim,TRUE,mli
i137,mlt,europe_central_asia,high_income,coastline,others,europe,christian,TRUE,mlt
i138,mhl,east_asia_pacific,upper_middle_income,coastline,g77,asia,christian,TRUE,mhl
i139,mtq,america,,coastline,others,america,christian,TRUE,mtq
i140,mrt,sub_saharan_africa,lower_middle_income,coastline,g77,africa,muslim,TRUE,mrt
i141,mus,sub_saharan_africa,upper_middle_income,coastline,g77,africa,,TRUE,mus
i142,myt,sub_saharan_africa,,coastline,others,africa,muslim,TRUE,myt
i143,mex,america,upper_middle_income,coastline,oecd,america,christian,TRUE,mex
i144,fsm,east_asia_pacific,lower_middle_income,coastline,others,asia,christian,TRUE,fsm
i145,mda,europe_central_asia,lower_middle_income,landlocked,others,europe,christian,TRUE,mda
i146,mco,europe_central_asia,high_income,coastline,others,europe,christian,TRUE,mco
i147,mng,east_asia_pacific,lower_middle_income,landlocked,g77,asia,,TRUE,mng
i148,mne,europe_central_asia,upper_middle_income,coastline,others,europe,christian,TRUE,mne
i149,msr,america,,coastline,others,america,christian,TRUE,msr
i150,mar,middle_east_north_africa,lower_middle_income,coastline,g77,africa,muslim,TRUE,mar
i151,moz,sub_saharan_africa,low_income,coastline,g77,africa,christian,TRUE,moz
i152,mmr,east_asia_pacific,low_income,coastline,g77,asia,eastern_religions,TRUE,mmr
i153,nam,sub_saharan_africa,upper_middle_income,coastline,g77,africa,christian,TRUE,nam
i154,nru,east_asia_pacific,,coastline,others,asia,christian,TRUE,nru
i155,npl,south_asia,low_income,landlocked,g77,asia,eastern_religions,TRUE,npl
i156,nld,europe_central_asia,high_income,coastline,oecd,europe,christian,TRUE,nld
i157,ant,america,,coastline,others,america,,TRUE,ant
i158,ncl,east_asia_pacific,high_income,coastline,others,asia,christian,TRUE,ncl
i159,nzl,east_asia_pacific,high_income,coastline,oecd,asia,christian,TRUE,nzl
i160,_ngo,europe_central_asia,,,others,europe,,TRUE,_ngo
i161,nic,america,lower_middle_income,coastline,g77,america,christian,TRUE,nic
i162,ner,sub_saharan_africa,low_income,landlocked,g77,africa,muslim,TRUE,ner
i163,nga,sub_saharan_africa,lower_middle_income,coastline,g77,africa,,TRUE,nga
i164,niu,east_asia_pacific,,coastline,others,asia,christian,TRUE,niu
i165,nfk,east_asia_pacific,,coastline,others,asia,,TRUE,nfk
i166,_ncy,europe_central_asia,,coastline,others,europe,,TRUE,_ncy
i167,mnp,east_asia_pacific,high_income,coastline,others,asia,christian,TRUE,mnp
i168,nor,europe_central_asia,high_income,coastline,oecd,europe,christian,TRUE,nor
i169,omn,middle_east_north_africa,high_income,coastline,g77,asia,muslim,TRUE,omn
i170,pak,south_asia,lower_middle_income,coastline,g77,asia,muslim,TRUE,pak
i171,plw,east_asia_pacific,upper_middle_income,coastline,others,asia,christian,TRUE,plw
i172,pan,america,upper_middle_income,coastline,g77,america,christian,TRUE,pan
i173,png,east_asia_pacific,lower_middle_income,coastline,g77,asia,christian,TRUE,png
i174,pry,america,lower_middle_income,landlocked,g77,america,christian,TRUE,pry
i175,per,america,upper_middle_income,coastline,g77,america,christian,TRUE,per
i176,phl,east_asia_pacific,lower_middle_income,coastline,g77,asia,christian,TRUE,phl
i177,pcn,east_asia_pacific,,coastline,others,asia,christian,TRUE,pcn
i178,pol,europe_central_asia,high_income,coastline,oecd,europe,christian,TRUE,pol
i179,prt,europe_central_asia,high_income,coastline,oecd,europe,christian,TRUE,prt
i180,pri,america,high_income,coastline,others,america,christian,TRUE,pri
i181,qat,middle_east_north_africa,high_income,coastline,g77,asia,muslim,TRUE,qat
i182,reu,sub_saharan_africa,,coastline,others,africa,christian,TRUE,reu
i183,rou,europe_central_asia,upper_middle_income,coastline,others,europe,christian,TRUE,rou
i184,rus,europe_central_asia,high_income,coastline,others,europe,christian,TRUE,rus
i185,rwa,sub_saharan_africa,low_income,landlocked,g77,africa,christian,TRUE,rwa
i186,_stb,america,,coastline,others,america,,TRUE,_stb
i187,shn,sub_saharan_africa,,coastline,others,africa,christian,TRUE,shn
i188,kna,america,high_income,coastline,g77,america,christian,TRUE,kna
i189,lca,america,upper_middle_income,coastline,g77,america,christian,TRUE,lca
i190,_stm,america,high_income,coastline,others,america,,TRUE,_stm
i191,vct,america,upper_middle_income,coastline,g77,america,christian,TRUE,vct
i192,spm,america,,coastline,others,america,christian,TRUE,spm
i193,wsm,east_asia_pacific,lower_middle_income,coastline,g77,asia,christian,TRUE,wsm
i194,smr,europe_central_asia,high_income,landlocked,others,europe,christian,TRUE,smr
i195,stp,sub_saharan_africa,lower_middle_income,coastline,g77,africa,christian,TRUE,stp
i196,sau,middle_east_north_africa,high_income,coastline,g77,asia,muslim,TRUE,sau
i197,sen,sub_saharan_africa,lower_middle_income,coastline,g77,africa,muslim,TRUE,sen
i198,srb,europe_central_asia,upper_middle_income,landlocked,others,europe,christian,TRUE,srb
i199,scg,europe_central_asia,,coastline,others,europe,,TRUE,scg
i200,_srbek,europe_central_asia,,landlocked,others,europe,,TRUE,_srbek
i201,syc,sub_saharan_africa,upper_middle_income,coastline,g77,africa,christian,TRUE,syc
i202,sle,sub_saharan_africa,low_income,coastline,g77,africa,,TRUE,sle
i203,sgp,east_asia_pacific,high_income,coastline,g77,asia,eastern_religions,TRUE,sgp
i204,svk,europe_central_asia,high_income,landlocked,oecd,europe,christian,TRUE,svk
i205,svn,europe_central_asia,high_income,coastline,others,europe,christian,TRUE,svn
i206,slb,east_asia_pacific,lower_middle_income,coastline,g77,asia,christian,TRUE,slb
i207,som,sub_saharan_africa,low_income,coastline,g77,africa,muslim,TRUE,som
i208,_sol,sub_saharan_africa,,,others,africa,,TRUE,_sol
i209,zaf,sub_saharan_africa,upper_middle_income,coastline,g77,africa,christian,TRUE,zaf
i210,_sos,europe_central_asia,,,others,europe,,TRUE,_sos
i212,esp,europe_central_asia,high_income,coastline,oecd,europe,christian,TRUE,esp
i213,lka,south_asia,lower_middle_income,coastline,g77,asia,eastern_religions,TRUE,lka
i214,sdn,sub_saharan_africa,lower_middle_income,coastline,g77,africa,muslim,TRUE,sdn
i215,sur,america,upper_middle_income,coastline,g77,america,christian,TRUE,sur
i216,sjm,europe_central_asia,,coastline,others,europe,,TRUE,sjm
i217,swz,sub_saharan_africa,lower_middle_income,landlocked,g77,africa,christian,TRUE,swz
i218,swe,europe_central_asia,high_income,coastline,oecd,europe,christian,TRUE,swe
i219,che,europe_central_asia,high_income,landlocked,oecd,europe,christian,TRUE,che
i220,syr,middle_east_north_africa,lower_middle_income,coastline,g77,asia,muslim,TRUE,syr
i221,twn,east_asia_pacific,,coastline,others,asia,eastern_religions,TRUE,twn
i222,tjk,europe_central_asia,low_income,landlocked,others,asia,muslim,TRUE,tjk
i223,tza,sub_saharan_africa,low_income,coastline,g77,africa,christian,TRUE,tza
i224,tha,east_asia_pacific,upper_middle_income,coastline,g77,asia,eastern_religions,TRUE,tha
i225,tls,east_asia_pacific,lower_middle_income,coastline,g77,asia,christian,TRUE,tls
i226,tgo,sub_saharan_africa,low_income,coastline,g77,africa,,TRUE,tgo
i227,tkl,east_asia_pacific,,coastline,others,asia,christian,TRUE,tkl
i228,ton,east_asia_pacific,upper_middle_income,coastline,g77,asia,christian,TRUE,ton
i229,_tra,europe_central_asia,,,others,europe,,TRUE,_tra
i230,tto,america,high_income,coastline,g77,america,christian,TRUE,tto
i231,tun,middle_east_north_africa,upper_middle_income,coastline,g77,africa,muslim,TRUE,tun
i232,tur,europe_central_asia,upper_middle_income,coastline,oecd,europe,muslim,TRUE,tur
i233,tkm,europe_central_asia,upper_middle_income,landlocked,g77,asia,muslim,TRUE,tkm
i234,tca,america,high_income,coastline,others,america,christian,TRUE,tca
i235,tuv,east_asia_pacific,upper_middle_income,coastline,others,asia,christian,TRUE,tuv
i236,uga,sub_saharan_africa,low_income,landlocked,g77,africa,christian,TRUE,uga
i237,ukr,europe_central_asia,lower_middle_income,coastline,others,europe,christian,TRUE,ukr
i238,are,middle_east_north_africa,high_income,coastline,g77,asia,muslim,TRUE,are
i239,gbr,europe_central_asia,high_income,coastline,oecd,europe,christian,TRUE,gbr
i240,usa,america,high_income,coastline,oecd,america,christian,TRUE,usa
i241,ury,america,high_income,coastline,g77,america,christian,TRUE,ury
i242,_ussr,europe_central_asia,,coastline,others,europe,,TRUE,_ussr
i243,uzb,europe_central_asia,lower_middle_income,landlocked,others,asia,muslim,TRUE,uzb
i244,wlf,east_asia_pacific,,coastline,others,asia,christian,TRUE,wlf
i245,vut,east_asia_pacific,lower_middle_income,coastline,g77,asia,christian,TRUE,vut
i246,ven,america,upper_middle_income,coastline,g77,america,christian,TRUE,ven
i247,pse,middle_east_north_africa,lower_middle_income,coastline,g77,asia,muslim,TRUE,pse
i248,_brd,europe_central_asia,,coastline,others,europe,,TRUE,_brd
i249,esh,middle_east_north_africa,,coastline,others,africa,muslim,TRUE,esh
i250,vnm,east_asia_pacific,lower_middle_income,coastline,g77,asia,eastern_religions,TRUE,vnm
i251,vir,america,high_income,coastline,others,america,christian,TRUE,vir
i252,_noy,middle_east_north_africa,,coastline,others,asia,,TRUE,_noy
i253,_soy,middle_east_north_africa,,coastline,others,asia,,TRUE,_soy
i254,yem,middle_east_north_africa,lower_middle_income,coastline,g77,asia,muslim,TRUE,yem
i255,_yug,europe_central_asia,,coastline,others,europe,,TRUE,_yug
i256,zmb,sub_saharan_africa,lower_middle_income,landlocked,g77,africa,christian,TRUE,zmb
i257,zwe,sub_saharan_africa,low_income,landlocked,g77,africa,christian,TRUE,zwe
i258,ala,europe_central_asia,,coastline,others,europe,,TRUE,ala
i211,sds,sub_saharan_africa,low_income,landlocked,,,,TRUE,sds
i280,nl-cw,,high_income,,,,,TRUE,nl-cw
i271,sxm,,high_income,,,,,TRUE,sxm
,maf,,,,,,,TRUE,maf
,ata,,,,,,,TRUE,ata
,_bv,,,,,,,TRUE,_bv
,iot,,,,,,,TRUE,iot
,fr-cp,,,,,,,TRUE,fr-cp
,fr_tf,,,,,,,TRUE,fr_tf
,pse_gaz,,,,,,,TRUE,pse_gaz
,_hm,,,,,,,TRUE,_hm
,_mp,,,,,,,TRUE,_mp
,_gs,,,,,,,TRUE,_gs
,_um,,,,,,,TRUE,_um
,_vis,,,,,,,TRUE,_vis
,pse_web,,,,,,,TRUE,pse_web
