concept,name,concept_type,domain,indicator_url,color,scales,drill_up,unit,interpolation,description,tags
residential_electricity_use_total,Residential electricity use,measure,,http://spreadsheets.google.com/pub?key=teUZEfKw52HewO3D0YrQ5HA,,"[""linear"", ""log""]",,kWh,,"The total amount of residential electricity consumed during the given year, counted in kilowatt-hours (kWh).",electricity
electricity_generation_total,Electricity generation,measure,,http://spreadsheets.google.com/pub?key=pyj6tScZqmEehRG-9mMHYdg,,"[""linear"", ""log""]",,kWh,,Electricity generation (kilowatt-hours),electricity
electricity_generation_per_person,Electricity generation per person,measure,,http://spreadsheets.google.com/pub?key=pyj6tScZqmEeMtYNdMyLKOw,,"[""log"", ""linear""]",,kWh,,Electricity generation per person (kilowatt-hours),electricity
hydro_power_generation_total,Hydro electricity production,measure,,http://spreadsheets.google.com/pub?key=t1MShlv870O6LmFNEHazdEg,,"[""linear"", ""log""]",,tons in oil eqv,,"The amount of hydro power generated during the given year, counted in tonnes of oil equivalent (toe).",hydro
hydro_power_generation_per_person,Hydro electricity production per person,measure,,http://spreadsheets.google.com/pub?key=tSjVrGemv30eCh3jPZkXYCQ,,"[""linear"", ""log""]",,tons in oil eqv,,"The amount of hydro power generated per person during the given year, counted in tonnes of oil equivalent (toe).",hydro
nuclear_power_generation_total,Nuclear electricity production,measure,,http://spreadsheets.google.com/pub?key=trRb8ZIaBOD4KzikShshZ2g,,"[""linear"", ""log""]",,tons in oil eqv,,"The amount of electricity produced by nuclear power plants in a given year, counted in tonnes of oil equivalent (toe).",nuclear
nuclear_power_generation_per_person,Nuclear electricity production per person,measure,,http://spreadsheets.google.com/pub?key=t28UhT9IaWINamciSiJIS7w,,"[""linear"", ""log""]",,tons in oil eqv,,"The amount of electricity produced by nuclear power plants per person in a given year, counted in tonnes of oil equivalent (toe).",nuclear
natural_gas_production_total,Natural gas production,measure,,http://spreadsheets.google.com/pub?key=pyj6tScZqmEfv2K6dZmskWg,,"[""linear"", ""log""]",,tons in oil eqv,,Natural gas production (tonnes oil equivalent),natural_gas
natural_gas_production_per_person,Natural gas production per person,measure,,http://spreadsheets.google.com/pub?key=pyj6tScZqmEf0IBo_AGrgKA,,"[""log"", ""linear""]",,tons in oil eqv,,Natural gas production per person (tonnes oil equivalent),natural_gas
natural_gas_proven_reserves_per_person,Natural gas proven reserves per person,measure,,http://spreadsheets.google.com/pub?key=pyj6tScZqmEfZd6DbNF1MKA,,"[""log"", ""linear""]",,tons in oil eqv,,Natural gas proven reserves per person (tonnes oil equivalent),natural_gas
natural_gas_proved_reserves_total,Natural gas proved reserves,measure,,http://spreadsheets.google.com/pub?key=pyj6tScZqmEc5qiv87tr3NA,,"[""linear"", ""log""]",,tons in oil eqv,,Proven reserves of natural gas (tonnes oil equivalent),natural_gas
oil_production_per_person,Oil production per person,measure,,http://spreadsheets.google.com/pub?key=pyj6tScZqmEeUgUuvuJTONQ,,"[""linear"", ""log""]",,tons,,Crude oil production per person (tonnes oil equivalent),oil
oil_production_total,Oil production,measure,,http://spreadsheets.google.com/pub?key=pyj6tScZqmEdNIa3ckVXaCQ,,"[""linear"", ""log""]",,tons,,Total amount of crude oil production (tonnes oil equivalent),oil
oil_proven_reserves_per_person,Oil proven reserves per person,measure,,http://spreadsheets.google.com/pub?key=pyj6tScZqmEfrI4YlDJDUag,,"[""log"", ""linear""]",,tons,,Oil proven reserves per person (tonnes oil equivalent),oil
oil_proved_reserves_total,Oil proved reserves,measure,,http://spreadsheets.google.com/pub?key=pyj6tScZqmEfJfS1WYrLeBA,,"[""linear"", ""log""]",,tons,,Proven reserves of oil (tonnes oil equivalent),oil
oil_consumption_total,Oil consumption,measure,,http://spreadsheets.google.com/pub?key=pyj6tScZqmEcm0fIa0IVtKw,,"[""linear"", ""log""]",,tons,,Total amount of crude oil consumption (tonnes oil equivalent),oil
oil_consumption_per_cap,Oil consumption per person,measure,,http://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdERNZmlfUGM5YVE3bmEwODdlRDFqSkE,,"[""linear"", ""log""]",,tons,,Oil Consumption per capita (tonnes per year per person),oil
drought_deaths_annual_number,Drought deaths,measure,,http://spreadsheets.google.com/pub?key=rvRwTPi0n_94EScVA3YjLeg,,"[""linear"", ""log""]",,annual,,Number of people killed in drought during the given year.,disasters
earthquake_deaths_annual_number,Earthquake deaths,measure,,http://spreadsheets.google.com/pub?key=rvbbs7uxQc7swJ4RR2BcQfA,,"[""linear"", ""log""]",,annual,,Number of people killed in earthquake during the given year.,disasters
epidemic_deaths_annual_number,Epidemic deaths,measure,,http://spreadsheets.google.com/pub?key=rvtZF_JC0OI27tL66o6hiMQ,,"[""linear"", ""log""]",,annual,,Number of people killed in epidemic during the given year.,disasters
extreme_temperature_deaths_annual_number,Extreme temperature deaths,measure,,http://spreadsheets.google.com/pub?key=r4WUTsck3NfccM6UsKlGF7g,,"[""linear"", ""log""]",,annual,,Number of people killed in extreme temperature during the given year.,disasters
flood_deaths_annual_number,Flood deaths,measure,,http://spreadsheets.google.com/pub?key=rtESPUlrTyLEoHpURqE8RAg,,"[""linear"", ""log""]",,annual,,Number of people killed in flood during the given year.,disasters
storm_deaths_annual_number,Storm deaths,measure,,http://spreadsheets.google.com/pub?key=r0JePjBgBQqtuh5wh1Wz9CA,,"[""linear"", ""log""]",,annual,,Number of people killed in storm during the given year.,disasters
tsunami_deaths_annual_number,Tsunami deaths,measure,,http://spreadsheets.google.com/pub?key=rdBew79hTeXcIXhB1VCTPfg,,"[""linear"", ""log""]",,annual,,Number of people killed in tsunami during the given year.,disasters
plane_crash_deaths_annual_number,Plane crash deaths,measure,,http://spreadsheets.google.com/pub?key=rSv5aMDwESiKg-yA__-tRFg,,"[""linear"", ""log""]",,annual,,Number of people killed in air accidents during the given year.,disasters
drought_affected_annual_number,Drought affected,measure,,http://spreadsheets.google.com/pub?key=rAYA0bjnfYwzXnir0cigijQ,,"[""linear"", ""log""]",,annual,,"Total number of people getting affected, injured or killed in drought during the given year.",disasters
earthquake_affected_annual_number,Earthquake affected,measure,,http://spreadsheets.google.com/pub?key=rG_BjsDwyS2n7DANNH3i5vQ,,"[""linear"", ""log""]",,annual,,"Total number of people getting affected, injured or killed in earthquake during the given year.",disasters
epidemic_affected_annual_number,Epidemic affected,measure,,http://spreadsheets.google.com/pub?key=r6H8dfVPu2CJ2nzI8X0jurw,,"[""linear"", ""log""]",,annual,,"Total number of people getting affected, injured or killed in epidemic during the given year.",disasters
extreme_temperature_affected_annual_number,Extreme temperature affected,measure,,http://spreadsheets.google.com/pub?key=ryPd-H6Kn3wcHC50zyImqUg,,"[""linear"", ""log""]",,annual,,"Total number of people getting affected, injured or killed in extreme temperature during the given year.",disasters
flood_affected_annual_number,Flood affected,measure,,http://spreadsheets.google.com/pub?key=rsCDusOObseaoBUdarzw7Kw,,"[""linear"", ""log""]",,annual,,"Total number of people getting affected, injured or killed in flood during the given year.",disasters
storm_affected_annual_number,Storm affected,measure,,http://spreadsheets.google.com/pub?key=rAxnmm4ZL2HrYjIqJX0Ch-w,,"[""linear"", ""log""]",,annual,,"Total number of people getting affected, injured or killed in storm during the given year.",disasters
tsunami_affected_annual_number,Tsunami affected,measure,,http://spreadsheets.google.com/pub?key=rskN46tpbe6Iy3K_ULk1_cQ,,"[""linear"", ""log""]",,annual,,"Total number of people getting affected, injured or killed in tsunami during the given year.",disasters
plane_crash_affected_annual_number,Plane crash affected,measure,,http://spreadsheets.google.com/pub?key=rhbS3kWOfMzvY4ofUFoeFJg,,"[""log"", ""linear""]",,annual,,"Total number of people getting affected, injured or killed in air accidents during the given year.",disasters
co2_intensity_of_economic_output_kg_co2_per_2005_ppp_of_gdp,CO2 intensity of economic output,measure,,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdEVUcEJVRzlFWWRRcjhveGlrQzdwdUE,,"[""linear"", ""log""]",,kg CO2 per $ of GDP,,Measures the amount of CO2 (kg) emitted for every dollar of GDP (constant purchasing power parity-adjusted) produced.,emissions
cumulative_co2_emissions_tonnes,Cumulative CO2 emissions,measure,,http://spreadsheets.google.com/pub?key=pyj6tScZqmEed4UamoiNCFA,,"[""log"", ""linear""]",,tons,,Total CO2 emissions from fossil fuel for the period between 1751 and the relevant year in metric tonnes. ,emissions
sulfur_emissions_per_person_kg,Sulfur emissions per person,measure,,http://spreadsheets.google.com/pub?key=phAwcNAVuyj0uBndTxZAXNQ,,"[""log"", ""linear""]",,kg,,Sulfur emissions per person. Associated with acid rain. (Kilograms of sulfur per person and year). ,emissions
yearly_co2_emissions_tonnes,CO2 emissions (2012 version),measure,,http://spreadsheets.google.com/pub?key=phAwcNAVuyj1NHPC9MyZ9SQ,,"[""log"", ""linear""]",,kilotons,,Total carbon dioxide emissions from the burning of fossil fuels during the given year (1000 metric tonnes of CO2).,alternative_other_data
total_sulfur_emission_kilotonnes,Sulfur emission,measure,,http://spreadsheets.google.com/pub?key=t9SYWh7siLJDzyZYN1R4HfQ,,"[""log"", ""linear""]",,kilotons,,Total sulfur emissions per year. Associated with acid rain. 1000 tonnes of sulfur per year. ,emissions
forest_land_total_area_ha,Forest total area,measure,,http://spreadsheets.google.com/pub?key=pp59adS3CHWeB1N1HlpFQVQ,,"[""log"", ""linear""]",,ha,,"Total area of land (hectares) which is spanning more than 0.5 hectares with trees higher than 5 meters and a canopy cover of more than 10%, or trees able to reach these thresholds in situ. It does not include land that is predominantly under agricultural or urban land use.",forestry
primary_forest_area_ha,Primary forest area,measure,,http://spreadsheets.google.com/pub?key=pp59adS3CHWeECA6Gf__BNQ,,"[""log"", ""linear""]",,ha,,"Total area of forest land (hectares) with native species, where there are no clearly visible indications of human activities and the ecological processes are not significantly disturbed.",forestry
planted_forest_area_ha,Planted forest area,measure,,http://spreadsheets.google.com/pub?key=pp59adS3CHWc4aJd9fV8zZg,,"[""log"", ""linear""]",,ha,,"Total area of forest land (hectares) established through planting or seeding, basically of introduced species and in some cases native species.",forestry
wood_removal_cubic_meters,Wood removal,measure,,http://spreadsheets.google.com/pub?key=pp59adS3CHWe8O-N9RgxzDw,,"[""log"", ""linear""]",,cubic meters,,"The wood removed (volume of round wood over bark) for production of goods and services other than energy production (wood fuel), excluding felled trees left in the forest. ",forestry
forest_coverage_percent,Forest coverage,measure,,http://spreadsheets.google.com/pub?key=pp59adS3CHWfRGgfhjf8FBQ,,"[""linear"", ""log""]",,%,,"Percentage of total land area that has been covered with forest during the given year; excluding other wooded land, which is spanning more than 0.5 hectares, with trees higher than 5 meters and a canopy cover of 5-10 percent, or trees able to reach these thresholds in situ, or with a combined cover of shrubs, bushes and trees above 10 percent.",forestry
biomass_stock_in_forest_tons,Biomass stock in forest,measure,,http://spreadsheets.google.com/pub?key=pp59adS3CHWcsSl830EklJA,,"[""log"", ""linear""]",,tons,,"Biomass stock refers to organic material both above-ground and below-ground, and both living and dead, e.g., trees, crops, grasses, tree litter, roots etc.; including the pool definition for above- and below-ground biomass in forest; other wooded land not included. ",forestry
privately_owned_forest_land_percent,Private forest land,measure,,http://spreadsheets.google.com/pub?key=pp59adS3CHWdFemmS_iN5fw,,"[""linear"", ""log""]",,%,,"Percentage of forest land that is owned by individuals, families, private co-operatives, corporations, industries, private religious and educational institutions, pension or investment funds, and other private institutions.",forestry
privately_owned_other_wooded_land_percent,Private other wooded land,measure,,http://spreadsheets.google.com/pub?key=pp59adS3CHWdtCylhQOQiXw,,"[""linear"", ""log""]",,%,,"Percentage of other wooded land that is owned by individuals, families, private co-operatives, corporations, industries, private religious and educational institutions, pension or investment funds, and other private institutions.",forestry
forest_products_removal_total_dollar,"Forest products removal, total",measure,,http://spreadsheets.google.com/pub?key=pp59adS3CHWf66stZ2oNUAA,,"[""log"", ""linear""]",,$,,"Total annual value of forest products in current USD, including both wood and non-wood removal during that year.",forestry
forest_products_removal_per_ha_dollar,"Forest products removal, per ha",measure,,http://spreadsheets.google.com/pub?key=pp59adS3CHWd9CVdfFx1dEw,,"[""linear"", ""log""]",,$,,"Total annual value of forest products in current USD per hectares, including both wood and non-wood removal during that year.",forestry
agricultural_land_percent_of_land_area,Agricultural land,measure,,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdEF3alRGS0JQZVgwSW1FWUxUQmZoWXc,,"[""linear"", ""log""]",,% of land area,,"Agricultural land refers to the share of land area that is arable, under permanent crops, and under permanent pastures. Includes land under temporary crops, temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. It excludes land under trees grown for wood or timber.",geography
forest_area_sq_km,Forest area,measure,,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdFRuaV91Mm9JeUhwR1hHRXJhV3ZBQkE,,"[""linear"", ""log""]",,sq. km,,"Forest area is land under natural or planted stands of trees, whether productive or not.",geography
surface_area_sq_km,Surface area,measure,,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdFFWcWdEM0RXT1lRZ0wwRVNsakZCaWc,,"[""linear"", ""log""]",,sq. km,,"A country's total area, including areas under inland bodies of water and some coastal waterways.",geography
renewable_water_cu_meters_per_person,Renewable water,measure,,http://spreadsheets.google.com/pub?key=rPN9VekxwpUzwowMaxg9Ybw,,"[""linear"", ""log""]",,cu meters per person,,"Actual quantity of renewable water resources per person per year in cubic meters. Renewable water resources refer to the average annual flow of rivers and recharge of groundwater generated from perecipitation, which corresponds to the maximum theoretical yearly amount of water actually available for a country at a given moment. and the resources shared with neighboring countries (geopolitical constraints) have been taken into account. ",environment_water
internal_renewable_water_cu_meters_per_person,Internal renewable water,measure,,http://spreadsheets.google.com/pub?key=riLRFECHMsTq7OTa2KYZCWA,,"[""linear"", ""log""]",,cu meters per person,,Quantity of internal renewable water resources per person per year in cubic meters. Internal Renewable Water Resources (IRWR): Long-term average annual flow of rivers and recharge of aquifers generated from endogenous precipitation. Double counting of surface water and groundwater resources is avoided by deducting the overlap from the sum of the surface water and groundwater resources. ,environment_water
water_withdrawal_cu_meters_per_person,Water withdrawal,measure,,http://spreadsheets.google.com/pub?key=rezAT4nYhKc2Loe6CxWSPWw,,"[""linear"", ""log""]",,cu meters per person,,"Total annual quantity of freshwater withdrawn per person per year, counted in cubic meters. It includes renewable freshwater resources as well as potential over-abstraction of renewable groundwater or withdrawal of fossil groundwater and eventual use of desalinated water or treated wastewater. It does not include other categories of water use, such as for cooling of power plants, mining, recreation, navigation, fisheries, etc., which are sectors that are characterized by a very low net consumption rate.",environment_water
municipal_water_withdrawal_cu_meters_per_person,Municipal water withdrawal,measure,,http://spreadsheets.google.com/pub?key=ruUmTRBZ5xYjpOAhOT9VQbw,,"[""linear"", ""log""]",,cu meters per person,,"Volume of water withdrawal per person per year directly used by the population, counted in cubic meters. It includes renewable freshwater resources as well as potential over-abstraction of renewable groundwater or withdrawal of fossil groundwater and the potential use of desalinated water or treated wastewater. It is usually computed as the total water withdrawn by the public distribution network. It can include that part of the industries, which is connected to the municipal network. The ratio between the net consumption and the water withdrawn can vary from 5 to 15% in urban areas and from 10 to 50% in rural areas.",environment_water
agricultural_water_withdrawal_percent_of_total,Agricultural water withdrawal share,measure,,http://spreadsheets.google.com/pub?key=rab3jHe_JZrU1pqlX0xnQEw,,"[""linear"", ""log""]",,%,,"Percentage of the total water withdrawal used in agriculture, including renewable freshwater resources as well as potential over-abstraction of renewable groundwater or withdrawal of fossil groundwater, use of agricultural drainage water, desalinated water and treated wastewater. It also includes water withdrawn for irrigation purposes and for livestock watering, although depending on the country this last category sometimes is included in municipal water withdrawal. As far as the water withdrawn for irrigation is concerned, the value far exceeds the consumptive use of irrigation because of water lost in its distribution from its source to the crops. ",environment_water
industrial_water_withdrawal_percent_of_total,Industrial water withdrawal share,measure,,http://spreadsheets.google.com/pub?key=rGKP-BBylLOM11iGahW1lxA,,"[""linear"", ""log""]",,%,,"Percentage of the total water withdrawal used in industry, including renewable water resources as well as potential over-abstraction of renewable groundwater or withdrawal of fossil groundwater and potential use of desalinated water or treated wastewater. Usually, this sector refers to self-supplied industries not connected to any distribution network. The ratio between net consumption and withdrawal is estimated at less than 5%.",environment_water
municipal_water_withdrawal_percent_of_total,Municipal water withdrawal share,measure,,http://spreadsheets.google.com/pub?key=r58mA3XNUvBov6M_1T_FiUg,,"[""linear"", ""log""]",,%,,"Percentage of the total water withdrawal directly used by the population, including renewable freshwater resources as well as potential over-abstraction of renewable groundwater or withdrawal of fossil groundwater and the potential use of desalinated water or treated wastewater. It is usually computed as the total water withdrawn by the public distribution network. It can include that part of the industries, which is connected to the municipal network. The ratio between the net consumption and the water withdrawn can vary from 5 to 15% in urban areas and from 10 to 50% in rural areas.",environment_water
desalinated_water_produced_billion_cu_meters,Desalinated water produced,measure,,http://spreadsheets.google.com/pub?key=rt3BaikcRwJBNC0CvQsjDCA,,"[""linear"", ""log""]",,billion cu meters,,"Total quantity of the production of freshwater by desalination of brackish or saltwater (mostly for domestic purposes) during the given year, counted in billion cubic meters.",environment_water
total_water_withdrawal_billion_cu_meters,Total water withdrawal,measure,,http://spreadsheets.google.com/pub?key=rIG3ZWxv381t2bIL2BNaIVw,,"[""linear"", ""log""]",,billion cu meters,,"Annual quantity of freshwater withdrawn for agricultural, industrial and municipal purposes, counted in billion cubic meters. It includes renewable freshwater resources as well as potential over-abstraction of renewable groundwater or withdrawal of fossil groundwater and eventual use of desalinated water or treated wastewater. It does not include other categories of water use, such as for cooling of power plants, mining, recreation, navigation, fisheries, etc., which are sectors that are characterized by a very low net consumption rate.",environment_water
infant_mortality_rate_per_1000_births,Infant mortality rate,measure,,http://spreadsheets.google.com/pub?key=phAwcNAVuyj0NpF2PTov2Cw,,"[""log"", ""linear""]",,deaths under age 1 per 1000 births,,Deaths of children during first year of life (per 1000 live births). ,newborn_infants
underweight_children,Underweight children,measure,,http://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdDdTQUtvNEJhb0RjRjU0WUtET1R0Vnc,,"[""linear"", ""log""]",,%,,Percent of children under five who are more than two standard deviations below average weight for age. ,health
all_causes_deaths_in_newborn_per_1000_births,All causes deaths in newborn,measure,,http://spreadsheets.google.com/pub?key=tbpc_fYEqPzaE7pDWBG84Rw,,"[""log"", ""linear""]",,per 1 000 births,,"All causes deaths in newborn (per 1,000 births)",causes_of_newborn_deaths
birth_asphyxia_deaths_in_newborn_per_1000_births,Birth asphyxia deaths in newborn,measure,,http://spreadsheets.google.com/pub?key=t_0WcTuc94YT9cJVvy1tmUg,,"[""log"", ""linear""]",,per 1 000 births,,"Birth asphyxia deaths in newborn (per 1,000 births)",causes_of_newborn_deaths
congenital_deaths_in_newborn_per_1000_births,Congenital deaths in newborn,measure,,http://spreadsheets.google.com/pub?key=tneegXfZGHA0-nLG25ypnyg,,"[""log"", ""linear""]",,per 1 000 births,,"Congenital deaths in newborn (per 1,000 births)",causes_of_newborn_deaths
diarrhoeal_deaths_in_newborn_per_1000_births,Diarrhoeal deaths in newborn,measure,,http://spreadsheets.google.com/pub?key=tX7NQAP_5H4TOS1OEnxdxYw,,"[""log"", ""linear""]",,per 1 000 births,,"Diarrhoeal deaths in newborn (per 1,000 births)",causes_of_newborn_deaths
pneumonia_deaths_in_newborn_per_1000_births,Pneumonia deaths in newborn,measure,,http://spreadsheets.google.com/pub?key=tOXHWd6PcUGK3Dg-k2N8Clw,,"[""log"", ""linear""]",,per 1 000 births,,"Pneumonia deaths in newborn (per 1,000 births)",causes_of_newborn_deaths
prematurity_deaths_in_newborn_per_1000_births,Prematurity deaths in newborn,measure,,http://spreadsheets.google.com/pub?key=tVMPnbOfGdvTRrtbuIbRw5w,,"[""log"", ""linear""]",,per 1 000 births,,"Prematurity deaths in newborn (per 1,000 births)",causes_of_newborn_deaths
sepsis_deaths_in_newborn_per_1000_births,Sepsis deaths in newborn,measure,,http://spreadsheets.google.com/pub?key=tGVRSoAJtdwQ30CqCSexKJA,,"[""log"", ""linear""]",,per 1 000 births,,"Sepsis deaths in newborn (per 1,000 births)",causes_of_newborn_deaths
tetanus_deaths_in_newborn_per_1000_births,Tetanus deaths in newborn,measure,,http://spreadsheets.google.com/pub?key=t1E7e32tlIxtJU9UhnR9nJg,,"[""log"", ""linear""]",,per 1 000 births,,"Tetanus deaths in newborn (per 1,000 births)",causes_of_newborn_deaths
other_deaths_in_newborn_per_1000_births,Other deaths in newborn,measure,,http://spreadsheets.google.com/pub?key=tiYIen5OQP0fKiQbg6g8VyA,,"[""log"", ""linear""]",,per 1 000 births,,"Other deaths in newborn (per 1,000 births)",causes_of_newborn_deaths
all_causes_deaths_in_newborn_total_deaths,"All causes deaths in newborn, total",measure,,http://spreadsheets.google.com/pub?key=tBVcAKWEbc2s687q6D9yuYg,,"[""log"", ""linear""]",,,,All causes deaths in newborn (total deaths),causes_of_newborn_deaths
birth_asphyxia_deaths_in_newborn_total_deaths,"Birth asphyxia deaths in newborn, total",measure,,http://spreadsheets.google.com/pub?key=twrll6eL8GeIU4P71aTakmg,,"[""log"", ""linear""]",,,,Birth asphyxia deaths in newborn (total deaths),causes_of_newborn_deaths
congenital_deaths_in_newborn_total_deaths,"Congenital deaths in newborn, total",measure,,http://spreadsheets.google.com/pub?key=tUvFsKz2lGL-GtPmw47VLdg,,"[""log"", ""linear""]",,,,Congenital deaths in newborn (total deaths),causes_of_newborn_deaths
diarrhoeal_deaths_in_newborn_total_deaths,"Diarrhoeal deaths in newborn, total",measure,,http://spreadsheets.google.com/pub?key=tKZcnGP_XImMXRZ4tZqtjMg,,"[""log"", ""linear""]",,,,Diarrhoeal deaths in newborn (total deaths),causes_of_newborn_deaths
pneumonia_deaths_in_newborn_total_deaths,"Pneumonia deaths in newborn, total",measure,,http://spreadsheets.google.com/pub?key=tjvbVGhVx7YCk1uguLrkaag,,"[""log"", ""linear""]",,,,Pneumonia deaths in newborn (total deaths),causes_of_newborn_deaths
prematurity_deaths_in_newborn_total_deaths,"Prematurity deaths in newborn, total",measure,,http://spreadsheets.google.com/pub?key=tVyFL3CyRTuGEnRQErDeSLQ,,"[""log"", ""linear""]",,,,Prematurity deaths in newborn (total deaths),causes_of_newborn_deaths
sepsis_deaths_in_newborn_total_deaths,"Sepsis deaths in newborn, total",measure,,http://spreadsheets.google.com/pub?key=tRA1VmW2ZQ7sCsoD7AHIilg,,"[""log"", ""linear""]",,,,Sepsis deaths in newborn (total deaths),causes_of_newborn_deaths
tetanus_deaths_in_newborn_total_deaths,"Tetanus deaths in newborn, total",measure,,http://spreadsheets.google.com/pub?key=tB6Gkh4rLC9yB2TXfHSApIA,,"[""log"", ""linear""]",,,,Tetanus deaths in newborn (total deaths),causes_of_newborn_deaths
other_deaths_in_newborn_total_deaths,"Other deaths in newborn, total",measure,,http://spreadsheets.google.com/pub?key=tyPO4OLCIZtK5zcdkafcHMA,,"[""log"", ""linear""]",,,,Other deaths in newborn (total deaths),causes_of_newborn_deaths
all_causes_deaths_in_children_1_59_months_per_1000_births,All causes deaths in children,measure,,http://spreadsheets.google.com/pub?key=t9FP3_OPrE2ug_I_iNsbePg,,"[""log"", ""linear""]",,"1-59 months, per 1 000 births",,"All causes deaths in children 1-59 months (per 1,000 births)",causes_of_child_deaths
diarrhoeal_deaths_in_children_1_59_months_per_1000_births,Diarrhoeal deaths in children,measure,,http://spreadsheets.google.com/pub?key=tADSStUzP0ADEPYqsIfVHMQ,,"[""log"", ""linear""]",,"1-59 months, per 1 000 births",,"Diarrhoeal deaths in children 1-59 months (per 1,000 births)",causes_of_child_deaths
hiv_deaths_in_children_1_59_months_per_1000_births,HIV deaths in children,measure,,http://spreadsheets.google.com/pub?key=t4C4M_ynK9Ho8tGRj6a5U5w,,"[""log"", ""linear""]",,"1-59 months, per 1 000 births",,"HIV deaths in children 1-59 months (per 1,000 births)",causes_of_child_deaths
injury_deaths_in_children_1_59_months_per_1000_births,Injury deaths in children,measure,,http://spreadsheets.google.com/pub?key=tfOi0Ji7pJDJbxJVqwJXj9g,,"[""log"", ""linear""]",,"1-59 months, per 1 000 births",,"Injury deaths in children 1-59 months (per 1,000 births)",causes_of_child_deaths
malaria_deaths_in_children_1_59_months_per_1000_births,Malaria deaths in children,measure,,http://spreadsheets.google.com/pub?key=tunqKEwokfnJMDA1g7W8KwA,,"[""log"", ""linear""]",,"1-59 months, per 1 000 births",,"Malaria deaths in children 1-59 months (per 1,000 births)",causes_of_child_deaths
measles_deaths_in_children_1_59_months_per_1000_births,Measles deaths in children,measure,,http://spreadsheets.google.com/pub?key=tfyKUbGu10P_WOgHSOHhCJg,,"[""log"", ""linear""]",,"1-59 months, per 1 000 births",,"Measles deaths in children 1-59 months (per 1,000 births)",causes_of_child_deaths
meningitis_deaths_in_children_1_59_months_per_1000_births,Meningitis deaths in children,measure,,http://spreadsheets.google.com/pub?key=tZhYsw0sliDInwowT0iWTLQ,,"[""log"", ""linear""]",,"1-59 months, per 1 000 births",,"Meningitis deaths in children 1-59 months (per 1,000 births)",causes_of_child_deaths
ncd_deaths_in_children_1_59_months_per_1000_births,NCD deaths in children,measure,,http://spreadsheets.google.com/pub?key=tqAEpy6pMtN7ULlF6uIzEog,,"[""log"", ""linear""]",,"1-59 months, per 1 000 births",,"NCD deaths in children 1-59 months (per 1,000 births)",causes_of_child_deaths
pertussis_deaths_in_children_1_59_months_per_1000_births,Pertussis deaths in children,measure,,http://spreadsheets.google.com/pub?key=t4RbfeK6Dtt2srxw4REoXxQ,,"[""log"", ""linear""]",,"1-59 months, per 1 000 births",,"Pertussis deaths in children 1-59 months (per 1,000 births)",causes_of_child_deaths
pneumonia_deaths_in_children_1_59_months_per_1000_births,Pneumonia deaths in children,measure,,http://spreadsheets.google.com/pub?key=tCe8N5KXAYCJteQokAqVM_A,,"[""log"", ""linear""]",,"1-59 months, per 1 000 births",,"Pneumonia deaths in children 1-59 months (per 1,000 births)",causes_of_child_deaths
other_infections_deaths_in_children_1_59_months_per_1000_birt,Other infections deaths in children,measure,,http://spreadsheets.google.com/pub?key=tVAqgYwCDZfcq9jSCI87SAw,,"[""log"", ""linear""]",,"1-59 months, per 1 000 births",,"Other infections deaths in children 1-59 months (per 1,000 births)",causes_of_child_deaths
all_causes_deaths_in_children_1_59_months_total_deaths,"All causes deaths in children, total",measure,,http://spreadsheets.google.com/pub?key=taYeez4Mkk8OvdH-q4QAxxQ,,"[""log"", ""linear""]",,1-59 months,,All causes deaths in children 1-59 months (total deaths),causes_of_child_deaths
diarrhoeal_deaths_in_children_1_59_months_total_deaths,"Diarrhoeal deaths in children, total",measure,,http://spreadsheets.google.com/pub?key=tDzIq4iIDwNtYthN_QYZwZg,,"[""log"", ""linear""]",,1-59 months,,Diarrhoeal deaths in children 1-59 months (total deaths),causes_of_child_deaths
hiv_deaths_in_children_1_59_months_total_deaths,"HIV deaths in children, total",measure,,http://spreadsheets.google.com/pub?key=tQe6yinBBauXLvBFroZEL3Q,,"[""log"", ""linear""]",,1-59 months,,HIV deaths in children 1-59 months (total deaths),causes_of_child_deaths
injury_deaths_in_children_1_59_months_total_deaths,"Injury deaths in children, total",measure,,http://spreadsheets.google.com/pub?key=tnRIpcH0InZUFz7f2ziXKog,,"[""log"", ""linear""]",,1-59 months,,Injury deaths in children 1-59 months (total deaths),causes_of_child_deaths
malaria_deaths_in_children_1_59_months_total_deaths,"Malaria deaths in children, total",measure,,http://spreadsheets.google.com/pub?key=t1Vf-4rkGlG20pYzuGib3hw,,"[""log"", ""linear""]",,1-59 months,,Malaria deaths in children 1-59 months (total deaths),causes_of_child_deaths
measles_deaths_in_children_1_59_months_total_deaths,"Measles deaths in children, total",measure,,http://spreadsheets.google.com/pub?key=tYZAce4wGXEp5Jve3AI7yWQ,,"[""log"", ""linear""]",,1-59 months,,Measles deaths in children 1-59 months (total deaths),causes_of_child_deaths
