geo,geo.name,geo.cat,geo.world_4region
pan,Panama,country,americas
png,Papua New Guinea,country,asia
pry,Paraguay,country,americas
per,Peru,country,americas
phl,Philippines,country,asia
pcn,Pitcairn,country,asia
pol,Poland,country,europe
prt,Portugal,country,europe
pri,Puerto Rico,country,americas
qat,Qatar,country,asia
reu,Reunion,country,africa
rou,Romania,country,europe
rus,Russia,country,europe
rwa,Rwanda,country,africa
_stb,St. Barth�lemy,country,americas
shn,St. Helena,country,africa
kna,St. Kitts and Nevis,country,
lca,St. Lucia,country,americas
_stm,St. Martin,country,americas
vct,St. Vincent and the Grenadines,country,
spm,St.-Pierre-et-Miquelon,country,
wsm,Samoa,country,asia
smr,San Marino,country,europe
stp,Sao Tome and Principe,country,africa
sau,Saudi Arabia,country,asia
sen,Senegal,country,africa
srb,Serbia,country,europe
scg,Serbia and Montenegro,country,
_srbek,Serbia excluding Kosovo,country,
syc,Seychelles,country,africa
sle,Sierra Leone,country,africa
sgp,Singapore,country,asia
svk,Slovak Republic,country,europe
svn,Slovenia,country,europe
slb,Solomon Islands,country,asia
som,Somalia,country,africa
_sol,Somaliland,country,africa
zaf,South africaica,country,africa
_sos,South Ossetia,country,europe
ssd,South Sudan,country,africa
esp,Spain,country,europe
lka,Sri Lanka,country,asia
sdn,Sudan,country,africa
sur,Suriname,country,americas
sjm,Svalbard,country,europe
swz,Swaziland,country,africa
swe,Sweden,country,europe
che,Switzerland,country,europe
syr,Syria,country,asia
twn,Taiwan,country,asia
tjk,Tajikistan,country,asia
tza,Tanzania,country,africa
tha,Thailand,country,asia
tls,Timor-Leste,country,asia
tgo,Togo,country,africa
tkl,Tokelau,country,asia
ton,Tonga,country,asia
_tra,Transnistria,country,europe
tto,Trinidad and Tobago,country,americas
tun,Tunisia,country,africa
tur,Turkey,country,europe
tkm,Turkmenistan,country,asia
tca,Turks and Caicos Islands,country,
tuv,Tuvalu,country,asia
uga,Uganda,country,africa
ukr,Ukraine,country,europe
are,United Arab Emirates,country,asia
gbr,United Kingdom,country,europe
usa,United States,country,americas
ury,Uruguay,country,americas
_ussr,USSR,country,europe
uzb,Uzbekistan,country,asia
wlf,Wallis et Futuna,country,asia
vut,Vanuatu,country,asia
ven,Venezuela,country,americas
pse,West Bank and Gaza,country,asia
_brd,West Germany,country,europe
esh,Western Sahara,country,africa
vnm,Vietnam,country,asia
vir,Virgin Islands (U.S.),country,
_noy,North Yemen (former),country,asia
_soy,South Yemen (former),country,asia
yem,Yemen,country,asia
_yug,Yugoslavia,country,europe
zmb,Zambia,country,africa
zwe,Zimbabwe,country,africa
ala,Åland,country,europe
_ngo,Ngorno-Karabakh,country,europe
