country;indicator;1960;1965;1970;1975;1980;1985;1990;1995;2000;2005;2010;;;;;;;;;;;
Ireland;Migrant stock (male), % of population;2.48;3.16;4.27;5.28;6.45;6.21;6.39;7.28;10.14;14.79;19.72;;;;;;;;;;;
Isle of Man;Migrant stock (male), % of population;46.13;47.21;44.60;44.27;44.38;48.95;48.48;48.56;49.97;51.15;54.49;;;;;;;;;;;
Israel;Migrant stock (male), % of population;55.79;49.69;47.52;41.86;36.62;35.42;34.29;33.74;33.15;35.47;35.91;;;;;;;;;;;
Italy;Migrant stock (male), % of population;0.82;1.08;1.42;1.61;1.75;2.00;2.33;2.84;3.54;5.01;7.16;;;;;;;;;;;
Jamaica;Migrant stock (male), % of population;1.44;1.46;1.45;1.25;1.10;0.95;0.87;0.91;0.97;1.05;1.13;;;;;;;;;;;
Japan;Migrant stock (male), % of population;0.82;0.79;0.75;0.73;0.72;0.73;0.91;1.11;1.29;1.48;1.58;;;;;;;;;;;
Jordan;Migrant stock (male), % of population;42.18;40.52;32.66;35.06;36.16;34.18;34.59;36.49;39.14;41.70;45.56;;;;;;;;;;;
Kenya;Migrant stock (male), % of population;0.92;1.25;1.54;1.27;1.03;0.80;0.71;1.94;2.40;2.17;1.97;;;;;;;;;;;
Kiribati;Migrant stock (male), % of population;2.38;1.91;1.54;1.85;3.37;3.56;3.14;2.71;2.49;2.25;2.06;;;;;;;;;;;
Kuwait;Migrant stock (male), % of population;38.82;58.58;68.44;71.08;76.63;75.10;79.35;72.12;74.79;80.35;81.05;;;;;;;;;;;
Lao People's Democratic Republic;Migrant stock (male), % of population;0.96;0.88;0.80;0.72;0.86;0.65;0.56;0.50;0.42;0.36;0.31;;;;;;;;;;;
Lebanon;Migrant stock (male), % of population;8.10;8.08;7.94;7.78;8.99;12.55;18.49;19.48;19.12;18.36;18.51;;;;;;;;;;;
Lesotho;Migrant stock (male), % of population;0.40;0.42;0.43;0.46;0.89;1.31;0.58;0.41;0.38;0.36;0.35;;;;;;;;;;;
Liberia;Migrant stock (male), % of population;3.43;3.80;4.27;4.72;4.99;4.30;4.15;11.36;6.27;3.21;2.59;;;;;;;;;;;
Libyan Arab Jamahiriya;Migrant stock (male), % of population;3.55;3.46;7.02;11.03;12.24;13.05;12.82;12.87;12.93;12.96;13.02;;;;;;;;;;;
Liechtenstein;Migrant stock (male), % of population;23.22;27.54;32.56;36.55;41.00;39.15;41.26;40.43;35.55;35.67;36.46;;;;;;;;;;;
Luxembourg;Migrant stock (male), % of population;13.83;15.04;16.83;18.92;22.89;26.88;30.00;31.30;32.42;33.79;35.32;;;;;;;;;;;
Macao Special Administrative Region of China;Migrant stock (male), % of population;53.42;46.55;40.44;43.70;47.08;49.66;52.21;52.05;51.60;55.64;55.48;;;;;;;;;;;
Madagascar;Migrant stock (male), % of population;2.46;1.74;1.16;0.76;0.63;0.53;0.44;0.36;0.30;0.24;0.20;;;;;;;;;;;
Malawi;Migrant stock (male), % of population;8.56;7.53;6.55;5.55;4.64;3.91;12.09;3.15;2.32;1.99;1.71;;;;;;;;;;;
Malaysia;Migrant stock (male), % of population;0.79;2.40;7.43;6.31;6.05;6.24;6.11;6.32;7.25;8.57;9.12;;;;;;;;;;;
Maldives;Migrant stock (male), % of population;1.74;1.66;1.59;1.50;1.45;1.40;1.32;1.24;1.20;1.17;1.14;;;;;;;;;;;
Mali;Migrant stock (male), % of population;3.26;2.98;2.73;2.49;2.29;2.09;1.98;1.90;1.64;1.48;1.30;;;;;;;;;;;
Malta;Migrant stock (male), % of population;0.46;1.72;2.89;2.30;1.71;1.27;1.41;1.62;2.07;2.82;3.66;;;;;;;;;;;
Marshall Islands;Migrant stock (male), % of population;6.60;6.24;5.88;5.19;4.76;4.21;3.77;3.59;3.59;3.40;3.13;;;;;;;;;;;
Martinique;Migrant stock (male), % of population;2.73;3.78;4.39;4.88;7.47;9.47;11.01;12.47;13.96;16.01;17.12;;;;;;;;;;;
Mauritania;Migrant stock (male), % of population;1.66;1.85;2.06;2.30;2.57;2.90;5.47;5.98;2.76;2.53;3.36;;;;;;;;;;;
Mauritius;Migrant stock (male), % of population;1.89;1.63;1.44;1.27;1.08;0.93;0.81;1.41;2.40;2.41;2.45;;;;;;;;;;;
Mayotte;Migrant stock (male), % of population;5.78;7.02;8.13;9.70;11.71;14.56;18.11;23.12;27.12;32.74;36.05;;;;;;;;;;;
Mexico;Migrant stock (male), % of population;0.64;0.49;0.38;0.38;0.43;0.64;0.85;0.51;0.53;0.59;0.67;;;;;;;;;;;
Micronesia (Federated States of);Migrant stock (male), % of population;15.06;12.21;9.87;9.31;7.51;5.87;4.81;3.90;3.13;2.77;2.52;;;;;;;;;;;
Monaco;Migrant stock (male), % of population;66.55;63.18;62.14;61.52;64.05;65.29;67.28;67.17;67.22;70.03;72.94;;;;;;;;;;;
Mongolia;Migrant stock (male), % of population;0.41;0.38;0.37;0.36;0.35;0.33;0.31;0.32;0.32;0.33;0.35;;;;;;;;;;;
Montserrat;Migrant stock (male), % of population;7.48;9.45;11.79;11.96;12.19;15.30;19.24;18.66;3.94;2.12;1.97;;;;;;;;;;;
Morocco;Migrant stock (male), % of population;3.29;1.63;0.80;0.51;0.35;0.27;0.23;0.21;0.19;0.17;0.16;;;;;;;;;;;
Mozambique;Migrant stock (male), % of population;0.14;0.10;0.08;0.34;0.84;0.45;0.90;1.55;2.00;1.93;1.89;;;;;;;;;;;
Myanmar;Migrant stock (male), % of population;1.51;1.32;1.14;0.98;0.62;0.39;0.36;0.28;0.23;0.21;0.18;;;;;;;;;;;
Namibia;Migrant stock (male), % of population;5.78;6.31;6.81;7.23;8.05;8.74;8.65;7.94;7.39;7.02;6.67;;;;;;;;;;;
Nauru;Migrant stock (male), % of population;17.58;28.76;37.66;46.91;49.09;50.55;48.26;47.41;50.34;53.97;57.50;;;;;;;;;;;
Nepal;Migrant stock (male), % of population;2.40;2.26;2.07;1.49;1.01;1.07;1.26;1.67;1.76;1.87;2.03;;;;;;;;;;;
Netherlands;Migrant stock (male), % of population;3.22;2.96;2.52;3.09;4.03;5.74;8.06;8.99;9.91;10.42;10.16;;;;;;;;;;;
Netherlands Antilles;Migrant stock (male), % of population;21.64;17.87;14.71;12.55;10.95;14.01;18.89;21.66;23.92;23.44;24.59;;;;;;;;;;;
New Caledonia;Migrant stock (male), % of population;16.14;22.19;25.13;27.28;25.77;24.24;23.89;24.86;24.64;24.58;25.10;;;;;;;;;;;
New Zealand;Migrant stock (male), % of population;14.81;15.33;14.99;16.38;15.30;14.86;15.61;16.04;17.49;20.35;21.54;;;;;;;;;;;
Nicaragua;Migrant stock (male), % of population;0.75;0.77;0.91;0.84;0.81;1.16;1.00;0.58;0.61;0.66;0.72;;;;;;;;;;;
Niger;Migrant stock (male), % of population;1.76;1.72;1.69;1.66;1.63;1.63;1.64;1.74;1.40;1.29;1.17;;;;;;;;;;;
Nigeria;Migrant stock (male), % of population;0.27;0.31;0.35;1.34;2.09;0.47;0.52;0.58;0.66;0.74;0.75;;;;;;;;;;;
Niue;Migrant stock (male), % of population;5.80;6.81;8.58;11.55;13.98;17.83;21.05;21.78;23.26;25.43;27.75;;;;;;;;;;;
Northern Mariana Islands;Migrant stock (male), % of population;29.01;30.49;29.88;29.97;30.96;55.44;62.93;67.21;75.13;76.77;75.20;;;;;;;;;;;
Norway;Migrant stock (male), % of population;1.58;1.71;1.87;2.36;2.98;3.58;4.80;5.50;6.68;7.88;9.82;;;;;;;;;;;
Occupied Palestinian Territory;Migrant stock (male), % of population;43.63;44.92;53.28;50.19;46.67;43.91;42.19;46.16;44.86;44.19;43.58;;;;;;;;;;;
Oman;Migrant stock (male), % of population;12.30;13.09;13.50;12.86;18.45;27.03;32.64;35.97;35.47;35.50;40.00;;;;;;;;;;;
Pakistan;Migrant stock (male), % of population;12.83;10.40;8.22;6.42;6.25;6.72;5.99;3.30;3.05;2.29;2.46;;;;;;;;;;;
Palau;Migrant stock (male), % of population;4.24;4.51;4.87;5.24;5.90;11.66;22.78;29.82;35.76;33.31;31.33;;;;;;;;;;;
Panama;Migrant stock (male), % of population;6.81;4.98;3.62;3.06;2.61;2.63;2.67;2.80;2.95;3.12;3.33;;;;;;;;;;;
Papua New Guinea;Migrant stock (male), % of population;1.06;1.53;2.18;1.70;1.14;1.21;0.89;0.77;0.58;0.51;0.44;;;;;;;;;;;
Paraguay;Migrant stock (male), % of population;2.80;2.73;3.04;3.71;4.73;4.89;4.48;3.94;3.38;2.93;2.56;;;;;;;;;;;
Peru;Migrant stock (male), % of population;0.74;0.64;0.55;0.47;0.40;0.32;0.26;0.21;0.17;0.14;0.12;;;;;;;;;;;
Philippines;Migrant stock (male), % of population;0.91;0.75;0.62;0.42;0.32;0.29;0.27;0.31;0.42;0.43;0.45;;;;;;;;;;;
Pitcairn;Migrant stock (male), % of population;8.45;9.80;11.36;11.76;9.68;12.90;12.50;12.90;12.90;15.38;15.38;;;;;;;;;;;
Poland;Migrant stock (male), % of population;7.79;6.79;6.07;4.95;3.96;3.17;2.60;2.15;1.81;1.83;1.85;;;;;;;;;;;
Portugal;Migrant stock (male), % of population;0.38;0.63;1.10;1.75;2.68;3.42;4.33;5.29;6.33;7.40;8.78;;;;;;;;;;;
Puerto Rico;Migrant stock (male), % of population;2.76;4.38;7.01;7.74;8.46;8.62;8.98;8.94;9.03;8.87;8.00;;;;;;;;;;;
Qatar;Migrant stock (male), % of population;41.73;58.85;70.52;76.99;84.05;86.16;87.63;86.99;87.23;81.66;85.15;;;;;;;;;;;
Republic of Korea;Migrant stock (male), % of population;0.56;0.56;0.58;0.92;1.55;1.50;1.43;1.39;1.23;1.14;1.05;;;;;;;;;;;
RŽunion;Migrant stock (male), % of population;3.91;3.65;3.97;5.44;7.13;8.72;10.55;12.75;15.51;18.99;21.33;;;;;;;;;;;
Romania;Migrant stock (male), % of population;1.67;1.59;1.27;1.01;0.81;0.66;0.54;0.55;0.59;0.61;0.63;;;;;;;;;;;
Rwanda;Migrant stock (male), % of population;0.92;0.98;0.88;0.99;0.98;1.27;0.97;5.97;4.72;4.63;4.31;;;;;;;;;;;
Saint Kitts and Nevis;Migrant stock (male), % of population;7.67;6.86;6.55;6.35;6.27;7.25;8.42;8.96;9.45;9.99;10.45;;;;;;;;;;;
Saint Lucia;Migrant stock (male), % of population;2.83;2.88;2.91;2.99;3.02;3.45;3.88;4.29;4.68;5.22;5.82;;;;;;;;;;;
Saint Pierre and Miquelon;Migrant stock (male), % of population;4.79;8.47;10.57;11.87;13.05;15.24;18.11;22.06;24.17;19.52;18.04;;;;;;;;;;;
Saint Vincent and the Grenadines;Migrant stock (male), % of population;3.24;2.92;2.63;2.36;2.13;2.78;3.64;4.92;5.68;6.51;7.51;;;;;;;;;;;
Samoa;Migrant stock (male), % of population;3.33;2.87;2.54;2.65;2.94;1.58;2.06;2.84;3.41;4.23;5.33;;;;;;;;;;;
San Marino;Migrant stock (male), % of population;44.67;40.49;37.59;37.79;35.85;34.62;33.61;32.48;31.82;35.22;34.68;;;;;;;;;;;
Sao Tome and Principe;Migrant stock (male), % of population;11.15;11.34;10.12;8.90;7.61;6.42;5.29;4.67;4.15;3.71;3.33;;;;;;;;;;;
Saudi Arabia;Migrant stock (male), % of population;1.95;4.13;7.96;16.34;25.19;33.03;36.82;31.88;29.81;33.94;35.48;;;;;;;;;;;
Senegal;Migrant stock (male), % of population;6.30;5.72;4.92;3.72;2.41;2.86;3.67;3.31;2.30;1.93;1.61;;;;;;;;;;;
Seychelles;Migrant stock (male), % of population;2.56;3.67;5.66;5.63;5.63;6.06;6.13;6.67;9.39;11.66;14.63;;;;;;;;;;;
Sierra Leone;Migrant stock (male), % of population;2.68;3.12;3.63;4.03;3.53;3.09;4.51;2.97;2.62;3.33;2.04;;;;;;;;;;;
Singapore;Migrant stock (male), % of population;33.76;29.33;26.14;23.54;21.66;21.95;22.61;25.95;29.74;30.77;35.59;;;;;;;;;;;
slov;Migrant stock (male), % of population;2.83;3.84;4.62;5.49;6.56;7.54;8.04;8.33;8.55;9.25;9.93;;;;;;;;;;;
Socialist Federal Republic of Yugoslavia (former);Migrant stock (male), % of population;0.75;0.71;0.68;0.84;1.08;1.41;3.77;8.26;7.63;7.05;6.55;;;;;;;;;;;
Solomon Islands;Migrant stock (male), % of population;3.17;2.90;2.61;2.31;1.97;1.67;1.60;1.57;1.56;1.48;1.41;;;;;;;;;;;
Somalia;Migrant stock (male), % of population;0.47;0.45;0.42;0.38;27.53;13.31;10.20;0.30;0.29;0.27;0.27;;;;;;;;;;;
South Africa;Migrant stock (male), % of population;7.57;6.82;6.11;5.16;4.48;7.16;4.22;3.29;2.77;3.09;4.29;;;;;;;;;;;
Spain;Migrant stock (male), % of population;0.68;0.84;1.04;1.28;1.58;1.82;2.08;2.61;4.44;11.38;14.85;;;;;;;;;;;
Sri Lanka;Migrant stock (male), % of population;10.20;9.29;8.71;6.40;4.33;3.03;2.64;2.34;2.12;1.91;1.70;;;;;;;;;;;
Sudan;Migrant stock (male), % of population;2.19;1.85;1.87;1.84;3.55;5.98;4.81;3.69;2.51;1.70;1.80;;;;;;;;;;;
Suriname;Migrant stock (male), % of population;8.15;6.10;4.65;4.04;3.42;4.09;4.70;5.45;6.32;7.37;8.21;;;;;;;;;;;
Swaziland;Migrant stock (male), % of population;5.16;9.59;7.97;5.41;5.88;6.52;9.38;4.02;3.74;3.71;3.59;;;;;;;;;;;
Sweden;Migrant stock (male), % of population;3.56;4.80;6.46;6.92;7.31;7.58;8.92;10.02;10.85;11.85;13.53;;;;;;;;;;;
Switzerland;Migrant stock (male), % of population;12.92;14.74;17.23;16.89;16.70;18.78;21.11;21.52;22.39;22.91;23.90;;;;;;;;;;;
Syrian Arab Republic;Migrant stock (male), % of population;6.00;5.99;5.89;5.81;5.67;5.92;5.52;5.68;5.67;7.02;9.91;;;;;;;;;;;
Thailand;Migrant stock (male), % of population;2.22;1.58;1.14;0.95;1.14;0.85;0.73;0.97;1.33;1.56;1.78;;;;;;;;;;;
